Player,UID,FB,WB,IWB,CWB,NNFB
Danilo Rizzo,2000567633.0,8.25,4.85,5.6,4.81,7.45
Eirik Haugland,2000555555.0,13.65,12.4,13.6,12.42,14.0
Leroy Moonen,2000438559.0,11.0,10.15,11.3,10.85,11.05
Gaëtan Redon,2000433840.0,12.95,11.55,11.95,11.58,12.9
Milton Mijoch,2000272968.0,8.8,9.7,7.8,10.08,7.45
Stavros Kallitsounakis,2000232881.0,12.25,12.7,11.95,12.85,10.75
Fulvio Colacicco,2000191153.0,12.8,11.7,11.8,11.69,12.15
Luiz Felipe,19225765.0,15.6,13.0,15.6,13.15,16.3
Raniero Cini,2000567637.0,9.9,11.05,9.3,11.42,9.7
Klajdi Ferati,2000567635.0,12.65,10.5,11.5,10.35,11.8
Davide Costarella,2000512160.0,7.85,6.05,6.2,5.81,7.85
Vitalijs Cvetkovs,2000507392.0,10.7,10.3,10.2,10.54,9.8
Mauro Cirelli,2000435220.0,11.2,11.55,9.7,11.54,10.15
Marcus Andersson,2000397891.0,11.0,11.9,10.5,11.77,10.15
Marcus Andersson,2000397735.0,9.2,10.05,8.5,10.73,7.9
Miel Devos,2000199510.0,9.65,9.8,10.35,11.31,9.0
Niklas Süle,91107360.0,12.65,9.75,12.15,9.69,12.6
Michele Di Gregorio,43161669.0,9.25,6.85,9.45,7.42,10.15
Tahith Chong,37058361.0,10.25,10.75,9.75,11.5,9.2
Donyell Malen,37055844.0,11.4,11.3,11.0,12.0,10.6
Donny van de Beek,37048153.0,12.5,12.1,13.4,12.92,12.5
Robin Gosens,37041773.0,13.25,13.0,13.2,13.35,13.6
Kevin De Bruyne,18004457.0,10.0,10.1,13.1,11.77,10.5
Federico Brancolini,43357008.0,10.15,6.95,9.5,7.08,9.75
Daniel Lamas,2000568699.0,11.35,11.65,10.4,11.92,9.4
Franco Ferraro,2000325869.0,11.7,12.4,10.8,12.38,10.6
Riccardo Sottil,43270713.0,9.95,10.7,9.35,11.0,8.9
John Gil,2000562142.0,11.5,11.8,11.4,12.38,12.0
Gustavo Fernández,2000539166.0,13.4,13.7,13.1,13.92,11.3
Ferran Torres,89056845.0,11.45,11.65,11.15,12.12,10.15
Christopher Nkunku,85140301.0,13.6,13.8,13.8,14.15,12.3
Mohamed Ihattaren,37073834.0,9.55,10.2,10.45,11.69,9.6
Anyelo Oropesa,2000606155.0,12.7,11.0,11.8,10.85,12.6
Davide Bettella,43316726.0,14.6,12.6,13.7,12.23,14.4
Roque Rébora,2000285968.0,14.4,12.5,14.7,12.77,14.6
Josha Vagnoman,91184445.0,13.0,13.05,12.1,12.73,12.6
Gabriele Zappa,43272248.0,13.85,13.4,13.6,13.35,13.4
Thomas Strakosha,43115047.0,11.8,8.8,10.65,8.46,11.4
Guillermo Vaccarezza,2000489469.0,14.4,13.7,14.7,14.31,13.5
