Player,UID,CD,BPD,NNCB,Lib
Danilo Rizzo,2000567633.0,7.45,6.75,7.55,5.0
Eirik Haugland,2000555555.0,14.1,13.75,13.8,13.7
Leroy Moonen,2000438559.0,10.95,10.8,10.65,11.1
Gaëtan Redon,2000433840.0,13.45,12.65,13.3,11.65
Milton Mijoch,2000272968.0,6.5,7.0,6.85,8.55
Stavros Kallitsounakis,2000232881.0,9.25,9.7,8.45,11.6
Fulvio Colacicco,2000191153.0,11.95,11.7,11.45,11.05
Luiz Felipe,19225765.0,16.3,15.5,16.4,14.8
Raniero Cini,2000567637.0,7.8,8.1,8.5,9.9
Klajdi Ferati,2000567635.0,12.7,11.9,12.0,10.95
Davide Costarella,2000512160.0,7.35,6.05,7.45,5.0
Vitalijs Cvetkovs,2000507392.0,7.8,8.2,8.2,9.7
Mauro Cirelli,2000435220.0,9.75,9.4,9.45,8.9
Marcus Andersson,2000397891.0,7.95,8.6,8.05,10.15
Marcus Andersson,2000397735.0,7.4,8.35,7.1,9.15
Miel Devos,2000199510.0,9.4,10.0,8.8,11.45
Niklas Süle,91107360.0,14.85,14.25,14.2,11.95
Michele Di Gregorio,43161669.0,8.65,8.55,9.25,8.3
Tahith Chong,37058361.0,8.85,9.05,9.0,10.6
Donyell Malen,37055844.0,10.2,10.6,10.1,11.4
Donny van de Beek,37048153.0,11.7,12.0,11.6,13.3
Robin Gosens,37041773.0,13.0,12.75,13.0,13.35
Kevin De Bruyne,18004457.0,9.6,10.7,9.5,14.0
Federico Brancolini,43357008.0,10.15,9.35,9.75,8.45
Daniel Lamas,2000568699.0,9.45,9.8,8.9,10.65
Franco Ferraro,2000325869.0,10.2,10.4,10.1,10.7
Riccardo Sottil,43270713.0,8.8,8.9,8.4,9.55
John Gil,2000562142.0,9.9,9.6,10.4,11.3
Gustavo Fernández,2000539166.0,10.5,10.7,9.6,13.2
Ferran Torres,89056845.0,10.45,10.95,10.25,11.55
Christopher Nkunku,85140301.0,10.7,10.9,10.6,13.8
Mohamed Ihattaren,37073834.0,8.8,9.6,9.2,11.55
Anyelo Oropesa,2000606155.0,13.3,12.8,13.0,11.0
Davide Bettella,43316726.0,14.8,14.5,14.8,12.8
Roque Rébora,2000285968.0,14.2,14.0,13.9,13.8
Josha Vagnoman,91184445.0,12.2,12.0,12.2,11.8
Gabriele Zappa,43272248.0,13.3,13.35,12.9,13.4
Thomas Strakosha,43115047.0,11.2,9.6,10.4,9.35
Guillermo Vaccarezza,2000489469.0,12.6,12.5,11.8,14.4
