Player,UID,DM,AM,BWM,HB,SV,RGA
Danilo Rizzo,2000567633.0,8.05,8.45,8.45,8.9,6.35,6.05
Eirik Haugland,2000555555.0,14.5,14.1,14.1,13.8,13.65,13.55
Leroy Moonen,2000438559.0,11.35,11.3,11.3,11.65,11.25,11.75
Gaëtan Redon,2000433840.0,12.9,13.15,13.15,13.0,12.0,10.7
Milton Mijoch,2000272968.0,7.25,7.5,7.5,8.3,7.85,9.95
Stavros Kallitsounakis,2000232881.0,11.8,12.3,12.3,11.4,12.0,12.4
Fulvio Colacicco,2000191153.0,13.0,13.0,13.0,12.45,11.95,11.6
Luiz Felipe,19225765.0,15.6,15.8,15.8,16.4,15.4,14.2
Raniero Cini,2000567637.0,8.9,8.5,8.5,9.85,9.35,11.4
Klajdi Ferati,2000567635.0,12.8,13.45,13.45,12.45,11.6,10.35
Davide Costarella,2000512160.0,7.45,7.3,7.3,8.7,6.65,5.95
Vitalijs Cvetkovs,2000507392.0,10.0,9.6,9.6,10.2,9.9,11.0
Mauro Cirelli,2000435220.0,10.55,11.0,11.0,11.35,10.15,10.15
Marcus Andersson,2000397891.0,10.7,10.1,10.1,10.1,10.65,11.85
Marcus Andersson,2000397735.0,8.75,8.15,8.15,8.35,9.25,11.25
Miel Devos,2000199510.0,9.95,10.2,10.2,10.1,10.85,13.0
Niklas Süle,91107360.0,13.0,12.95,12.95,12.4,12.6,11.0
Michele Di Gregorio,43161669.0,9.95,9.45,9.45,10.9,9.15,9.65
Tahith Chong,37058361.0,8.6,9.05,9.05,10.1,9.6,12.15
Donyell Malen,37055844.0,10.7,10.7,10.7,11.3,11.4,13.0
Donny van de Beek,37048153.0,12.5,12.8,12.8,13.0,13.4,13.8
Robin Gosens,37041773.0,13.55,13.35,13.35,13.85,13.75,13.35
Kevin De Bruyne,18004457.0,11.3,10.8,10.8,11.2,12.7,16.05
Federico Brancolini,43357008.0,10.2,9.5,9.5,10.4,9.45,10.0
Daniel Lamas,2000568699.0,10.75,10.85,10.85,10.1,10.5,12.25
Franco Ferraro,2000325869.0,11.1,10.6,10.6,11.2,10.9,12.6
Riccardo Sottil,43270713.0,9.35,9.6,9.6,9.7,9.5,10.9
John Gil,2000562142.0,11.5,11.1,11.1,12.7,11.4,13.6
Gustavo Fernández,2000539166.0,12.8,12.9,12.9,12.1,12.9,14.4
Ferran Torres,89056845.0,10.75,10.65,10.65,10.7,11.05,13.1
Christopher Nkunku,85140301.0,12.8,12.9,12.9,12.9,13.5,14.5
Mohamed Ihattaren,37073834.0,8.95,9.2,9.2,10.5,10.6,13.1
Anyelo Oropesa,2000606155.0,12.8,12.9,12.9,12.5,11.8,10.2
Davide Bettella,43316726.0,14.5,14.2,14.2,14.2,13.9,12.2
Roque Rébora,2000285968.0,14.6,14.3,14.3,14.5,14.6,13.9
Josha Vagnoman,91184445.0,12.5,12.5,12.5,12.7,12.2,11.9
Gabriele Zappa,43272248.0,14.05,13.95,13.95,13.45,13.65,13.15
Thomas Strakosha,43115047.0,12.05,12.15,12.15,12.55,10.8,11.3
Guillermo Vaccarezza,2000489469.0,14.0,14.3,14.3,14.1,14.3,14.7
