Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Danilo Rizzo,2000567633,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eirik Haugland,2000555555,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Leroy Moonen,2000438559,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Gaëtan Redon,2000433840,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Milton Mijoch,2000272968,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Stavros Kallitsounakis,2000232881,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Fulvio Colacicco,2000191153,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Luiz Felipe,19225765,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Raniero Cini,2000567637,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Klajdi Ferati,2000567635,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Davide Costarella,2000512160,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitalijs Cvetkovs,2000507392,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Mauro Cirelli,2000435220,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Marcus Andersson,2000397891,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Marcus Andersson,2000397735,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Miel Devos,2000199510,0,0,0,0,0,0,0,1,1,0,0,1,0,1
Niklas Süle,91107360,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Michele Di Gregorio,43161669,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tahith Chong,37058361,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Donyell Malen,37055844,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Donny van de Beek,37048153,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Robin Gosens,37041773,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Kevin De Bruyne,18004457,0,0,0,0,0,1,0,1,1,1,1,1,0,0
Federico Brancolini,43357008,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Lamas,2000568699,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Franco Ferraro,2000325869,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Riccardo Sottil,43270713,0,1,0,0,1,0,0,1,0,1,1,0,1,1
John Gil,2000562142,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Gustavo Fernández,2000539166,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Ferran Torres,89056845,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Christopher Nkunku,85140301,0,0,0,0,0,0,0,1,1,1,0,1,1,0
Mohamed Ihattaren,37073834,0,0,0,0,0,0,0,1,1,1,1,1,1,0
Anyelo Oropesa,2000606155,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Davide Bettella,43316726,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Roque Rébora,2000285968,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Josha Vagnoman,91184445,0,1,1,1,1,0,1,0,0,0,0,0,0,0
Gabriele Zappa,43272248,0,1,1,0,1,0,0,1,0,0,0,0,0,0
Thomas Strakosha,43115047,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Guillermo Vaccarezza,2000489469,0,0,0,0,0,1,0,0,1,0,0,1,0,0
