Player,UID,AMC,AP,T,SS,AM,EG
Danilo Rizzo,2000567633.0,6.8,5.4,6.8,4.8,4.8,3.65
Eirik Haugland,2000555555.0,13.0,12.8,13.0,12.95,13.35,13.05
Leroy Moonen,2000438559.0,12.05,12.25,12.05,11.7,12.05,12.0
Gaëtan Redon,2000433840.0,12.1,11.35,12.1,11.05,11.8,10.65
Milton Mijoch,2000272968.0,10.3,10.7,10.3,10.6,10.8,11.4
Stavros Kallitsounakis,2000232881.0,13.9,14.4,13.9,13.7,14.05,14.65
Fulvio Colacicco,2000191153.0,12.4,12.4,12.4,11.6,11.75,12.1
Luiz Felipe,19225765.0,14.3,14.0,14.3,12.6,13.6,13.4
Raniero Cini,2000567637.0,11.35,11.95,11.35,12.7,12.9,13.45
Klajdi Ferati,2000567635.0,11.55,10.95,11.55,9.8,10.3,9.75
Davide Costarella,2000512160.0,6.6,6.05,6.6,5.6,5.65,4.85
Vitalijs Cvetkovs,2000507392.0,11.6,12.3,11.6,11.9,12.4,12.5
Mauro Cirelli,2000435220.0,11.95,12.15,11.95,12.2,11.95,12.5
Marcus Andersson,2000397891.0,12.0,12.8,12.0,13.85,13.45,13.5
Marcus Andersson,2000397735.0,11.2,12.0,11.2,13.2,12.65,13.25
Miel Devos,2000199510.0,13.25,13.75,13.25,13.2,13.45,13.75
Niklas Süle,91107360.0,10.15,8.95,10.15,8.75,9.15,8.55
Michele Di Gregorio,43161669.0,10.15,9.25,10.15,8.45,9.5,8.3
Tahith Chong,37058361.0,12.0,12.6,12.0,12.3,12.6,13.3
Donyell Malen,37055844.0,13.4,13.6,13.4,14.0,13.7,14.1
Donny van de Beek,37048153.0,15.1,15.1,15.1,14.3,14.6,14.8
Robin Gosens,37041773.0,14.05,13.65,14.05,14.1,13.75,13.05
Kevin De Bruyne,18004457.0,15.5,15.8,15.5,14.6,15.1,14.7
Federico Brancolini,43357008.0,9.45,8.25,9.45,7.9,8.6,6.85
Daniel Lamas,2000568699.0,13.0,13.9,13.0,14.0,14.1,14.25
Franco Ferraro,2000325869.0,12.9,13.4,12.9,14.7,14.4,13.9
Riccardo Sottil,43270713.0,11.55,11.95,11.55,12.1,12.05,12.15
John Gil,2000562142.0,14.4,15.1,14.4,15.0,15.1,15.0
Gustavo Fernández,2000539166.0,15.2,15.7,15.2,14.8,15.7,15.9
Ferran Torres,89056845.0,13.0,13.2,13.0,13.1,13.2,13.4
Christopher Nkunku,85140301.0,15.4,15.6,15.4,15.2,15.7,15.4
Mohamed Ihattaren,37073834.0,12.95,13.55,12.95,13.5,13.85,14.05
Anyelo Oropesa,2000606155.0,11.3,10.4,11.3,9.8,10.1,9.9
Davide Bettella,43316726.0,12.2,11.4,12.2,11.3,11.8,11.0
Roque Rébora,2000285968.0,13.8,13.4,13.8,12.8,13.5,12.9
Josha Vagnoman,91184445.0,12.2,12.1,12.2,11.9,12.2,12.4
Gabriele Zappa,43272248.0,13.75,13.25,13.75,13.55,13.6,12.9
Thomas Strakosha,43115047.0,11.5,11.2,11.5,9.9,10.75,10.05
Guillermo Vaccarezza,2000489469.0,15.9,15.8,15.9,14.9,15.6,15.9
