Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Gautier Larsonneur,85133818,12.89,10.86,10.86,10.4,10.77,10.77,10.57,10.49,10.49,10.66,10.58,10.58,10.76,9.92
Enrico Brancadori,2000436507,15.28,14.93,14.93,15.3,14.64,14.64,14.63,14.2,14.2,14.29,14.31,14.31,14.34,14.29
Rubén Iranzo,2000032467,14.27,14.18,14.18,14.27,13.96,13.96,13.98,13.54,13.54,13.74,13.59,13.59,13.67,13.49
Urko González de Zárate,2000058330,12.49,12.55,12.55,12.85,12.27,12.27,12.36,11.75,11.75,12.09,11.87,11.87,11.96,11.38
0,28100123,13.98,13.49,13.49,13.14,13.35,13.35,13.0,12.93,12.93,12.57,13.1,13.1,12.52,12.19
José Gayà,67178177,14.08,13.76,13.76,13.08,13.98,13.98,13.97,14.05,14.05,14.09,13.96,13.96,13.99,12.96
Morten Thorsby,53098756,13.0,13.13,13.13,13.07,13.09,13.09,12.91,12.85,12.85,13.05,12.85,12.85,12.87,12.84
Orkun Kökçü,37061602,12.74,12.41,12.41,11.24,12.85,12.85,12.31,13.2,13.2,12.94,13.29,13.29,13.24,12.64
Sérgio Mané,2000507867,13.14,12.76,12.76,12.15,13.0,13.0,12.93,13.24,13.24,13.47,13.26,13.26,13.64,12.87
Bartol Barišić,24065111,12.72,12.17,12.17,11.76,12.32,12.32,11.93,12.57,12.57,12.42,12.63,12.63,12.76,13.46
Gabriel Jesus,19220266,13.26,12.92,12.92,12.06,13.25,13.25,12.89,13.63,13.63,13.54,13.67,13.67,13.82,13.69
Predrag Rajković,62076152,11.99,10.4,10.4,10.39,10.19,10.19,10.31,9.89,9.89,10.26,9.9,9.9,10.22,10.04
Ivo Gujinović,2000565341,15.17,13.99,13.99,13.97,13.64,13.64,13.81,13.15,13.15,13.3,13.22,13.22,13.19,12.52
Mouctar Diakhaby,48036643,14.04,13.1,13.1,13.61,12.65,12.65,12.77,12.03,12.03,12.44,12.04,12.04,12.17,12.03
Joaquín Salgado,2000272916,11.88,11.89,11.89,10.86,12.51,12.51,11.65,12.92,12.92,12.43,13.29,13.29,13.11,13.42
Nico Serrano,67295206,11.72,12.05,12.05,11.47,12.41,12.41,12.26,13.04,13.04,12.73,13.14,13.14,13.15,13.04
Sheldon Peltier,2000187635,14.03,13.34,13.34,13.05,13.36,13.36,12.92,13.14,13.14,13.1,13.34,13.34,13.29,12.8
Aron Ehlers,2000194937,13.16,12.67,12.67,12.01,13.02,13.02,12.51,13.2,13.2,13.01,13.31,13.31,13.26,12.56
Malcom,19229435,12.51,12.1,12.1,10.9,12.72,12.72,12.08,13.34,13.34,12.83,13.46,13.46,13.42,12.91
Nicolas Cozza,49037761,13.51,13.19,13.19,13.09,13.15,13.15,13.02,12.88,12.88,12.95,12.89,12.89,12.9,12.62
Rodri,67217524,13.38,13.22,13.22,13.34,13.06,13.06,13.38,12.85,12.85,13.34,12.78,12.78,13.13,12.69
Cristhian Mosquera,2000030816,13.28,12.56,12.56,12.79,12.2,12.2,12.19,11.59,11.59,11.9,11.67,11.67,11.78,11.41
Hugo Montañana,2000034349,13.33,13.01,13.01,12.82,13.0,13.0,12.84,12.99,12.99,12.97,13.09,13.09,13.01,12.29
Georges Teixeira,2000187375,13.48,12.89,12.89,13.07,12.49,12.49,12.53,12.01,12.01,12.41,11.99,11.99,12.09,11.71
Luís Pereira,2000188430,13.88,13.39,13.39,13.15,13.22,13.22,13.38,12.87,12.87,13.0,12.84,12.84,12.85,12.1
Adrian,2000193185,12.77,12.1,12.1,11.23,12.41,12.41,12.21,12.77,12.77,12.87,12.74,12.74,12.97,12.47
Damián Ribera,2000193186,13.27,13.07,13.07,12.08,13.45,13.45,13.13,13.81,13.81,13.91,13.88,13.88,14.07,13.27
Josema,2000439264,13.49,12.4,12.4,12.59,12.0,12.0,12.09,11.56,11.56,11.73,11.59,11.59,11.44,11.18
