Player,UID,Position
Alejandro Ferre,2000569554,"D (C), DM, M (C)"
Juan Pablo Castellano,2000513639,"M/AM (R), ST (C)"
Carlos,2000193994,"M (L), ST (C)"
Jaime Reques,2000077283,"M (RLC), AM (L)"
Ander Martín,2000058172,"M (RC), AM (R)"
Marcel Mehlem,92076601,"DM, M (C)"
Unai Rementeria,67246387,"D (C), DM, M (C)"
Roberto Olabe,67183968,"DM, M/AM (LC)"
Jorge Pascual,2000019418,ST (C)
Felipe Medina,2000572053,D/WB (L)
Jesús García,2000513275,"AM (R), ST (C)"
Mario Fernández,2000439263,"M (C), AM (RC), ST (C)"
José María Garai,2000437777,M (C)
Kim Tae-Young,2000194479,"M/AM (L), ST (C)"
Hugo Rincón,2000065892,D/WB (R)
Hugo Neves,83333462,M/AM (RL)
Rodri,67293708,D (LC)
Aitor Paredes,67276232,D (C)
Moustapha Diop,2000666501,ST (C)
Alan Espeche,14197823,"M (R), AM (RLC)"
Diego Llamazares,2000013481,GK
Alejandro Aleñá,2000202600,"D (L), M (LC)"
Ángel García,2000685240,D (C)
Abdulrahman Al-Marri,2000711945,GK
