Player,UID,AF,CF,DLF,F9,P,PF,TM
Alejandro Ferre,2000569554.0,9.8,10.9,11.95,10.7,9.8,10.6,11.1
Juan Pablo Castellano,2000513639.0,11.5,10.1,11.2,11.25,11.5,11.0,10.2
Carlos,2000193994.0,13.2,10.3,11.7,11.3,13.2,10.6,10.8
Jaime Reques,2000077283.0,10.2,10.4,11.1,10.9,10.2,9.9,9.6
Ander Martín,2000058172.0,10.6,9.9,10.8,11.5,10.6,9.4,8.1
Marcel Mehlem,92076601.0,9.7,10.5,9.8,9.6,9.7,12.2,10.3
Unai Rementeria,67246387.0,7.55,8.75,6.9,7.35,7.55,9.05,7.35
Roberto Olabe,67183968.0,10.1,10.9,11.5,11.8,10.1,10.2,10.6
Jorge Pascual,2000019418.0,12.3,11.8,11.6,11.3,12.3,11.7,11.7
Felipe Medina,2000572053.0,10.1,9.0,9.6,9.1,10.1,11.4,10.05
Jesús García,2000513275.0,12.1,10.2,10.2,10.9,12.1,11.0,10.3
Mario Fernández,2000439263.0,10.7,10.1,12.4,11.7,10.7,9.7,10.2
José María Garai,2000437777.0,11.6,12.75,14.25,13.25,11.6,11.8,11.45
Kim Tae-Young,2000194479.0,12.7,11.7,11.5,10.8,12.7,11.1,11.3
Hugo Rincón,2000065892.0,10.65,9.35,10.7,10.3,10.65,10.65,9.45
Hugo Neves,83333462.0,12.2,9.9,11.0,11.6,12.2,11.0,9.05
Rodri,67293708.0,9.2,7.8,8.0,7.05,9.2,9.4,9.4
Aitor Paredes,67276232.0,8.5,8.45,9.05,7.65,8.5,9.5,9.5
Moustapha Diop,2000666501.0,10.25,9.9,9.65,9.05,10.25,10.05,9.35
Alan Espeche,14197823.0,11.3,9.7,10.2,10.7,11.3,10.5,8.8
Diego Llamazares,2000013481.0,6.6,3.6,6.05,4.35,6.6,4.55,4.6
Alejandro Aleñá,2000202600.0,8.55,6.65,8.65,7.3,8.55,9.75,7.9
Ángel García,2000685240.0,8.5,6.8,8.1,5.9,8.5,9.65,10.15
Abdulrahman Al-Marri,2000711945.0,6.0,2.95,6.2,4.6,6.0,4.15,5.3
