Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Alejandro Ferre,2000569554,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Juan Pablo Castellano,2000513639,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Carlos,2000193994,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Jaime Reques,2000077283,0,0,0,0,0,0,0,1,1,1,0,0,1,0
Ander Martín,2000058172,0,0,0,0,0,0,0,1,1,0,1,0,0,0
Marcel Mehlem,92076601,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Unai Rementeria,67246387,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Roberto Olabe,67183968,0,0,0,0,0,1,0,0,1,1,0,1,1,0
Jorge Pascual,2000019418,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Felipe Medina,2000572053,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Jesús García,2000513275,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Mario Fernández,2000439263,0,0,0,0,0,0,0,0,1,0,1,1,0,1
José María Garai,2000437777,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kim Tae-Young,2000194479,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Hugo Rincón,2000065892,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Hugo Neves,83333462,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Rodri,67293708,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Aitor Paredes,67276232,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Moustapha Diop,2000666501,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alan Espeche,14197823,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Diego Llamazares,2000013481,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Aleñá,2000202600,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Ángel García,2000685240,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abdulrahman Al-Marri,2000711945,1,0,0,0,0,0,0,0,0,0,0,0,0,0
