Player,UID,DM,AM,BWM,HB,SV,RGA
Alejandro Ferre,2000569554.0,11.9,11.65,11.65,12.75,11.95,11.15
Juan Pablo Castellano,2000513639.0,6.05,6.65,6.65,6.1,6.05,8.3
Carlos,2000193994.0,6.3,5.6,5.6,7.65,8.1,9.2
Jaime Reques,2000077283.0,7.75,7.65,7.65,8.25,8.95,10.35
Ander Martín,2000058172.0,7.2,6.9,6.9,6.8,7.6,10.6
Marcel Mehlem,92076601.0,13.5,13.8,13.8,14.3,12.7,11.8
Unai Rementeria,67246387.0,6.0,7.25,7.25,7.8,6.0,7.0
Roberto Olabe,67183968.0,9.15,8.75,8.75,9.5,9.05,11.5
Jorge Pascual,2000019418.0,7.6,7.1,7.1,7.6,7.7,10.7
Felipe Medina,2000572053.0,11.5,11.85,11.85,12.1,10.95,8.55
Jesús García,2000513275.0,8.3,8.2,8.2,8.9,8.8,8.7
Mario Fernández,2000439263.0,9.3,9.4,9.4,8.9,10.1,11.7
José María Garai,2000437777.0,10.5,10.1,10.1,10.6,11.35,12.95
Kim Tae-Young,2000194479.0,6.6,6.9,6.9,8.2,8.2,9.8
Hugo Rincón,2000065892.0,11.7,11.7,11.7,11.7,11.7,9.8
Hugo Neves,83333462.0,6.55,6.35,6.35,7.55,7.25,8.75
Rodri,67293708.0,11.3,10.9,10.9,10.7,10.5,9.1
Aitor Paredes,67276232.0,11.2,10.8,10.8,10.9,10.7,9.05
Moustapha Diop,2000666501.0,5.5,5.4,5.4,6.0,6.0,8.25
Alan Espeche,14197823.0,8.2,8.3,8.3,8.6,8.6,10.3
Diego Llamazares,2000013481.0,4.9,3.75,3.75,5.1,5.3,5.2
Alejandro Aleñá,2000202600.0,11.55,11.45,11.45,11.85,10.2,7.4
Ángel García,2000685240.0,10.95,11.9,11.9,11.85,10.4,6.1
Abdulrahman Al-Marri,2000711945.0,4.65,3.45,3.45,4.55,4.65,4.8
