Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Chus Beltrán,2000629925,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Adrián Capapé,2000439539,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Cayetano Guzmán,2000685791,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Salvador Román,2000663176,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Bruno Garba,2000663175,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Jesús María,2000663172,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Manu Miguens,2000663171,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adrián Carrero,2000629926,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Serafín Cabezas,2000629922,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Ramón Alfaro,2000511082,0,1,1,0,1,0,0,0,1,0,1,0,0,0
Biel Cárdenas,2000629927,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Julio,2000629924,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Iván Romero,2000629923,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Luis Pomareta,2000629921,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Santiago Martínez,2000570461,0,0,0,0,1,0,0,1,0,0,1,0,0,1
Félix Artigas,2000511083,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Ignacio Caballero,2000511080,0,0,1,1,0,1,1,0,0,0,0,0,0,0
Juan Manuel Mejías,2000442677,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Ismael Bermudo,2000439534,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Themba Teneso,2000439093,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Xavi Jiménez,2000194000,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Juan Antonio,2000710692,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrés Hernández,2000439538,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Hirofumi Saitô,2000192902,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Juma Haule,2000570456,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Adrián Forcén,2000439535,0,0,0,0,0,0,0,0,0,0,1,1,0,1
