Player,UID,DM,AM,BWM,HB,SV,RGA
Chus Beltrán,2000629925.0,7.35,7.95,7.95,7.9,8.85,10.05
Adrián Capapé,2000439539.0,11.9,11.7,11.7,12.4,12.65,13.05
Cayetano Guzmán,2000685791.0,9.5,9.1,9.1,9.55,9.35,9.9
Salvador Román,2000663176.0,8.5,7.8,7.8,8.65,8.35,10.0
Bruno Garba,2000663175.0,10.8,11.3,11.3,11.0,10.6,7.0
Jesús María,2000663172.0,11.7,11.7,11.7,10.9,10.15,6.25
Manu Miguens,2000663171.0,6.3,7.2,7.2,8.0,6.7,6.1
Adrián Carrero,2000629926.0,11.45,10.95,10.95,12.15,10.95,8.55
Serafín Cabezas,2000629922.0,6.0,5.3,5.3,5.45,5.5,9.0
Ramón Alfaro,2000511082.0,10.4,10.3,10.3,10.4,9.4,9.7
Biel Cárdenas,2000629927.0,7.95,9.7,9.7,10.15,7.0,6.8
Julio,2000629924.0,11.85,11.95,11.95,11.55,10.55,7.4
Iván Romero,2000629923.0,11.85,12.15,12.15,12.45,11.75,9.0
Luis Pomareta,2000629921.0,4.2,3.4,3.4,4.8,4.8,4.2
Santiago Martínez,2000570461.0,7.55,8.35,8.35,8.2,7.55,9.55
Félix Artigas,2000511083.0,8.6,8.9,8.9,8.5,8.7,8.9
Ignacio Caballero,2000511080.0,12.15,11.55,11.55,12.4,11.8,8.1
Juan Manuel Mejías,2000442677.0,13.5,13.3,13.3,13.6,12.9,10.9
Ismael Bermudo,2000439534.0,12.2,12.5,12.5,13.0,12.2,10.4
Themba Teneso,2000439093.0,8.25,8.05,8.05,9.5,9.75,11.2
Xavi Jiménez,2000194000.0,11.5,11.1,11.1,10.9,10.6,9.6
Juan Antonio,2000710692.0,7.65,7.9,7.9,8.7,6.3,5.1
Andrés Hernández,2000439538.0,13.4,13.3,13.3,13.8,11.7,10.1
Hirofumi Saitô,2000192902.0,6.85,6.65,6.65,7.65,8.15,9.4
Juma Haule,2000570456.0,10.55,11.0,11.0,10.4,9.5,11.0
Adrián Forcén,2000439535.0,8.3,8.0,8.0,9.2,8.8,10.5
