Player,UID,FB,WB,IWB,CWB,NNFB
Chus Beltrán,2000629925.0,9.0,9.55,8.35,10.54,6.55
Adrián Capapé,2000439539.0,12.1,11.9,12.65,12.81,12.1
Cayetano Guzmán,2000685791.0,8.25,7.05,8.4,8.27,8.2
Salvador Román,2000663176.0,8.95,10.05,8.2,10.65,7.9
Bruno Garba,2000663175.0,11.1,7.9,9.3,8.08,10.5
Jesús María,2000663172.0,11.5,8.6,9.65,7.88,11.0
Manu Miguens,2000663171.0,8.0,9.2,7.3,9.62,7.1
Adrián Carrero,2000629926.0,10.65,8.25,10.35,9.38,11.85
Serafín Cabezas,2000629922.0,5.4,7.05,5.8,8.04,4.55
Ramón Alfaro,2000511082.0,10.5,10.0,9.5,10.0,10.0
Biel Cárdenas,2000629927.0,9.15,9.8,7.9,10.15,8.4
Julio,2000629924.0,12.45,9.75,10.05,9.73,11.25
Iván Romero,2000629923.0,12.35,10.45,11.15,10.15,12.15
Luis Pomareta,2000629921.0,4.7,4.0,4.2,4.0,4.8
Santiago Martínez,2000570461.0,8.65,8.8,7.95,9.19,6.65
Félix Artigas,2000511083.0,9.3,9.6,9.0,9.92,8.2
Ignacio Caballero,2000511080.0,11.7,9.1,10.9,9.46,12.5
Juan Manuel Mejías,2000442677.0,12.6,11.1,12.3,11.08,13.3
Ismael Bermudo,2000439534.0,12.3,10.7,12.1,11.0,12.8
Themba Teneso,2000439093.0,9.05,10.15,9.35,11.04,9.05
Xavi Jiménez,2000194000.0,11.1,9.5,10.5,9.15,11.3
Juan Antonio,2000710692.0,7.8,5.2,5.65,5.31,7.1
Andrés Hernández,2000439538.0,13.5,10.7,11.7,10.46,13.5
Hirofumi Saitô,2000192902.0,8.25,9.05,7.15,9.96,6.85
Juma Haule,2000570456.0,11.0,10.3,9.9,10.77,9.3
Adrián Forcén,2000439535.0,9.6,10.1,8.5,10.23,8.3
