Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Chus Beltrán,2000629925.0,5.0,10.5,13.5,7.25,14.5,9.33,9.83,10.5,7.25,12.0,10.75,9.75,10.2,4.83,16.12,9.83,14.5,11.5,12.5,7.83,6.5
Adrián Capapé,2000439539.0,13.0,11.0,9.0,13.0,15.0,11.33,13.5,13.0,13.0,11.5,11.5,12.75,11.6,11.67,14.88,11.67,12.0,15.75,15.25,12.67,11.0
Cayetano Guzmán,2000685791.0,14.5,10.83,11.5,6.5,10.25,13.83,10.5,15.5,6.5,9.5,10.25,12.62,11.7,4.33,8.5,15.5,9.5,13.0,10.25,13.67,3.0
Salvador Román,2000663176.0,5.5,8.17,7.5,5.0,13.75,11.5,11.83,11.0,5.0,14.5,8.25,11.62,10.1,3.33,14.5,10.17,12.5,13.5,12.25,13.5,3.0
Bruno Garba,2000663175.0,12.0,8.67,8.0,11.5,8.5,7.0,5.67,11.5,11.5,7.5,13.0,10.25,7.0,10.67,10.25,11.67,0.0,8.5,9.0,3.67,11.0
Jesús María,2000663172.0,17.0,8.67,7.0,6.5,5.75,8.67,4.0,10.0,6.5,8.0,8.5,9.0,7.2,8.0,11.75,12.0,0.0,6.0,12.5,4.67,11.0
Manu Miguens,2000663171.0,5.0,5.0,6.0,5.0,11.5,2.33,10.33,4.5,5.0,6.5,0.0,11.0,4.4,3.33,12.25,3.0,5.0,9.5,12.0,6.33,10.0
Adrián Carrero,2000629926.0,7.0,6.33,3.5,9.0,14.75,8.0,9.17,12.5,9.0,11.25,8.0,15.88,6.8,8.33,10.0,11.33,0.0,13.75,12.0,7.5,9.0
Serafín Cabezas,2000629922.0,15.0,6.67,6.0,4.0,12.5,10.0,8.5,12.5,4.0,11.0,4.0,7.0,10.0,2.67,10.0,8.33,15.0,11.5,7.5,8.83,0.0
Ramón Alfaro,2000511082.0,12.0,9.67,7.0,9.0,9.0,10.33,10.67,12.5,9.0,9.0,8.5,11.75,10.4,8.67,13.0,11.0,8.0,11.5,13.0,6.67,6.0
Biel Cárdenas,2000629927.0,6.0,8.83,10.0,3.5,12.0,2.67,10.33,8.75,3.5,11.5,0.0,11.25,6.9,2.33,12.75,5.83,10.0,12.5,11.5,7.83,15.0
Julio,2000629924.0,14.0,7.67,5.0,6.5,9.5,7.33,7.0,13.5,6.5,11.0,10.0,10.75,7.2,8.0,14.62,12.0,0.0,10.5,13.25,6.67,8.0
Iván Romero,2000629923.0,10.5,10.67,12.5,12.5,8.0,8.67,6.33,11.0,12.5,6.75,10.5,13.25,9.0,11.5,13.62,11.67,9.0,9.5,13.5,5.0,16.5
Luis Pomareta,2000629921.0,10.0,0.83,0.0,10.5,2.0,3.5,2.67,4.0,10.5,0.0,5.25,5.5,2.1,7.0,8.25,3.5,0.0,4.0,7.0,0.0,0.0
Santiago Martínez,2000570461.0,8.0,13.83,8.5,5.75,11.0,9.67,9.5,11.5,5.75,10.0,9.25,8.75,12.0,3.83,15.25,11.17,12.5,9.0,13.0,5.83,7.5
Félix Artigas,2000511083.0,5.0,10.67,8.0,5.5,12.5,8.0,10.0,9.5,5.5,13.5,7.0,8.0,9.0,6.33,11.75,10.0,11.0,11.0,7.5,8.67,6.0
Ignacio Caballero,2000511080.0,8.5,6.0,4.5,11.25,10.75,8.0,7.33,11.5,11.25,7.5,10.25,13.75,6.5,10.67,11.88,10.83,0.0,11.0,13.5,6.67,10.5
Juan Manuel Mejías,2000442677.0,2.5,10.67,9.0,14.0,9.5,11.33,10.33,14.0,14.0,8.0,12.0,14.0,10.6,12.67,10.25,13.67,8.0,11.5,12.0,8.0,14.0
Ismael Bermudo,2000439534.0,13.0,13.33,7.0,13.0,12.0,9.33,11.33,11.5,13.0,10.0,10.5,13.75,10.4,12.33,12.25,13.0,6.0,12.5,13.0,8.33,12.0
Themba Teneso,2000439093.0,13.0,9.67,10.0,9.5,14.0,11.33,12.33,8.0,9.5,14.0,10.5,12.25,10.2,7.17,13.25,9.33,14.0,14.0,11.5,11.0,3.0
Xavi Jiménez,2000194000.0,14.0,9.0,9.0,10.5,9.5,10.0,6.67,9.0,10.5,8.5,10.5,10.0,8.8,10.67,11.0,10.33,9.0,8.5,12.5,6.83,13.0
Juan Antonio,2000710692.0,7.5,6.5,0.0,8.5,4.25,5.67,3.83,14.75,8.5,1.5,6.5,11.75,6.6,5.67,11.12,11.0,0.0,5.75,10.0,1.0,0.0
Andrés Hernández,2000439538.0,6.0,12.0,7.0,9.5,11.0,11.33,6.67,14.5,9.5,10.0,10.5,12.5,11.2,10.0,12.5,14.33,6.0,10.0,9.5,6.33,14.0
Hirofumi Saitô,2000192902.0,3.0,8.67,6.0,8.0,14.5,11.67,11.33,9.0,8.0,13.0,9.5,10.0,9.8,5.33,15.25,10.0,11.0,12.5,11.0,11.33,2.5
Juma Haule,2000570456.0,12.5,13.17,9.5,5.5,14.75,12.67,9.33,15.25,5.5,12.75,8.0,9.38,13.4,5.83,13.0,13.67,11.5,10.75,9.0,7.83,9.5
Adrián Forcén,2000439535.0,13.0,10.67,7.0,7.0,10.5,12.33,9.67,10.5,7.0,13.5,12.5,11.5,11.4,4.67,14.5,11.0,14.0,11.0,9.0,10.67,4.0
