Player,UID,Position
Chus Beltrán,2000629925,"M (L), AM (R), ST (C)"
Adrián Capapé,2000439539,M/AM (C)
Cayetano Guzmán,2000685791,ST (C)
Salvador Román,2000663176,"AM (RL), ST (C)"
Bruno Garba,2000663175,D/WB (L)
Jesús María,2000663172,D (C)
Manu Miguens,2000663171,WB (L)
Adrián Carrero,2000629926,D/WB (L)
Serafín Cabezas,2000629922,M/AM (C)
Ramón Alfaro,2000511082,"D (RC), WB (R), M (C), AM (R)"
Biel Cárdenas,2000629927,"DM, M (C)"
Julio,2000629924,D/WB/M (R)
Iván Romero,2000629923,"D (C), DM, M (C)"
Luis Pomareta,2000629921,GK
Santiago Martínez,2000570461,"WB/M/AM (R), ST (C)"
Félix Artigas,2000511083,"M (LC), AM (L)"
Ignacio Caballero,2000511080,"D (LC), WB (L), DM"
Juan Manuel Mejías,2000442677,"D (C), DM, M (C)"
Ismael Bermudo,2000439534,"D (C), DM, M (C)"
Themba Teneso,2000439093,ST (C)
Xavi Jiménez,2000194000,"D (LC), DM"
Juan Antonio,2000710692,GK
Andrés Hernández,2000439538,"D (C), DM, M (C)"
Hirofumi Saitô,2000192902,"M/AM (R), ST (C)"
Juma Haule,2000570456,"M (C), AM (RC), ST (C)"
Adrián Forcén,2000439535,"AM (RC), ST (C)"
