Player,UID,CD,BPD,NNCB,Lib
Chus Beltrán,2000629925.0,6.8,8.1,6.3,8.75
Adrián Capapé,2000439539.0,11.0,12.15,11.6,12.55
Cayetano Guzmán,2000685791.0,8.6,9.05,8.1,7.6
Salvador Román,2000663176.0,5.7,6.35,5.8,7.7
Bruno Garba,2000663175.0,10.4,10.3,10.5,8.1
Jesús María,2000663172.0,11.1,10.15,10.5,7.45
Manu Miguens,2000663171.0,6.0,6.6,5.9,6.4
Adrián Carrero,2000629926.0,9.35,8.75,9.45,8.65
Serafín Cabezas,2000629922.0,4.25,4.9,3.95,6.0
Ramón Alfaro,2000511082.0,9.5,9.1,9.3,8.8
Biel Cárdenas,2000629927.0,7.85,6.8,7.1,7.5
Julio,2000629924.0,10.5,9.7,10.0,8.0
Iván Romero,2000629923.0,12.35,11.45,11.95,10.3
Luis Pomareta,2000629921.0,5.0,4.8,5.0,3.4
Santiago Martínez,2000570461.0,7.4,7.6,6.7,8.45
Félix Artigas,2000511083.0,7.0,7.4,7.0,9.0
Ignacio Caballero,2000511080.0,10.3,9.8,10.4,8.65
Juan Manuel Mejías,2000442677.0,11.75,11.45,11.65,11.2
Ismael Bermudo,2000439534.0,12.3,11.7,12.3,11.5
Themba Teneso,2000439093.0,7.95,9.15,8.75,9.55
Xavi Jiménez,2000194000.0,11.3,10.9,11.3,10.3
Juan Antonio,2000710692.0,5.9,4.65,5.65,3.75
Andrés Hernández,2000439538.0,11.5,10.4,11.8,10.6
Hirofumi Saitô,2000192902.0,5.15,5.95,5.35,7.35
Juma Haule,2000570456.0,9.7,9.4,8.9,9.85
Adrián Forcén,2000439535.0,7.2,7.7,7.7,8.4
