Player,UID,FB,WB,IWB,CWB,NNFB
Coke Carrillo,2000048835.0,7.5,4.6,6.4,5.62,7.4
Adama Mendy,2000663542.0,10.55,8.45,9.8,9.0,10.65
Unai Eguíluz,2000066197.0,12.4,10.4,11.3,9.46,11.8
Ángel López,95078297.0,12.2,11.3,11.9,11.23,11.6
Jeremi Rodríguez,2000056279.0,12.1,11.0,11.1,10.62,11.3
Marc Casadó,2000058198.0,10.6,9.8,10.3,10.31,9.6
Juan De Dios Navarro,2000196452.0,9.6,10.2,8.7,10.62,8.1
Vassi,67293620.0,10.2,10.2,10.9,10.92,9.1
Esteban Herrera,2000663543.0,8.35,8.2,8.4,8.96,7.75
Esteban Iglesias,2000443789.0,8.95,9.85,8.55,10.58,7.45
Álex Oyón,2000076170.0,7.0,7.6,6.9,8.46,6.3
Pedro José,2000710721.0,11.4,9.35,9.55,9.27,11.65
Abraham,2000710717.0,5.1,7.05,5.5,8.58,3.9
Alvaro Montoya,2000440605.0,8.3,9.1,8.0,9.92,7.4
Abraham Camus,2000663544.0,5.2,7.95,5.65,9.42,4.95
José Carlos Fernández,2000198844.0,11.6,9.6,11.1,9.0,13.2
Vicente Agulló,2000031433.0,9.7,8.7,8.9,9.31,7.9
Gabriel Blanco,2000200470.0,8.5,7.6,8.6,8.92,7.4
Dramane Diarra,2000710909.0,5.95,8.6,4.55,8.96,5.35
Adrián,67276068.0,5.1,2.85,4.4,3.35,5.0
Dani Villahermosa,2000049421.0,10.4,10.0,11.0,10.54,9.3
Souleymane Kané,2000713453.0,4.35,6.25,5.4,7.27,3.9
