Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Coke Carrillo,2000048835,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adama Mendy,2000663542,0,1,1,0,0,0,0,1,0,0,0,0,0,0
Unai Eguíluz,2000066197,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ángel López,95078297,0,1,1,1,1,0,1,0,0,0,0,0,0,0
Jeremi Rodríguez,2000056279,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Marc Casadó,2000058198,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Juan De Dios Navarro,2000196452,0,0,0,0,0,1,0,0,1,1,1,0,0,0
Vassi,67293620,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Esteban Herrera,2000663543,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Esteban Iglesias,2000443789,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Álex Oyón,2000076170,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pedro José,2000710721,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Abraham,2000710717,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Alvaro Montoya,2000440605,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Abraham Camus,2000663544,0,0,0,0,0,0,0,0,0,1,0,1,1,0
José Carlos Fernández,2000198844,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vicente Agulló,2000031433,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Gabriel Blanco,2000200470,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Dramane Diarra,2000710909,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Adrián,67276068,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani Villahermosa,2000049421,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Souleymane Kané,2000713453,0,0,0,1,0,0,0,0,0,0,0,0,1,1
