Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Coke Carrillo,2000048835.0,10.65,8.47,8.2,8.28,7.68,7.86,7.63,7.91,7.84,7.66
Adama Mendy,2000663542.0,12.34,10.69,10.85,10.31,10.35,9.78,10.21,9.79,10.16,9.5
Unai Eguíluz,2000066197.0,11.82,10.88,11.81,10.3,10.61,9.5,9.85,9.6,9.59,9.41
Ángel López,95078297.0,11.83,11.39,11.54,11.23,11.36,10.88,11.12,10.94,11.0,10.58
Jeremi Rodríguez,2000056279.0,11.54,11.39,11.69,11.16,11.04,10.65,10.6,10.79,10.66,10.37
Marc Casadó,2000058198.0,11.8,11.42,11.03,11.49,11.39,11.57,11.66,11.68,11.84,11.3
Juan De Dios Navarro,2000196452.0,9.49,9.83,9.01,10.36,9.56,10.51,10.08,10.82,10.53,9.92
Vassi,67293620.0,11.25,10.94,10.28,11.19,11.09,11.65,11.41,11.8,11.72,11.48
Esteban Herrera,2000663543.0,10.98,10.04,9.19,10.33,10.14,10.82,10.67,10.91,11.11,10.77
Esteban Iglesias,2000443789.0,10.17,10.08,9.09,10.65,9.96,11.11,10.56,11.38,11.12,10.77
Álex Oyón,2000076170.0,10.29,9.76,8.97,10.05,9.63,10.68,10.28,10.84,11.01,11.63
Pedro José,2000710721.0,11.29,10.17,10.18,9.88,9.85,9.39,9.36,9.65,9.39,8.75
Abraham,2000710717.0,7.48,7.97,6.71,8.62,8.02,9.57,9.43,9.72,9.84,9.51
Alvaro Montoya,2000440605.0,10.43,10.46,9.56,11.02,10.17,11.57,11.0,11.82,11.54,11.73
Abraham Camus,2000663544.0,8.69,8.52,7.01,9.28,8.02,10.02,9.38,10.22,9.94,9.6
José Carlos Fernández,2000198844.0,10.74,10.1,10.91,9.44,9.82,8.58,9.16,8.61,8.68,8.71
Vicente Agulló,2000031433.0,10.06,9.64,9.02,9.86,9.56,9.81,9.83,10.16,10.03,9.46
Gabriel Blanco,2000200470.0,10.54,9.92,8.81,10.26,9.86,10.55,10.67,10.5,10.82,9.79
Dramane Diarra,2000710909.0,7.52,8.05,6.66,8.86,7.39,9.63,8.52,9.96,9.29,9.58
Adrián,67276068.0,9.27,6.78,7.21,6.41,6.28,6.18,5.96,6.21,6.08,6.24
Dani Villahermosa,2000049421.0,10.63,11.02,10.93,11.07,11.32,11.15,11.49,11.22,11.5,10.88
Souleymane Kané,2000713453.0,4.95,6.06,5.31,6.56,6.04,6.96,7.05,7.06,7.14,6.6
