Player,UID,DM,AM,BWM,HB,SV,RGA
Coke Carrillo,2000048835.0,7.4,7.4,7.4,8.3,7.6,6.6
Adama Mendy,2000663542.0,10.6,10.35,10.35,11.2,9.85,9.45
Unai Eguíluz,2000066197.0,12.3,11.9,11.9,11.0,11.0,9.8
Ángel López,95078297.0,12.1,12.0,12.0,11.5,11.9,11.4
Jeremi Rodríguez,2000056279.0,11.5,11.0,11.0,10.9,11.0,10.3
Marc Casadó,2000058198.0,10.4,10.4,10.4,10.3,10.2,11.6
Juan De Dios Navarro,2000196452.0,8.1,8.1,8.1,8.2,8.7,9.8
Vassi,67293620.0,9.8,9.5,9.5,9.3,11.0,12.3
Esteban Herrera,2000663543.0,8.65,8.05,8.05,8.8,8.05,12.1
Esteban Iglesias,2000443789.0,7.65,7.65,7.65,7.9,8.55,11.1
Álex Oyón,2000076170.0,7.0,6.5,6.5,7.2,7.0,10.9
Pedro José,2000710721.0,11.1,10.8,10.8,11.6,10.4,7.3
Abraham,2000710717.0,4.55,5.35,5.35,5.55,5.4,9.75
Alvaro Montoya,2000440605.0,7.6,7.9,7.9,8.6,8.1,9.8
Abraham Camus,2000663544.0,3.8,3.95,3.95,5.85,5.8,8.4
José Carlos Fernández,2000198844.0,12.2,12.2,12.2,12.7,11.0,8.5
Vicente Agulló,2000031433.0,8.8,9.3,9.3,8.8,9.3,9.2
Gabriel Blanco,2000200470.0,8.7,8.7,8.7,8.9,8.3,10.2
Dramane Diarra,2000710909.0,4.1,4.4,4.4,6.15,5.15,6.35
Adrián,67276068.0,5.3,4.15,4.15,5.0,5.15,5.3
Dani Villahermosa,2000049421.0,10.2,10.0,10.0,9.6,10.3,10.7
Souleymane Kané,2000713453.0,4.65,3.1,3.1,3.9,5.2,7.65
