Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Coke Carrillo,2000048835.0,8.3,6.6,8.3,7.8,7.8,7.2,7.3,8.2
Adama Mendy,2000663542.0,11.0,9.0,11.2,10.55,11.1,8.5,9.25,10.9
Unai Eguíluz,2000066197.0,9.2,9.2,11.0,9.3,9.3,8.3,9.1,10.9
Ángel López,95078297.0,11.6,11.1,11.5,11.5,11.4,10.4,11.5,12.1
Jeremi Rodríguez,2000056279.0,10.2,10.2,10.9,10.2,10.2,9.6,9.8,11.2
Marc Casadó,2000058198.0,11.8,10.8,10.3,11.6,11.8,12.4,12.7,11.0
Juan De Dios Navarro,2000196452.0,9.5,8.8,8.2,10.0,9.9,9.8,11.0,8.8
Vassi,67293620.0,12.5,12.3,9.3,11.5,11.9,13.0,13.2,11.0
Esteban Herrera,2000663543.0,11.05,10.85,8.8,11.75,11.3,12.35,13.65,9.95
Esteban Iglesias,2000443789.0,10.4,10.3,7.9,10.8,10.4,12.1,13.3,8.8
Álex Oyón,2000076170.0,9.8,9.9,7.2,10.3,9.6,11.8,13.0,8.2
Pedro José,2000710721.0,10.0,7.3,11.6,10.15,10.15,7.65,8.95,10.8
Abraham,2000710717.0,8.8,9.0,5.55,9.4,9.15,11.65,11.25,6.55
Alvaro Montoya,2000440605.0,9.5,9.8,8.6,10.7,10.4,12.0,12.9,9.0
Abraham Camus,2000663544.0,7.6,9.0,5.85,8.65,8.25,11.45,10.65,6.2
José Carlos Fernández,2000198844.0,8.4,7.8,12.7,9.6,9.4,7.0,8.8,11.0
Vicente Agulló,2000031433.0,9.6,8.4,8.8,9.9,9.8,9.6,11.2,9.9
Gabriel Blanco,2000200470.0,11.2,9.7,8.9,11.8,12.0,11.3,12.2,10.4
Dramane Diarra,2000710909.0,6.55,6.85,6.15,7.5,7.05,9.3,8.65,5.15
Adrián,67276068.0,5.5,5.3,5.0,4.55,4.55,6.1,6.1,5.55
Dani Villahermosa,2000049421.0,10.6,10.7,9.6,10.8,11.6,11.4,11.3,10.9
Souleymane Kané,2000713453.0,6.95,7.1,3.9,8.05,8.3,7.75,6.6,6.1
