Player,UID,AMC,AP,T,SS,AM,EG
Coke Carrillo,2000048835.0,7.0,5.9,7.0,5.9,5.9,5.4
Adama Mendy,2000663542.0,10.3,9.8,10.3,8.45,9.35,8.85
Unai Eguíluz,2000066197.0,8.7,8.2,8.7,7.9,8.4,7.8
Ángel López,95078297.0,11.3,10.7,11.3,10.7,11.2,11.0
Jeremi Rodríguez,2000056279.0,9.9,9.5,9.9,9.2,9.6,9.1
Marc Casadó,2000058198.0,11.9,12.4,11.9,11.0,12.0,11.7
Juan De Dios Navarro,2000196452.0,10.2,11.2,10.2,10.5,10.8,12.3
Vassi,67293620.0,11.6,11.4,11.6,12.6,12.6,12.0
Esteban Herrera,2000663543.0,12.1,12.85,12.1,13.0,13.35,12.65
Esteban Iglesias,2000443789.0,10.6,11.6,10.6,11.6,12.1,13.0
Álex Oyón,2000076170.0,10.9,11.5,10.9,12.4,11.8,11.9
Pedro José,2000710721.0,8.75,7.8,8.75,9.4,9.4,7.65
Abraham,2000710717.0,10.85,12.5,10.85,9.4,10.2,11.85
Alvaro Montoya,2000440605.0,11.1,11.5,11.1,11.5,12.0,12.4
Abraham Camus,2000663544.0,9.75,10.5,9.75,9.15,9.65,10.65
José Carlos Fernández,2000198844.0,8.9,8.4,8.9,8.3,8.8,8.8
Vicente Agulló,2000031433.0,10.1,10.0,10.1,9.4,10.2,10.5
Gabriel Blanco,2000200470.0,12.8,13.0,12.8,11.5,12.3,12.2
Dramane Diarra,2000710909.0,8.2,9.15,8.2,8.6,8.25,9.95
Adrián,67276068.0,3.9,2.9,3.9,4.15,4.15,2.5
Dani Villahermosa,2000049421.0,11.3,11.4,11.3,10.3,11.5,10.6
Souleymane Kané,2000713453.0,8.9,10.35,8.9,9.05,9.3,9.2
