Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Coke Carrillo,2000048835.0,12.0,15.0,10.0,5.0,14.0,11.0,0.0,12.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0,9.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,7.0,11.0,13.0,12.0,16.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,16.0,9.0,14.0,5.0,12.0,9.0,9.0,14.0,12.0,12.0,13.0,26.0
Adama Mendy,2000663542.0,15.5,8.5,10.0,11.5,11.5,9.5,4.5,9.5,10.5,13.5,9.5,7.5,3.5,0.0,3.5,11.5,11.5,7.5,14.5,6.5,4.5,9.0,13.0,8.5,18.5,12.5,11.5,12.5,6.5,9.0,12.0,0.0,13.5,16.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Unai Eguíluz,2000066197.0,11.0,14.0,14.0,10.0,13.0,7.0,5.0,5.0,8.0,14.0,14.0,6.0,8.0,3.0,8.0,7.0,5.0,14.0,12.0,2.0,9.0,15.0,10.0,5.0,10.0,11.0,12.0,12.0,16.0,8.0,8.0,3.0,11.0,9.0,4.0,4.0,3.0,2.5,2.5,3.5,1.0,3.0,4.0,4.0,2.5,3.0,3.0,26.0
Ángel López,95078297.0,12.0,13.0,11.0,12.0,11.0,10.0,13.0,9.0,11.0,14.0,15.0,5.0,9.0,4.0,10.0,12.0,11.0,12.0,12.0,10.0,9.0,12.0,10.0,8.0,10.0,13.0,10.0,8.0,12.0,9.0,11.0,6.0,7.0,10.0,5.0,9.0,2.5,2.0,2.0,3.0,1.0,4.0,2.5,3.0,4.0,3.0,3.0,25.0
Jeremi Rodríguez,2000056279.0,15.0,12.0,14.0,9.0,17.0,8.0,6.0,7.0,12.0,12.0,13.0,4.0,7.0,4.0,8.0,11.0,9.0,12.0,13.0,9.0,9.0,14.0,9.0,10.0,9.0,11.0,10.0,6.0,12.0,8.0,8.0,8.0,4.0,15.0,7.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,3.5,3.0,2.5,3.0,2.0,25.0
Marc Casadó,2000058198.0,12.0,17.0,15.0,10.0,11.0,12.0,10.0,13.0,11.0,6.0,8.0,5.0,6.0,4.0,12.0,12.0,12.0,13.0,14.0,9.0,13.0,10.0,11.0,12.0,8.0,11.0,11.0,14.0,7.0,14.0,14.0,5.0,10.0,14.0,6.0,8.0,3.0,2.5,3.0,2.5,3.0,3.0,2.0,2.0,1.5,4.0,4.0,25.0
Juan De Dios Navarro,2000196452.0,16.0,14.0,13.0,13.0,11.0,9.0,13.0,8.0,13.0,5.0,7.0,0.0,0.0,5.0,9.0,11.0,16.0,8.0,8.0,6.0,17.0,6.0,4.0,11.0,5.0,14.0,6.0,9.0,7.0,8.0,8.0,7.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Vassi,67293620.0,10.0,16.0,13.0,10.0,6.0,15.0,17.0,14.0,10.0,10.0,13.0,5.0,11.0,13.0,9.0,11.0,14.0,15.0,12.0,11.0,11.0,5.0,8.0,6.0,8.0,10.0,7.0,12.0,7.0,13.0,9.0,11.0,4.0,7.0,4.0,9.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,3.5,2.5,2.0,2.0,27.0
Esteban Herrera,2000663543.0,10.0,16.0,10.5,11.5,12.0,11.0,15.0,8.0,11.5,0.0,9.0,9.0,0.0,8.0,16.0,9.0,14.5,17.0,16.5,10.5,16.5,3.5,4.5,9.0,9.0,10.0,7.0,10.0,0.0,11.5,10.5,4.0,10.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Esteban Iglesias,2000443789.0,14.0,18.0,14.0,11.0,9.0,12.0,15.0,10.0,10.0,4.0,6.0,9.0,9.0,5.0,14.0,10.0,17.0,14.0,8.0,6.0,16.0,5.0,6.0,6.0,8.0,15.0,7.0,14.0,3.5,10.0,8.0,8.0,4.0,12.0,5.0,8.0,2.0,3.0,2.0,4.0,1.0,4.0,3.0,5.0,2.0,2.5,3.0,22.0
Álex Oyón,2000076170.0,11.0,16.0,11.0,7.0,7.0,14.0,14.0,11.0,10.0,0.0,8.0,7.0,0.0,16.0,17.0,6.0,14.0,12.0,14.0,11.0,14.0,2.0,16.0,10.0,6.0,13.0,8.0,9.0,0.0,10.0,9.0,4.0,10.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Pedro José,2000710721.0,10.5,14.5,11.0,13.0,12.5,5.5,12.5,8.5,15.0,10.0,9.5,0.0,0.0,0.0,0.0,7.5,14.0,13.5,13.0,7.0,0.0,11.0,4.0,12.5,16.0,9.0,5.5,8.5,10.5,0.0,10.0,0.0,6.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Abraham,2000710717.0,9.0,13.0,14.5,6.5,4.5,17.5,10.0,13.5,4.5,0.0,0.0,0.0,0.0,6.5,17.0,12.0,11.5,0.0,8.5,12.5,16.5,0.0,10.5,13.0,5.5,8.5,9.5,15.5,0.0,14.5,16.5,9.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Alvaro Montoya,2000440605.0,15.0,15.0,14.0,11.0,16.0,15.0,14.0,12.0,11.0,0.0,5.0,12.0,0.0,6.0,14.0,12.0,11.0,12.0,9.0,9.0,9.0,3.0,10.0,11.0,8.0,16.0,13.0,14.0,0.0,11.0,12.0,9.0,10.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Abraham Camus,2000663544.0,17.0,12.0,14.0,5.5,6.5,16.5,8.0,12.5,6.5,0.0,0.0,0.0,0.0,6.0,15.0,17.0,9.5,0.0,7.5,4.5,7.5,0.0,5.0,10.5,17.5,10.0,9.5,17.0,0.0,11.0,9.0,13.5,0.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
José Carlos Fernández,2000198844.0,6.0,11.0,9.0,13.0,15.0,7.0,7.0,4.0,13.0,11.0,12.0,5.0,6.0,0.0,7.0,7.0,7.0,13.0,9.0,4.0,7.0,16.0,14.0,10.0,18.0,15.0,12.0,12.0,14.0,5.0,9.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Vicente Agulló,2000031433.0,12.0,14.0,15.0,10.0,5.0,14.0,14.0,12.0,8.0,5.0,9.0,2.5,6.0,0.0,9.0,11.0,9.0,10.0,9.0,2.5,8.0,9.0,8.0,7.0,7.0,14.0,9.0,7.0,5.0,8.0,14.0,0.0,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Gabriel Blanco,2000200470.0,11.0,14.0,10.0,15.0,12.0,10.0,8.0,9.0,14.0,0.0,7.0,8.0,0.0,4.0,10.0,15.0,15.0,9.0,15.0,7.0,9.0,4.0,4.0,9.0,8.0,14.0,8.0,10.0,0.0,12.0,15.0,4.0,15.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
