Player,UID,Position
Pavlos Rassias,2000237428,M/AM (C)
Christian,2000632607,"AM (RC), ST (C)"
Pier Giorgio Taddei,2000571737,M/AM (C)
Luca Volpi,2000569300,D/M (C)
Simone Barcellona,2000508897,"AM (L), ST (C)"
Giancarlo Spozio,2000508197,"M (C), AM (R)"
Riccardo Leonardi,2000442509,M/AM (C)
Fabio Romani,2000439764,D (RC)
Simone Scotta,2000437494,M/AM (C)
Giovanni Piva,2000325053,M/AM (R)
Martin De Gasperi,2000325005,"AM (C), ST (C)"
Eligio Genchi,2000323481,M/AM (C)
Ludovico Serretti,2000199979,ST (C)
Pablo Torre,2000040347,M/AM (C)
Yoane Wissa,85140175,"M/AM (L), ST (C)"
Michael Cortesão,2000708279,D (L)
Matteo Grasso,2000573680,"AM (C), ST (C)"
Tor Andreas Norheim,2000560760,WB/M/AM (L)
Francesco Vrenna,2000439770,M/AM (C)
Luca Faraoni,2000439465,D (LC)
Francisco Borja Cruz,2000437496,"AM (RL), ST (C)"
Alfio Cattani,2000326553,D (C)
Francesco Matta,2000325901,"M (C), AM (RLC)"
Domenico Barbato,2000325091,"DM, M (C)"
Alessandro Longoni,2000191664,D (RC)
Łukasz Poręba,96131652,"DM, M/AM (C)"
Abdou Diallo,85120721,"D (LC), DM"
Filippo Sgarbi,43161673,D (C)
Mauro Coppolaro,43159454,"D (RC), WB (R)"
Tomas Suslov,37076659,"M (RC), AM (RLC), ST (C)"
Justin Hoogma,37059335,"D (LC), DM"
Jonas Larsen,2000325619,"D (RL), AM (R)"
Antonino Fradella,43393070,D (RLC)
Bartłomiej Maliszewski,96160054,GK
Antonio Vaccaro,2000324883,GK
Filippo Rinaldi,43425797,GK
Abner Medrado,2000410747,"M (L), AM (LC)"
Jesús Castillejo,2000569085,"M/AM (R), ST (C)"
Nuno Garcia,2000567861,"M (R), AM (RC)"
Gennaro Caiazzo,2000434797,"DM, M/AM (C)"
Andrea Signori,2000569091,D (LC)
Dejan Petrovič,62176071,"DM, M/AM (C)"
Janis Antiste,49048340,"AM (RLC), ST (C)"
Andreaw Gravillon,43207127,D (C)
Amir Murillo,80028885,"D (RC), WB (R)"
