Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Pavlos Rassias,2000237428.0,2.5,14.12,14.0,12.42,2.25,2.5,2.25,2.25
Christian,2000632607.0,2.5,13.0,14.0,11.5,3.25,3.0,2.25,2.5
Pier Giorgio Taddei,2000571737.0,2.75,14.0,13.0,12.5,2.5,3.5,2.25,2.5
Luca Volpi,2000569300.0,2.75,13.0,9.0,10.5,4.0,1.5,1.75,2.5
Simone Barcellona,2000508897.0,2.75,14.88,12.5,11.75,2.75,3.0,2.75,2.75
Giancarlo Spozio,2000508197.0,2.25,12.62,11.75,11.17,2.25,2.0,2.5,3.0
Riccardo Leonardi,2000442509.0,1.75,10.88,11.5,9.58,2.75,1.5,3.5,3.25
Fabio Romani,2000439764.0,3.0,12.5,10.0,13.58,2.5,3.0,1.75,3.25
Simone Scotta,2000437494.0,2.75,12.38,10.0,12.5,2.25,4.5,4.25,2.5
Giovanni Piva,2000325053.0,0.0,8.75,13.0,7.75,0.0,0.0,0.0,0.0
Martin De Gasperi,2000325005.0,3.0,12.5,10.0,12.17,2.0,3.5,2.5,2.5
Eligio Genchi,2000323481.0,3.25,10.62,9.0,11.58,2.5,2.0,1.5,2.0
Ludovico Serretti,2000199979.0,1.25,7.12,7.5,10.58,2.75,1.5,3.5,2.75
Pablo Torre,2000040347.0,1.25,11.12,12.0,11.75,3.0,2.0,2.5,3.0
Yoane Wissa,85140175.0,2.25,12.25,13.0,12.58,2.75,4.0,1.5,2.5
Michael Cortesão,2000708279.0,2.5,12.0,15.0,12.83,3.0,2.0,2.5,1.5
Matteo Grasso,2000573680.0,3.25,12.62,11.75,12.75,2.75,4.0,2.75,1.75
Tor Andreas Norheim,2000560760.0,3.25,14.5,12.5,5.92,2.75,1.5,3.0,3.0
Francesco Vrenna,2000439770.0,3.75,10.75,11.0,10.83,1.75,2.5,3.25,2.75
Luca Faraoni,2000439465.0,4.0,11.88,11.0,11.75,2.25,4.5,1.75,1.25
Francisco Borja Cruz,2000437496.0,2.5,14.0,13.0,11.75,2.0,4.0,1.75,3.75
Alfio Cattani,2000326553.0,2.25,10.38,9.75,12.75,2.5,4.0,2.25,3.0
Francesco Matta,2000325901.0,3.0,9.62,11.0,9.0,2.25,3.5,2.0,2.0
Domenico Barbato,2000325091.0,2.25,12.75,10.0,11.5,3.25,2.5,2.0,2.25
Alessandro Longoni,2000191664.0,2.5,13.25,12.0,11.25,2.5,4.5,2.5,1.75
Łukasz Poręba,96131652.0,2.5,12.25,12.0,12.33,2.5,2.5,2.75,1.75
Abdou Diallo,85120721.0,2.0,13.12,13.5,13.58,2.75,2.5,2.5,2.75
Filippo Sgarbi,43161673.0,2.75,14.0,11.75,12.58,2.25,3.0,1.5,4.0
Mauro Coppolaro,43159454.0,1.0,13.75,12.0,13.17,1.5,3.0,2.5,1.5
Tomas Suslov,37076659.0,2.5,12.25,11.5,11.25,3.25,3.0,1.75,3.0
Justin Hoogma,37059335.0,1.75,10.75,12.0,13.0,3.0,2.0,2.5,3.0
Jonas Larsen,2000325619.0,2.5,12.75,13.5,11.92,2.25,2.5,1.5,2.75
Antonino Fradella,43393070.0,3.0,13.12,13.25,13.25,3.25,1.5,2.25,2.25
Bartłomiej Maliszewski,96160054.0,9.5,10.0,10.0,11.75,8.0,8.0,13.25,12.5
Antonio Vaccaro,2000324883.0,15.0,13.75,11.5,11.5,14.75,10.0,14.5,13.0
Filippo Rinaldi,43425797.0,12.5,9.0,10.0,11.75,7.5,5.0,14.5,12.0
Abner Medrado,2000410747.0,2.0,13.62,14.0,11.92,3.0,1.0,2.5,2.25
Jesús Castillejo,2000569085.0,2.25,12.5,14.0,11.5,1.75,2.0,3.0,2.5
Nuno Garcia,2000567861.0,1.5,14.75,14.5,12.17,1.5,3.0,1.5,2.5
Gennaro Caiazzo,2000434797.0,2.0,14.75,12.5,13.5,1.5,3.0,2.0,3.0
Andrea Signori,2000569091.0,2.75,13.12,11.25,14.75,2.25,2.5,2.5,3.75
Dejan Petrovič,62176071.0,2.25,12.12,11.0,11.5,2.75,4.0,1.75,2.75
Janis Antiste,49048340.0,1.25,11.88,14.0,11.58,2.0,1.0,2.25,2.25
Andreaw Gravillon,43207127.0,3.25,14.88,14.75,13.08,2.0,2.5,3.0,2.5
Amir Murillo,80028885.0,0.0,5.25,10.0,7.08,0.0,0.0,0.0,0.0
