Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Asier Goñi,2000570279,0,1,1,0,0,0,0,0,0,0,0,0,0,0,abilbaoc
Eduardo Garai,2000662654,0,1,1,1,0,0,0,0,0,0,0,0,0,0,abilbaoc
Mikel Castelo,2000510693,0,0,1,1,0,1,1,0,1,0,0,0,0,0,abilbaoc
Alfredo Núñez,2000570280,0,0,1,0,0,1,0,0,1,0,0,0,0,0,abilbaoc
Daniel Tena,2000629406,0,1,1,0,1,1,0,0,0,0,0,0,0,0,abilbaoc
Iker Jiménez,2000629408,0,0,1,0,0,1,0,0,1,0,0,0,0,0,abilbaoc
Josu Jauregi,2000629409,0,0,1,0,0,1,0,0,1,0,0,0,0,0,abilbaoc
Iker Marco,2000632769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,abilbaoc
Isaac,2000681907,0,1,1,1,0,0,0,0,0,0,0,0,0,0,andorra
Anthony Maillard,2000662437,0,0,1,0,0,0,0,0,0,0,0,0,0,0,andorra
Emiliano Amor,14080997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,andorra
Miguel Gómez,2000055060,0,0,1,0,0,1,0,0,1,0,0,0,0,0,andorra
Èric Montes,95036004,0,1,1,0,0,1,0,0,1,0,0,0,0,0,andorra
Carlos Castro,2000444086,0,0,1,0,0,0,0,0,0,0,0,0,0,0,andorra
Atakan Karazor,92074021,0,0,1,0,0,1,0,0,1,0,0,0,0,0,apamplonab
Mikel Bengoetxea,2000510871,0,1,1,0,0,1,0,0,1,0,0,0,0,0,apamplonab
Diego,2000574102,0,0,1,1,0,0,0,0,0,1,0,0,0,0,apamplonab
Iosu Pérez,2000510877,0,1,1,0,0,1,0,0,1,0,0,0,0,0,apamplonab
Ale Sánchez,2000512877,0,0,1,0,0,1,0,0,1,1,1,1,1,0,badalona
Christian Díaz,2000510073,0,1,1,0,0,0,0,0,1,0,0,0,0,0,badalona
Jesús María Lope,2000680621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,badalona
Jesús García,2000443709,0,1,1,0,1,0,1,0,0,0,0,0,0,0,badalona
Ángel Rueda,2000053923,0,0,1,0,0,0,0,0,0,0,0,0,0,0,badalona
Oriol Valentín,2000632214,0,1,1,0,0,0,0,0,0,0,0,0,0,0,eibar
Antonio Sánchez,2000570832,0,0,1,0,0,1,0,0,1,0,0,0,0,0,eibar
Stefan Bajčetić,2000082598,0,0,1,0,0,0,0,0,0,0,0,0,0,0,eibar
Álex López,67257948,0,0,1,0,0,1,0,0,1,0,0,0,0,0,eibar
Yanis Mohamed,2000710637,0,0,1,0,0,0,0,0,0,0,0,0,0,0,girona
