Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Jokin Aguirre,2000628756.0,8.83,12.88,15.75,8.83,5.83,9.33,8.5,9.33,abilbaoc
Daniel Tena,2000629406.0,14.83,11.75,11.25,6.33,3.67,6.83,11.5,11.83,abilbaoc
Miguel Loureiro,67210521.0,12.0,11.5,14.75,9.67,8.67,9.5,10.5,13.75,andorra
Adrián Tellado,67260179.0,4.67,9.25,11.5,10.33,10.0,11.33,7.0,11.67,andorra
Mati,2000556504.0,9.83,13.12,11.5,7.5,6.67,7.67,10.5,9.75,badalona
Jesús García,2000443709.0,9.5,6.38,5.5,2.17,2.67,5.83,9.0,7.83,badalona
Eugenio,2000196447.0,10.0,11.75,10.0,8.67,4.67,11.33,9.5,10.83,badalona
Jorge Álvarez,2000202563.0,1.33,11.75,15.0,11.0,8.67,12.0,13.0,12.5,eibar
Iván Calero,67176056.0,12.67,8.75,9.0,12.33,11.0,12.0,9.0,11.83,eibar
Andrés Romero,2000193995.0,11.83,9.75,8.75,2.33,1.5,6.33,13.0,12.67,girona
Diogo Fonseca,2000197949.0,9.83,5.25,11.0,3.5,3.5,5.0,6.5,10.0,hospitalet
Chechu,2000629747.0,10.67,11.25,11.0,11.67,5.67,7.33,7.5,12.5,hospitalet
José Antonio Zubillaga,2000443802.0,10.0,6.5,12.25,3.17,2.5,4.33,8.25,9.58,hospitalet
Sandro,2000515229.0,0.0,4.75,13.25,7.67,5.17,6.5,9.0,2.33,hospitalet
Hugo Rincón,2000065892.0,12.67,12.0,14.5,8.0,6.83,9.33,7.0,9.92,leonesa
Eneko Aguilar,67297733.0,7.33,12.5,12.0,11.0,9.33,9.67,7.0,10.33,lleida
Abdel Soyinkou,2000713015.0,9.67,7.38,12.5,1.67,2.0,8.17,12.25,9.92,lleida
David Carmona,67188934.0,12.0,10.75,11.0,12.0,9.67,11.0,8.0,11.17,logrones
Marcos Trabanco,2000016812.0,4.33,11.0,10.5,9.33,11.33,14.33,7.0,11.5,logrones
Alex Aketxe,2000443798.0,8.33,12.5,13.0,11.83,7.5,12.5,11.0,12.92,mirandes
Luis Jiménez,2000441678.0,8.33,13.5,14.5,9.33,6.0,6.33,10.5,13.25,numantia
Ryan Pole,76062797.0,11.33,11.12,11.5,2.17,1.83,10.83,8.5,12.08,ponferrada
Edgar Fernández,2000514789.0,9.67,5.0,9.5,2.33,4.33,5.67,10.5,11.0,ponferrada
Ángel López,95078297.0,12.67,11.75,11.5,10.0,7.67,11.33,10.5,11.33,rsantander
Vicente Agulló,2000031433.0,6.33,11.25,13.5,9.0,7.0,12.33,6.5,9.33,rsantander
Luis,2000193720.0,12.33,12.25,12.0,7.67,6.0,7.0,6.0,12.17,sabadell
Carlos,2000512225.0,4.67,10.75,10.0,12.67,8.0,9.33,10.0,11.67,sabadell
Ramón Alfaro,2000511082.0,8.0,12.5,13.0,10.33,5.33,8.33,9.5,10.83,zaragozab
Julio,2000629924.0,9.0,14.25,14.0,3.33,1.67,10.0,9.5,11.83,zaragozab
Santiago Martínez,2000570461.0,2.5,12.5,15.0,12.0,9.83,11.17,8.25,9.75,zaragozab
