Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Juan Manuel Díez,2000629228,0,0,0,0,0,0,0,0,1,0,0,1,0,0,abilbaoc
Xabier Núñez,2000629413,0,0,0,0,0,0,0,0,0,0,1,1,1,1,abilbaoc
Didier Oyarzun,2000632730,0,0,0,0,0,0,0,0,1,0,0,1,1,0,abilbaoc
Jesús Díaz,2000437762,0,0,0,0,0,0,0,0,1,0,0,1,0,1,andorra
Miguel Embid,2000570458,0,0,0,0,0,0,0,0,0,0,1,1,0,1,andorra
Francisco Javier Sáiz,2000679747,0,0,0,0,0,0,0,0,1,0,1,1,0,0,andorra
Adrián Tellado,67260179,0,1,0,0,1,0,0,0,0,0,0,1,0,1,andorra
Harvey Woods,2000031620,0,0,0,0,0,0,0,0,0,0,1,1,1,1,andorra
Bryan Zaragoza,2000054263,0,0,0,0,0,0,0,1,0,1,0,1,1,0,andorra
Jon Ander Garai,2000684546,0,0,0,0,0,0,0,0,1,0,0,1,0,0,andorra
Antxón Arregi,2000570451,0,0,0,0,0,0,0,0,0,0,0,1,0,1,apamplonab
Víctor Sarriegi,2000570454,0,0,0,0,0,0,0,1,0,0,1,1,1,1,apamplonab
Lander Goñi,2000510872,0,0,0,0,0,1,0,0,1,0,0,1,0,0,apamplonab
Marcos Goñi,2000629740,0,0,0,0,0,0,0,0,1,0,0,1,1,0,apamplonab
Martín Alonso,2000681854,0,0,0,0,0,0,0,0,1,0,1,1,0,0,badalona
Pascual,2000632678,0,0,0,0,0,0,0,0,0,0,1,1,0,1,badalona
Ale Sánchez,2000512877,0,0,1,0,0,1,0,0,1,1,1,1,1,0,badalona
Jesus,2000443702,0,0,0,0,0,0,0,0,0,0,1,1,0,1,badalona
Aitor Añibarro,2000035882,0,0,0,0,0,0,0,0,0,0,0,1,0,1,badalona
Ramón López,2000679928,0,0,0,0,0,0,0,0,1,0,1,1,0,0,badalona
Roger Colomina,2000015276,0,0,0,0,0,0,0,0,1,0,0,1,0,0,badalona
Eugenio,2000196447,0,1,0,1,1,0,0,0,0,0,0,1,0,0,badalona
Óscar Coll,67277671,0,0,0,0,0,0,0,0,1,0,0,1,0,0,badalona
Iván Gil,67277668,0,0,0,0,0,0,0,0,1,0,0,1,0,0,badalona
