Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Andoni Hernández,2000662653,1,0,0,0,0,0,0,0,0,0,0,0,0,0,abilbaoc
Ander Cantero,2000200392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,andorra
Miguel López,2000714751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,andorra
Sergi Puig,67247577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,andorra
Josema,2000438803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,apamplonab
Jaume Ramón,2000198629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,badalona
Txomin Zubiri,2000439530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,badalona
Dorian Vera,2000514439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,eibar
Juan Pérez,67217545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,eibar
Adrián Ortolà,67115824,1,0,0,0,0,0,0,0,0,0,0,0,0,0,girona
Lluís,2000443359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,girona
Ignacio Otaño,67240441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hospitalet
Jorge Bríngola,2000512567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,hospitalet
Diego Llamazares,2000013481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,leonesa
Abdulrahman Al-Marri,2000711945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,leonesa
José Ángel Pillado,2000743514,1,0,0,0,0,0,0,0,0,0,0,0,0,0,lleida
Ángel Jiménez,2000067577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,lleida
Ramón Juan,67258716,1,0,0,0,0,0,0,0,0,0,0,0,0,0,logrones
Pablo Picón,67277686,1,0,0,0,0,0,0,0,0,0,0,0,0,0,logrones
Carlos Marín,67211705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mirandes
Ngala Diop,2000712992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mirandes
Miquel Parera,67199250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,numantia
Tom Ahlvers,2000197803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,numantia
Unai Goti,2000065885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,olot
Jorge Sangalli,2000202624,1,0,0,0,0,0,0,0,0,0,0,0,0,0,olot
Jordi Prats,2000202599,1,0,0,0,0,0,0,0,0,0,0,0,0,0,olot
Igor Cuesta,2000740950,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ponferrada
Álvaro Fernández,67262229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,pontevedra
Pedro Manuel Peña,2000665371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,pontevedra
Raffaele Russo,2000324450,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsanb
Ronald Woudenberg,2000633117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsanb
Agustín Kranevitter,2000612966,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsanb
Coke Carrillo,2000048835,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsantander
Adrián,67276068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,rsantander
Ander Iru,67260190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,sabadell
Alberto,2000714494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,sabadell
Juanma,2000199335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tarragona
Antoni,2000742548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,tarragona
Luis Pomareta,2000629921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zaragozab
Juan Antonio,2000710692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,zaragozab
