Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age,Team
Asier Goñi,2000570279.0,10.5,10.5,12.5,8.5,15.0,8.5,8.5,9.5,8.5,10.5,10.0,2.5,4.0,0.0,6.5,7.5,3.0,9.5,13.5,1.5,6.0,12.5,8.5,15.5,15.5,13.5,14.5,15.5,11.0,7.5,9.5,0.0,13.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,abilbaoc
Eduardo Garai,2000662654.0,9.0,16.0,13.0,9.0,12.0,12.0,10.0,10.5,14.0,13.0,13.5,4.0,9.5,5.0,10.0,9.0,10.0,16.0,15.0,7.0,12.5,12.0,12.0,8.0,18.5,12.0,7.5,13.0,14.0,7.0,10.0,7.0,14.0,12.0,6.5,8.0,2.0,4.0,1.5,3.0,1.0,3.0,3.0,3.5,2.5,1.5,1.5,18.0,abilbaoc
Jokin Aguirre,2000628756.0,16.0,15.0,15.5,9.0,11.0,14.0,7.0,9.0,13.0,6.5,8.0,3.0,4.0,2.5,6.0,7.0,7.0,10.0,7.0,5.0,10.0,12.0,6.0,10.0,12.5,9.5,14.0,6.0,8.0,9.5,12.5,3.0,11.0,12.0,8.0,7.0,3.0,2.5,5.0,3.0,2.5,3.0,1.0,2.5,2.5,3.5,4.0,19.0,abilbaoc
Daniel Tena,2000629406.0,13.0,10.5,9.5,11.5,16.5,6.5,5.5,5.5,12.5,16.5,16.5,10.5,7.5,0.0,5.5,7.0,8.5,12.5,14.5,6.5,6.5,12.5,6.5,8.0,9.5,13.5,10.5,10.5,15.5,5.5,7.5,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,abilbaoc
Fran,2000629410.0,15.5,10.5,12.0,9.5,4.5,10.5,5.5,9.5,15.5,15.5,8.5,6.5,5.5,6.5,5.5,11.5,8.5,9.5,14.5,3.5,3.0,10.0,9.0,14.5,16.5,17.5,11.5,14.5,8.5,10.0,13.0,10.5,16.5,12.5,7.5,3.5,3.0,2.0,3.0,3.0,4.5,2.5,2.5,2.0,3.5,3.0,3.0,19.0,abilbaoc
Miguel Loureiro,67210521.0,14.0,14.0,15.5,11.0,9.0,9.5,10.0,9.5,11.0,12.0,13.5,2.0,7.5,4.5,12.0,12.0,9.0,13.0,12.0,2.5,5.5,12.0,12.0,14.0,10.5,11.5,9.5,18.0,12.0,11.5,15.5,11.0,9.0,11.0,6.5,5.0,3.5,2.5,2.0,2.5,1.5,4.0,2.5,3.5,1.5,3.5,2.0,31.0,andorra
Isaac,2000681907.0,9.5,10.5,11.5,16.0,14.5,9.5,8.5,9.5,13.0,11.5,12.5,5.5,8.5,0.0,10.5,7.5,14.0,14.5,12.0,6.0,9.5,16.5,12.5,10.5,14.5,9.5,10.5,7.5,13.5,11.5,15.5,4.0,7.5,5.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,andorra
Amador,2000440900.0,12.0,15.0,11.0,17.0,11.0,7.0,6.0,7.0,15.0,9.0,14.0,6.0,7.0,4.0,9.0,14.0,8.0,13.0,13.0,9.0,8.0,10.0,7.0,11.0,17.0,16.0,11.0,10.0,12.0,10.0,16.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,andorra
Èric Montes,95036004.0,11.0,11.0,14.0,14.0,7.0,10.0,9.0,6.0,10.0,10.0,11.0,7.0,7.0,0.0,9.0,9.0,9.0,13.0,12.0,10.0,6.0,16.0,13.0,14.0,14.0,9.0,10.0,14.0,13.0,9.0,16.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,andorra
Adrián Tellado,67260179.0,13.0,11.0,10.0,12.0,2.0,14.0,8.0,13.0,8.0,0.0,13.0,5.0,0.0,6.0,11.0,9.0,12.0,9.0,10.0,2.0,14.0,14.0,12.0,7.0,13.0,11.0,7.0,13.0,0.0,8.0,12.0,9.0,8.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,andorra
