Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC,Team
Mikel Castelo,2000510693,0,0,1,1,0,1,1,0,1,0,0,0,0,0,abilbaoc
Fran,2000629410,0,1,0,1,0,0,1,0,0,0,0,0,0,0,abilbaoc
Hugo Bueno,28127371,0,0,0,1,0,0,1,0,1,0,0,0,0,0,andorra
Antonio Poo,2000076428,0,0,0,1,0,0,1,0,0,0,0,0,0,0,andorra
Martí Vilà,67258410,0,0,0,1,0,0,1,0,0,0,0,0,0,0,andorra
Jesús García,2000443709,0,1,1,0,1,0,1,0,0,0,0,0,0,0,badalona
Jeremy Socorro,67275291,0,0,0,1,0,0,1,0,0,0,0,0,0,0,badalona
Esteban Navarro,2000685451,0,0,0,1,0,0,1,0,0,0,0,0,0,0,badalona
Manuel Jesús Romero,2000194994,0,0,0,1,0,0,1,0,0,1,0,0,1,0,eibar
Iván Calero,67176056,0,1,0,1,1,0,1,1,0,1,1,0,0,0,eibar
Jordi Busquets,2000574550,0,0,0,1,0,0,1,0,0,0,0,1,1,0,girona
Mikel Santamaría,2000201716,0,0,0,1,0,0,1,0,0,0,0,0,0,0,girona
Felipe Medina,2000572053,0,0,0,1,0,0,1,0,0,0,0,0,0,0,leonesa
Gorka Iglesias,2000570645,0,1,0,1,0,0,1,0,0,0,0,0,0,0,logrones
Lancho,2000052042,0,0,0,1,0,0,1,0,0,0,0,0,1,1,logrones
Jean-Marie Durand,2000198617,0,0,0,1,0,0,1,0,0,0,0,0,0,0,mirandes
Echedey Carpintier,83212484,0,0,0,1,0,0,1,0,0,1,0,0,1,0,mirandes
Diego Pampín,67247255,0,0,0,1,0,0,1,0,0,1,1,0,1,0,numantia
Iván Bravo,67276128,0,0,1,1,0,0,1,0,0,0,0,0,0,0,olot
Mikel Kortazar,67260193,0,0,0,1,0,0,1,0,0,1,0,0,1,0,olot
Álex Pérez,2000020028,0,0,0,1,0,0,1,0,0,0,0,0,0,0,pontevedra
Andrés Alcántara,2000440886,0,1,1,1,0,0,1,0,0,0,0,0,0,0,pontevedra
David Luna,67261047,0,0,1,1,0,0,1,0,0,0,0,0,0,0,pontevedra
Antonio Navarro,2000571902,0,0,1,1,0,0,1,0,1,1,0,0,1,0,rsanb
Ángel López,95078297,0,1,1,1,1,0,1,0,0,0,0,0,0,0,rsantander
Jeremi Rodríguez,2000056279,0,0,1,1,0,0,1,0,0,0,0,0,0,0,rsantander
Pedro José,2000710721,0,0,0,1,0,0,1,0,0,0,0,0,0,0,rsantander
Arnau Solà,67296656,0,0,1,1,0,1,1,0,1,1,0,0,0,0,tarragona
Julio,2000197814,0,0,0,1,0,0,1,0,0,0,0,0,0,0,tarragona
Bruno Garba,2000663175,0,0,0,1,0,0,1,0,0,0,0,0,0,0,zaragozab
Manu Miguens,2000663171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,zaragozab
Adrián Carrero,2000629926,0,0,0,1,0,0,1,0,0,0,0,0,0,0,zaragozab
Ignacio Caballero,2000511080,0,0,1,1,0,1,1,0,0,0,0,0,0,0,zaragozab
