Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Eduardo Garai,2000662654.0,12.0,11.0,12.0,11.75,11.0,14.5,8.67,12.5,11.75,10.0,12.0,12.12,12.1,12.5,12.5,13.67,10.0,9.5,9.75,7.33,12.0,abilbaoc
Mikel Castelo,2000510693.0,13.5,7.67,3.5,6.75,7.5,6.67,6.83,11.0,6.75,6.5,8.75,12.38,6.5,8.0,9.62,10.83,0.0,10.25,7.5,4.67,10.5,abilbaoc
Fran,2000629410.0,4.5,10.83,9.0,12.5,9.5,9.0,10.17,13.75,12.5,7.0,9.0,13.75,10.0,11.17,13.88,12.33,5.5,10.0,14.5,6.17,10.0,abilbaoc
Isaac,2000681907.0,14.5,13.83,12.5,10.5,11.75,12.0,8.5,13.75,10.5,11.25,11.0,12.12,12.6,11.5,10.25,14.0,10.5,10.75,10.0,6.67,16.5,andorra
Hugo Bueno,28127371.0,13.0,9.0,10.0,13.0,11.5,11.67,12.67,11.5,13.0,11.5,11.0,8.75,10.6,12.33,12.5,10.67,7.0,13.0,10.5,7.33,11.0,andorra
Antonio Poo,2000076428.0,8.0,10.33,9.0,8.5,10.0,8.0,5.33,11.5,8.5,7.5,10.0,15.0,9.4,8.67,15.25,10.33,7.0,8.0,10.5,5.0,14.0,andorra
Martí Vilà,67258410.0,14.0,7.17,7.5,4.0,9.75,8.83,5.5,11.0,4.0,4.75,0.0,4.62,7.0,7.0,6.12,11.67,0.0,8.25,2.5,3.17,14.5,andorra
Diego,2000574102.0,16.5,10.17,5.5,11.75,8.25,10.83,6.0,15.5,11.75,6.25,11.25,12.62,10.3,11.33,8.5,14.17,3.5,9.0,9.75,4.67,9.5,apamplonab
Javier Zubizarreta,2000570450.0,3.5,9.83,7.0,6.25,11.0,9.17,12.33,12.75,6.25,10.5,10.0,12.75,9.9,4.17,14.62,11.0,9.5,12.75,11.5,6.83,7.0,apamplonab
Eugenio,2000196447.0,13.0,8.33,6.0,10.5,13.5,10.67,8.67,11.5,10.5,11.5,10.5,10.25,9.6,10.67,11.0,10.67,4.0,13.0,12.5,7.33,8.0,badalona
Jeremy Socorro,67275291.0,2.5,9.0,8.0,9.5,9.5,10.33,5.0,12.0,9.5,7.5,11.0,11.62,10.2,9.0,12.75,10.33,9.0,7.5,8.0,3.5,14.0,badalona
