Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Andoni Hernández,2000662653.0,6.0,10.25,10.75,6.33,4.67,5.83,7.0,10.25,abilbaoc
Asier Goñi,2000570279.0,11.33,11.75,11.5,7.0,5.33,6.67,11.75,12.25,abilbaoc
Eduardo Garai,2000662654.0,13.0,12.38,11.0,9.5,8.5,10.67,12.0,14.33,abilbaoc
Aritz Núñez,2000570283.0,4.17,11.12,11.5,9.17,6.5,9.83,8.5,6.33,abilbaoc
Beñat Unzueta,2000629411.0,2.33,10.88,14.0,9.83,6.83,11.5,8.5,6.42,abilbaoc
Gonzalo Galán,2000681437.0,4.0,12.25,15.0,9.0,10.5,14.17,8.0,9.5,abilbaoc
Gorka Alonso,2000629412.0,2.83,12.5,17.0,11.0,7.83,10.0,7.0,7.08,abilbaoc
Íñigo Vélez,2000662660.0,3.83,11.25,15.25,11.0,13.33,12.67,8.5,8.92,abilbaoc
Álex Moreno,2000570281.0,0.0,11.0,12.0,11.33,8.67,11.67,14.0,5.25,abilbaoc
José Antón Garrido,2000510692.0,0.0,8.62,12.5,10.5,9.0,10.0,8.5,6.33,abilbaoc
Mikel Castelo,2000510693.0,10.5,10.25,8.75,4.0,1.0,6.5,8.5,11.33,abilbaoc
Koldo Vélez,2000570278.0,5.33,14.38,15.0,14.0,10.5,13.17,10.0,9.5,abilbaoc
Alfredo Núñez,2000570280.0,11.5,12.12,9.5,7.17,5.5,7.17,11.0,14.67,abilbaoc
Jokin Aguirre,2000628756.0,8.83,12.88,15.75,8.83,5.83,9.33,8.5,9.33,abilbaoc
Juan Manuel Díez,2000629228.0,6.17,11.88,13.25,14.33,11.5,13.5,9.75,10.75,abilbaoc
Daniel Tena,2000629406.0,14.83,11.75,11.25,6.33,3.67,6.83,11.5,11.83,abilbaoc
Aritz Imaz,2000629407.0,8.0,13.75,12.5,14.67,12.83,12.83,11.75,11.75,abilbaoc
Iker Jiménez,2000629408.0,10.83,13.38,12.0,7.17,9.0,11.0,10.5,13.33,abilbaoc
Josu Jauregi,2000629409.0,12.83,13.62,14.0,9.17,5.83,10.67,10.5,12.25,abilbaoc
Fran,2000629410.0,11.33,13.75,13.75,8.17,7.17,8.17,6.75,12.75,abilbaoc
Xabier Núñez,2000629413.0,1.33,12.25,12.75,13.33,11.5,12.17,9.0,11.17,abilbaoc
Didier Oyarzun,2000632730.0,4.33,12.62,12.5,12.17,11.0,11.67,8.5,11.42,abilbaoc
Iker Marco,2000632769.0,13.5,11.38,12.5,8.17,7.0,8.0,14.5,12.58,abilbaoc
Ander Cantero,2000200392.0,6.17,11.62,8.0,7.67,3.83,7.33,7.75,10.25,andorra
Miguel Loureiro,67210521.0,12.0,11.5,14.75,9.67,8.67,9.5,10.5,13.75,andorra
Isaac,2000681907.0,13.83,10.88,10.5,9.5,6.67,10.67,13.5,12.75,andorra
Anthony Maillard,2000662437.0,13.0,14.12,9.5,10.5,8.5,10.17,10.5,13.75,andorra
Hugo Bueno,28127371.0,11.33,11.25,13.5,11.33,7.0,11.0,11.5,9.67,andorra
José María Navarro,2000571796.0,3.67,11.5,16.0,10.67,12.83,11.0,10.0,9.83,andorra
Jesús Díaz,2000437762.0,9.83,14.5,12.5,14.0,11.5,15.67,7.5,12.58,andorra
Amador,2000440900.0,10.33,14.25,11.5,10.67,6.67,7.0,9.0,13.83,andorra
Jofre,67277677.0,7.83,10.88,12.5,10.0,10.67,12.0,5.5,10.5,andorra
Héctor Badía,2000569609.0,2.5,11.12,15.0,13.33,8.83,12.0,8.5,9.92,andorra
Miguel Embid,2000570458.0,4.83,12.88,13.0,12.5,10.5,14.17,12.75,9.33,andorra
Miguel López,2000714751.0,1.5,5.12,7.75,1.5,1.0,1.0,6.5,5.67,andorra
Emiliano Amor,14080997.0,12.33,10.5,9.5,11.33,8.67,8.33,12.0,12.33,andorra
Francisco Javier Sáiz,2000679747.0,0.0,5.75,13.5,9.33,9.0,11.0,8.5,4.83,andorra
Víctor Campuzano,67214684.0,6.83,10.75,11.75,13.0,12.67,12.5,6.75,11.5,andorra
Miguel Gómez,2000055060.0,12.0,8.25,11.5,9.5,8.67,9.33,15.0,12.17,andorra
Antonio Poo,2000076428.0,10.0,11.5,16.0,8.0,5.67,9.0,8.5,12.17,andorra
Èric Montes,95036004.0,13.0,10.0,12.5,8.0,5.0,9.33,10.0,13.33,andorra
Adrián Tellado,67260179.0,4.67,9.25,11.5,10.33,10.0,11.33,7.0,11.67,andorra
Harvey Woods,2000031620.0,4.5,13.0,11.0,10.0,8.33,10.67,9.5,10.5,andorra
Sergi Puig,67247577.0,4.33,9.5,9.0,8.0,3.17,4.33,7.0,10.5,andorra
Martí Vilà,67258410.0,11.83,1.25,12.25,2.33,0.0,6.5,10.75,6.17,andorra
Bryan Zaragoza,2000054263.0,2.0,11.25,13.5,11.67,7.67,14.67,6.0,6.67,andorra
Carlos Castro,2000444086.0,11.67,14.0,11.5,2.5,3.5,6.83,14.25,12.08,andorra
Jon Ander Garai,2000684546.0,0.0,9.0,11.5,14.33,11.0,14.67,7.5,8.17,andorra
Josema,2000438803.0,1.17,5.38,8.0,1.5,2.5,2.5,6.75,5.58,apamplonab
Atakan Karazor,92074021.0,11.67,9.75,9.0,10.67,10.17,10.33,13.5,13.42,apamplonab
Mikel Bengoetxea,2000510871.0,13.33,14.25,13.0,9.0,6.67,8.67,13.5,14.5,apamplonab
Diego,2000574102.0,11.5,10.88,8.0,6.17,4.17,6.83,11.0,12.58,apamplonab
Álex Lillo,2000438804.0,8.0,10.75,10.5,13.0,10.0,11.33,9.5,10.83,apamplonab
Iñaki Díez,2000438806.0,3.83,10.88,15.25,12.17,9.5,13.33,8.0,10.75,apamplonab
Antxón Arregi,2000570451.0,0.0,12.0,9.5,13.33,13.33,14.83,11.5,7.33,apamplonab
Javier Zubizarreta,2000570450.0,2.33,12.25,15.25,11.17,9.5,11.5,5.25,11.75,apamplonab
Víctor Sarriegi,2000570454.0,2.5,11.75,13.0,13.0,13.0,13.17,11.25,12.58,apamplonab
Noel López,2000053498.0,0.67,10.5,13.5,9.67,13.0,11.67,14.5,8.17,apamplonab
Peio Arana,2000438809.0,8.67,12.0,13.5,10.67,9.0,13.67,9.0,12.0,apamplonab
Iñigo Llorente,2000510870.0,8.83,12.38,13.0,3.5,3.0,10.67,4.5,11.42,apamplonab
Lander Goñi,2000510872.0,4.0,10.5,11.75,13.0,9.83,12.5,8.25,10.92,apamplonab
Asier Galán,2000510874.0,0.0,13.38,17.0,6.5,10.0,10.33,6.0,4.08,apamplonab
Adrián Iglesias,2000510876.0,0.0,5.25,14.0,8.33,6.67,13.5,8.75,2.0,apamplonab
Iosu Pérez,2000510877.0,10.5,14.5,10.5,7.83,3.17,6.17,7.5,11.75,apamplonab
Ignacio Amorrortu,2000629736.0,0.0,11.0,12.5,7.67,14.33,12.0,11.5,7.0,apamplonab
Gorka Santamaría,2000629739.0,5.67,10.25,13.5,9.33,11.33,13.0,12.0,10.17,apamplonab
Marcos Goñi,2000629740.0,0.0,11.88,9.5,12.33,10.67,9.67,8.5,9.58,apamplonab
Martín Alonso,2000681854.0,3.83,12.62,14.0,11.17,8.67,11.0,9.0,11.42,badalona
Pascual,2000632678.0,0.0,12.5,13.0,11.33,13.0,13.33,12.5,5.5,badalona
Iván,2000574699.0,6.67,5.75,12.5,9.17,2.33,6.0,8.5,3.67,badalona
Mati,2000556504.0,9.83,13.12,11.5,7.5,6.67,7.67,10.5,9.75,badalona
Ale Sánchez,2000512877.0,1.17,10.25,13.0,11.0,8.33,9.67,7.0,7.83,badalona
Christian Díaz,2000510073.0,10.0,12.25,11.0,8.33,3.67,5.33,11.5,13.33,badalona
Jesus,2000443702.0,0.0,6.62,9.0,9.83,9.67,13.33,10.0,3.42,badalona
Jaume Ramón,2000198629.0,3.83,6.38,10.25,2.67,1.83,1.0,9.25,6.5,badalona
Aitor Añibarro,2000035882.0,0.0,10.88,12.0,8.83,11.67,11.5,9.5,4.75,badalona
Josh Pérez,72046491.0,1.0,10.25,12.5,9.67,10.0,10.67,8.0,8.0,badalona
Jesús María Lope,2000680621.0,12.67,6.0,8.5,2.0,2.33,5.33,11.5,9.17,badalona
Ramón López,2000679928.0,0.0,4.75,10.5,9.0,7.33,11.33,8.0,4.0,badalona
Roger Colomina,2000015276.0,0.0,9.12,11.0,13.0,8.67,12.17,8.0,6.58,badalona
Jesús García,2000443709.0,9.5,6.38,5.5,2.17,2.67,5.83,9.0,7.83,badalona
Eugenio,2000196447.0,10.0,11.75,10.0,8.67,4.67,11.33,9.5,10.83,badalona
Javier Vidorreta,2000066246.0,0.67,11.75,11.0,7.0,12.67,10.33,13.0,7.83,badalona
Ángel Rueda,2000053923.0,14.33,11.0,14.25,2.5,2.83,2.83,10.75,8.92,badalona
Gustavo Abizanda,67293305.0,1.33,9.75,12.5,11.0,7.33,11.67,6.5,8.67,badalona
Óscar Coll,67277671.0,0.0,8.88,14.5,14.5,9.0,11.0,3.5,5.67,badalona
Iván Gil,67277668.0,2.33,8.75,14.0,13.33,9.67,10.0,5.0,9.17,badalona
Jeremy Socorro,67275291.0,10.33,9.5,14.0,9.0,6.33,8.67,5.25,11.58,badalona
