Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling,Team
Asier Goñi,2000570279.0,15.0,8.83,8.5,10.0,5.75,9.67,3.5,11.5,10.0,5.75,9.75,13.75,9.2,10.33,11.75,10.83,6.5,5.25,14.0,1.5,12.5,abilbaoc
Eduardo Garai,2000662654.0,12.0,11.0,12.0,11.75,11.0,14.5,8.67,12.5,11.75,10.0,12.0,12.12,12.1,12.5,12.5,13.67,10.0,9.5,9.75,7.33,12.0,abilbaoc
Mikel Castelo,2000510693.0,13.5,7.67,3.5,6.75,7.5,6.67,6.83,11.0,6.75,6.5,8.75,12.38,6.5,8.0,9.62,10.83,0.0,10.25,7.5,4.67,10.5,abilbaoc
Alfredo Núñez,2000570280.0,15.5,10.83,6.5,11.75,8.75,11.17,6.33,16.0,11.75,7.25,11.25,15.5,11.1,11.67,10.0,14.17,6.5,9.5,12.25,6.0,9.5,abilbaoc
Daniel Tena,2000629406.0,16.5,8.5,6.5,11.0,7.5,11.17,5.17,11.0,11.0,7.0,11.0,9.88,9.3,12.5,11.62,11.5,5.5,7.75,12.0,5.0,12.5,abilbaoc
Iker Jiménez,2000629408.0,12.5,8.83,8.5,12.25,12.75,10.5,11.17,13.5,12.25,11.0,11.75,14.0,9.5,11.0,12.5,12.5,6.5,13.0,13.75,11.83,10.5,abilbaoc
Josu Jauregi,2000629409.0,9.5,13.5,11.5,10.0,11.75,11.33,8.0,14.25,10.0,9.75,10.5,10.38,12.2,10.17,13.75,14.0,6.5,9.75,13.0,6.5,16.5,abilbaoc
Iker Marco,2000632769.0,15.5,11.83,13.5,10.5,9.25,11.0,6.17,11.75,10.5,8.75,13.0,10.38,11.0,11.17,12.75,12.33,9.5,9.25,11.5,6.33,18.5,abilbaoc
Isaac,2000681907.0,14.5,13.83,12.5,10.5,11.75,12.0,8.5,13.75,10.5,11.25,11.0,12.12,12.6,11.5,10.25,14.0,10.5,10.75,10.0,6.67,16.5,andorra
Anthony Maillard,2000662437.0,7.0,11.0,14.0,10.75,10.75,13.5,9.0,11.5,10.75,11.0,11.0,13.0,11.7,10.83,12.75,12.67,11.0,12.0,14.75,8.67,15.0,andorra
Emiliano Amor,14080997.0,10.0,12.67,14.0,11.5,9.5,9.67,10.67,11.5,11.5,7.5,10.0,14.0,11.0,11.33,10.0,11.67,8.0,11.5,12.0,8.0,13.0,andorra
Miguel Gómez,2000055060.0,16.0,12.0,14.0,12.0,11.0,8.5,12.0,14.0,12.0,7.5,10.0,12.0,10.5,11.67,9.5,12.33,9.0,11.0,8.5,9.0,11.0,andorra
Èric Montes,95036004.0,7.0,12.67,13.0,8.0,9.5,10.33,6.0,14.0,8.0,9.0,8.5,14.0,11.2,9.67,11.25,13.67,9.0,9.0,9.5,6.33,16.0,andorra
Carlos Castro,2000444086.0,17.0,8.0,11.5,11.0,7.0,6.0,4.0,7.5,11.0,5.5,12.25,12.75,5.7,10.33,12.75,9.5,0.0,6.0,16.0,2.67,14.5,andorra
Atakan Karazor,92074021.0,15.0,14.83,12.0,15.25,12.0,10.67,10.67,14.75,15.25,9.0,15.25,10.75,12.5,13.83,9.0,14.5,7.0,12.0,10.0,7.0,12.0,apamplonab
Mikel Bengoetxea,2000510871.0,14.0,14.33,13.0,11.5,8.5,9.33,5.67,15.0,11.5,8.0,13.0,14.5,11.8,12.0,13.75,14.0,8.0,8.5,14.0,4.67,16.0,apamplonab
Diego,2000574102.0,16.5,10.17,5.5,11.75,8.25,10.83,6.0,15.5,11.75,6.25,11.25,12.62,10.3,11.33,8.5,14.17,3.5,9.0,9.75,4.67,9.5,apamplonab
Iosu Pérez,2000510877.0,10.5,10.17,4.5,10.25,7.25,10.5,5.67,12.5,10.25,5.75,8.75,13.12,10.1,9.67,12.38,12.17,3.5,8.5,14.5,6.0,8.5,apamplonab
Ale Sánchez,2000512877.0,10.0,6.67,4.0,3.5,10.0,10.67,10.33,8.5,3.5,10.0,6.5,11.0,9.0,2.33,12.5,8.0,11.0,11.5,7.5,7.33,3.5,badalona
Christian Díaz,2000510073.0,15.0,13.33,8.0,8.5,5.0,10.0,3.33,12.5,8.5,5.0,10.0,14.75,11.4,9.67,11.75,12.67,5.0,5.0,11.5,3.0,7.0,badalona
Jesús María Lope,2000680621.0,15.0,7.0,8.0,9.5,8.0,7.0,5.67,7.0,9.5,5.5,10.0,8.75,5.6,11.0,4.25,9.33,0.0,8.5,4.5,3.67,12.0,badalona
Jesús García,2000443709.0,13.5,5.33,4.5,9.75,8.75,9.0,6.33,11.0,9.75,6.25,8.75,7.25,6.5,10.0,2.75,10.83,0.0,9.5,6.0,4.17,6.5,badalona
Ángel Rueda,2000053923.0,10.5,3.83,11.0,12.0,3.5,6.33,3.67,9.75,12.0,2.5,8.5,10.0,5.0,12.17,12.38,8.33,0.0,5.5,13.0,2.0,15.0,badalona
Oriol Valentín,2000632214.0,14.0,12.5,12.5,14.0,10.0,12.0,5.67,11.0,14.0,8.0,14.25,12.5,11.6,13.67,12.0,12.5,7.5,8.5,13.0,3.67,14.5,eibar
Antonio Sánchez,2000570832.0,14.0,12.17,17.5,10.5,10.0,9.0,6.5,11.5,10.5,6.5,11.75,12.88,10.2,11.67,13.25,11.83,8.5,7.5,13.0,5.17,18.0,eibar
Stefan Bajčetić,2000082598.0,8.0,9.33,15.0,12.5,7.0,10.0,6.67,11.5,12.5,4.5,9.5,10.0,9.2,12.33,13.0,11.67,9.0,7.5,11.5,5.0,14.0,eibar
Álex López,67257948.0,9.0,14.33,10.0,14.5,14.0,10.67,11.67,11.0,14.5,7.5,12.5,10.5,11.8,14.67,13.25,12.67,12.0,13.5,10.0,9.67,14.0,eibar
Yanis Mohamed,2000710637.0,16.0,12.33,12.0,10.5,12.5,9.0,9.0,14.5,10.5,7.0,11.0,14.75,10.8,11.67,13.0,13.0,10.0,9.0,14.5,8.0,12.0,girona
Yeray Ortega,2000199817.0,17.5,13.0,10.0,11.0,9.5,12.0,7.0,12.5,11.0,8.0,11.0,10.75,11.4,11.67,12.75,14.33,8.0,8.5,12.5,7.0,12.0,girona
Andrés Romero,2000193995.0,17.5,5.67,8.5,9.0,8.0,8.33,5.83,11.5,9.0,6.75,10.0,13.12,6.5,10.17,9.12,10.83,0.0,8.75,8.0,5.0,9.5,girona
Diogo Fonseca,2000197949.0,6.5,9.83,6.5,12.0,7.5,8.83,5.33,14.0,12.0,2.75,11.0,8.75,8.4,10.17,5.5,14.0,0.0,8.0,5.25,1.83,9.5,hospitalet
Carlos Lourenço,2000190859.0,11.0,7.67,16.0,10.5,9.5,9.0,8.0,9.5,10.5,10.0,11.0,11.0,8.0,10.0,11.75,9.67,7.0,9.5,13.0,5.67,11.0,hospitalet
Luis Iglesias,2000440882.0,16.0,13.33,12.0,10.0,7.5,10.33,5.33,15.5,10.0,8.0,10.5,12.25,11.8,10.0,11.25,14.33,5.0,8.0,12.0,4.0,13.0,hospitalet
Isma Aizpiri,29164025.0,9.0,10.33,8.0,11.5,12.5,11.0,7.67,12.5,11.5,8.5,9.0,12.25,9.8,11.0,8.75,13.33,6.0,11.5,9.5,6.33,10.0,hospitalet
Vladimir Fati,2000680262.0,15.0,8.67,10.0,6.5,6.0,7.67,4.67,14.5,6.5,3.0,8.5,8.25,7.8,7.33,5.5,13.0,0.0,7.0,4.0,2.0,15.0,hospitalet
Diego Muñoz,2000439850.0,10.5,3.83,12.5,4.25,10.5,2.83,7.83,3.75,4.25,9.5,0.0,9.88,4.0,2.83,8.88,2.5,3.5,9.75,8.0,8.5,10.5,hospitalet
José Antonio Zubillaga,2000443802.0,11.5,7.67,5.0,9.0,6.5,5.0,5.33,13.5,9.0,3.25,9.5,10.62,6.5,8.5,6.12,10.83,0.0,8.0,5.75,2.17,12.0,hospitalet
Bilal Aceña,2000514725.0,15.5,4.67,4.0,7.5,5.25,7.0,4.17,10.0,7.5,3.75,6.0,8.0,5.5,9.17,3.62,9.17,0.0,6.25,2.25,2.5,11.5,hospitalet
Alejandro Ferre,2000569554.0,14.5,10.5,10.0,13.5,14.0,9.17,12.5,11.25,13.5,9.25,11.5,12.62,9.7,12.17,11.88,11.0,5.5,14.0,14.0,10.17,13.0,leonesa
Unai Rementeria,67246387.0,3.5,9.33,10.5,4.25,9.25,2.17,9.33,6.25,4.25,8.25,0.0,9.88,6.9,2.83,12.5,4.17,9.5,11.25,7.0,8.5,15.5,leonesa
Rodri,67293708.0,16.0,9.33,15.0,10.5,5.0,11.67,3.5,9.0,10.5,3.5,8.5,11.25,9.6,12.33,12.0,11.0,8.0,4.5,9.0,3.0,13.0,leonesa
Aitor Paredes,67276232.0,11.0,9.33,13.0,11.5,5.25,9.33,5.5,11.0,11.5,2.25,11.0,11.0,9.2,12.67,10.75,10.67,8.0,5.75,10.0,4.17,15.0,leonesa
Ángel García,2000685240.0,14.0,8.17,12.0,11.5,7.5,5.0,4.33,11.75,11.5,3.0,10.5,12.0,6.3,10.67,13.75,10.5,0.0,6.5,15.5,2.5,14.0,leonesa
Miguel Prado,67276111.0,12.0,8.33,12.0,11.0,5.5,9.0,5.67,9.0,11.0,4.5,12.0,11.25,8.2,12.33,12.0,9.67,7.0,7.0,9.0,3.67,12.0,lleida
Juan Jesús Polo,2000194987.0,16.0,13.67,6.0,8.5,6.0,11.0,6.33,12.5,8.5,7.5,8.5,11.25,11.8,8.33,11.5,13.33,8.0,8.0,10.5,5.0,12.0,lleida
Julio Lizárraga,2000631089.0,15.0,9.33,14.0,6.0,7.0,7.33,4.33,13.0,6.0,4.5,8.5,7.75,7.6,9.0,5.5,12.67,0.0,6.5,6.0,3.0,14.0,lleida
Matej Simic,24046632.0,18.0,10.33,13.0,10.5,8.0,9.67,6.0,10.5,10.5,5.5,11.0,10.25,9.8,10.67,6.5,10.67,9.0,6.5,7.5,4.0,13.0,lleida
Dani,2000571661.0,11.5,11.17,11.0,12.5,11.0,9.83,10.83,14.25,12.5,7.5,10.0,14.0,10.9,11.5,12.0,12.33,3.5,11.5,14.75,6.0,12.0,logrones
Luis Alberto,2000197811.0,16.0,7.33,8.5,9.5,7.5,7.0,5.0,11.0,9.5,6.0,10.75,12.0,6.5,9.33,13.5,10.83,0.0,7.5,16.0,2.5,10.5,logrones
Juan Luis,2000664823.0,15.0,12.17,10.0,12.5,10.0,10.0,9.67,16.5,12.5,7.75,10.5,14.0,11.2,12.33,11.75,14.5,3.5,11.0,12.75,8.83,15.0,logrones
Pablo Sanz,2000685487.0,8.0,6.33,9.0,10.5,8.0,6.33,6.33,8.0,10.5,3.0,8.5,10.62,5.4,10.0,6.5,9.0,0.0,9.5,6.0,2.0,15.0,logrones
Xabier Garitano,2000570830.0,12.0,10.33,16.0,10.5,7.5,5.67,4.67,12.0,10.5,6.0,9.5,14.62,7.2,10.33,11.5,12.0,5.0,7.0,15.0,3.67,13.0,logrones
Diego Alende,67199156.0,10.0,12.17,12.0,11.25,12.0,12.33,10.0,12.5,11.25,9.75,12.0,11.88,11.8,11.83,10.75,13.17,11.5,13.0,12.25,8.17,14.0,mirandes
Francisco Marín,2000666188.0,17.0,10.67,9.0,10.5,7.0,7.67,10.0,10.5,10.5,6.0,10.5,11.5,9.2,11.33,11.75,10.0,8.0,11.5,10.5,6.17,17.0,mirandes
Agapito Torres,2000201479.0,17.0,12.5,12.0,10.25,9.25,11.0,9.67,13.75,10.25,8.5,12.25,14.0,11.6,10.83,12.5,13.33,6.5,10.75,12.5,8.67,11.0,mirandes
Virgil Thérésin,49040143.0,12.0,8.67,10.0,13.0,9.0,11.33,7.5,11.0,13.0,7.5,11.5,8.75,9.6,13.33,10.75,11.33,6.0,10.0,10.5,6.17,11.0,mirandes
Felipe Núñez,2000197172.0,10.5,7.83,9.5,10.0,6.75,7.83,5.17,12.5,10.0,4.5,9.5,10.75,7.2,9.17,11.38,12.0,0.0,7.75,11.5,2.33,13.5,mirandes
Bakary Daou,2000515163.0,14.0,11.0,11.0,11.0,7.5,9.0,5.0,14.5,11.0,4.5,9.5,11.75,10.2,11.0,14.0,12.67,3.0,7.5,15.5,3.67,13.0,numantia
Joan Rojas,67276123.0,13.0,13.33,13.0,11.0,10.25,10.5,8.0,11.75,11.0,9.0,11.5,11.0,11.5,11.33,11.75,12.5,4.0,10.0,11.0,5.67,13.0,numantia
Marcelo Djaló,67157156.0,15.0,14.0,16.0,11.0,12.5,12.67,11.67,13.0,11.0,12.0,13.5,13.62,13.4,11.33,5.12,13.0,9.0,13.5,4.5,9.33,15.0,numantia
Juan José,2000200474.0,13.5,7.17,8.0,13.0,7.0,5.0,4.33,12.75,13.0,5.0,11.0,14.25,6.2,11.83,12.38,10.33,0.0,6.5,15.0,3.33,12.0,numantia
Víctor Dieste,2000440740.0,11.0,11.5,9.0,11.0,7.5,9.67,7.33,15.75,11.0,6.5,12.0,13.62,10.9,10.67,9.25,13.5,4.0,8.0,9.5,3.0,16.0,olot
Rafa Gálvez,67172424.0,14.0,13.5,15.0,12.25,10.5,8.33,6.83,13.25,12.25,5.0,12.25,12.38,11.0,12.17,5.0,12.33,9.5,7.5,7.75,7.0,13.0,olot
Iván Bravo,67276128.0,12.0,11.33,11.0,12.0,8.5,8.0,8.33,10.5,12.0,6.5,12.0,12.0,9.2,12.33,11.5,11.0,5.0,7.5,11.5,3.0,13.0,olot
Gael Alonso,67294882.0,9.0,8.0,14.0,8.5,5.5,9.33,6.0,10.5,8.5,5.0,7.0,10.5,8.0,9.0,11.75,11.0,3.0,6.0,10.0,4.17,13.0,olot
Alberto Pereira,2000683136.0,16.5,4.83,4.5,7.25,7.0,8.33,5.83,10.75,7.25,5.25,9.5,6.25,6.1,9.33,3.12,10.17,0.0,8.75,3.25,3.5,13.5,olot
Francisco Tena,67211549.0,13.5,5.67,7.5,6.25,5.5,2.5,5.67,5.25,6.25,5.25,0.0,12.88,4.9,4.17,4.25,3.5,4.5,6.75,4.5,7.17,10.5,olot
Álex Petxarromán,67246376.0,8.0,10.33,8.0,11.5,7.5,9.67,7.33,11.5,11.5,7.0,11.5,11.0,9.6,12.33,10.25,11.67,4.0,8.5,8.5,3.17,13.0,olot
Roberto Sukunza,2000202561.0,17.5,7.33,12.5,9.75,7.0,8.33,5.67,11.0,9.75,9.0,10.5,10.12,6.9,11.0,10.88,11.5,9.5,8.5,9.75,5.67,15.5,ponferrada
