Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Team
Mikel Castelo,2000510693.0,10.5,10.25,8.75,4.0,1.0,6.5,8.5,11.33,abilbaoc
Fran,2000629410.0,11.33,13.75,13.75,8.17,7.17,8.17,6.75,12.75,abilbaoc
Hugo Bueno,28127371.0,11.33,11.25,13.5,11.33,7.0,11.0,11.5,9.67,andorra
Antonio Poo,2000076428.0,10.0,11.5,16.0,8.0,5.67,9.0,8.5,12.17,andorra
Martí Vilà,67258410.0,11.83,1.25,12.25,2.33,0.0,6.5,10.75,6.17,andorra
Jesús García,2000443709.0,9.5,6.38,5.5,2.17,2.67,5.83,9.0,7.83,badalona
Jeremy Socorro,67275291.0,10.33,9.5,14.0,9.0,6.33,8.67,5.25,11.58,badalona
Esteban Navarro,2000685451.0,6.67,5.5,10.5,10.33,3.0,7.67,9.0,2.17,badalona
Manuel Jesús Romero,2000194994.0,11.67,14.5,13.5,9.0,8.67,10.33,6.5,14.17,eibar
Iván Calero,67176056.0,12.67,8.75,9.0,12.33,11.0,12.0,9.0,11.83,eibar
Jordi Busquets,2000574550.0,5.67,13.38,12.5,3.33,2.33,9.33,3.5,9.42,girona
Mikel Santamaría,2000201716.0,11.0,13.0,13.5,10.67,7.0,10.33,8.0,11.17,girona
Felipe Medina,2000572053.0,11.0,14.38,13.75,8.0,5.83,8.17,8.75,10.25,leonesa
Gorka Iglesias,2000570645.0,11.33,13.5,12.5,7.67,7.0,8.0,11.5,12.67,logrones
Lancho,2000052042.0,9.33,10.0,13.5,8.67,11.0,13.0,14.0,10.17,logrones
Jean-Marie Durand,2000198617.0,10.67,14.38,13.0,8.0,6.0,7.83,12.0,12.92,mirandes
Echedey Carpintier,83212484.0,10.17,9.38,11.5,3.17,3.17,11.0,8.5,10.58,mirandes
Diego Pampín,67247255.0,9.17,8.75,14.0,10.33,9.0,11.17,5.0,10.67,numantia
Iván Bravo,67276128.0,12.67,11.25,13.0,7.67,5.67,8.33,11.5,11.83,olot
Mikel Kortazar,67260193.0,2.33,10.25,14.5,10.0,8.67,8.67,6.5,9.58,olot
Álex Pérez,2000020028.0,11.67,9.25,13.5,8.67,7.33,9.0,8.5,12.67,pontevedra
Andrés Alcántara,2000440886.0,10.5,12.5,10.75,3.33,1.83,8.17,7.0,10.17,pontevedra
David Luna,67261047.0,11.33,9.5,11.5,2.17,3.83,6.83,10.75,10.75,pontevedra
Antonio Navarro,2000571902.0,9.67,13.0,14.5,9.0,6.67,9.67,6.5,14.0,rsanb
Ángel López,95078297.0,12.67,11.75,11.5,10.0,7.67,11.33,10.5,11.33,rsantander
Jeremi Rodríguez,2000056279.0,12.67,11.25,14.5,9.33,6.33,7.67,13.0,10.17,rsantander
Pedro José,2000710721.0,10.5,11.0,10.75,2.5,2.83,10.67,8.25,11.75,rsantander
Arnau Solà,67296656.0,11.33,13.5,12.5,10.83,7.83,10.83,11.5,11.92,tarragona
Julio,2000197814.0,8.67,11.75,13.0,7.67,7.0,10.67,7.0,11.5,tarragona
Bruno Garba,2000663175.0,10.0,9.25,11.0,3.0,4.33,8.0,10.0,10.33,zaragozab
Manu Miguens,2000663171.0,6.67,11.0,14.0,7.67,4.0,9.0,5.5,5.67,zaragozab
Adrián Carrero,2000629926.0,9.33,12.5,7.5,3.33,2.0,11.5,5.25,13.17,zaragozab
Ignacio Caballero,2000511080.0,11.17,13.5,10.0,3.5,3.0,8.33,6.5,12.0,zaragozab
