Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Vladimir Mendes,2000507409.0,11.0,11.0,11.0,11.0,11.8,11.8,10.9,10.9,11.83,11.83
Bronius Rukas,2000191907.0,15.15,15.15,15.15,15.15,14.7,14.7,14.6,14.6,14.33,14.33
Arthur,19259600.0,14.9,14.9,14.9,14.9,12.9,12.9,14.1,14.1,11.92,11.92
Mattias Lundquist,2000397734.0,11.9,11.9,11.9,11.9,13.25,13.25,12.3,12.3,12.54,12.54
Matthijs de Ligt,37055843.0,14.7,14.7,14.7,14.7,13.3,13.3,14.3,14.3,13.83,13.83
Federico Chiesa,43161651.0,14.1,14.1,14.1,14.1,14.6,14.6,14.0,14.0,13.42,13.42
Gaetano Pasqualone,2000567835.0,13.35,13.35,13.35,13.35,13.9,13.9,13.75,13.75,13.5,13.5
Andrey Yago,2000369870.0,14.9,14.9,14.9,14.9,14.8,14.8,14.4,14.4,13.67,13.67
Lucas Hernández,67197145.0,12.3,12.3,12.3,12.3,11.8,11.8,12.0,12.0,11.92,11.92
Riccardo Calafiori,43424738.0,13.9,13.9,13.9,13.9,14.0,14.0,13.5,13.5,13.92,13.92
Gabriel Brazão,19338228.0,10.2,10.2,10.2,10.2,9.0,9.0,10.05,10.05,9.67,9.67
Mateu Morey,67258408.0,14.7,14.7,14.7,14.7,13.95,13.95,13.9,13.9,12.71,12.71
Nico,67276127.0,14.95,14.95,14.95,14.95,13.55,13.55,14.3,14.3,13.67,13.67
Cassiano,2000410767.0,14.3,14.3,14.3,14.3,14.65,14.65,14.05,14.05,14.46,14.46
Tito Fernando,2000411765.0,13.7,13.7,13.7,13.7,13.55,13.55,14.35,14.35,13.54,13.54
Giulio Novellino,2000507837.0,13.85,13.85,13.85,13.85,14.2,14.2,13.55,13.55,13.67,13.67
Ronald Novoa,2000415595.0,12.95,12.95,12.95,12.95,13.6,13.6,12.8,12.8,12.42,12.42
Hugo Félix,83335589.0,14.2,14.2,14.2,14.2,12.75,12.75,13.4,13.4,11.79,11.79
Alex Meret,43140326.0,9.8,9.8,9.8,9.8,9.0,9.0,9.35,9.35,9.46,9.46
Merih Demiral,83176849.0,12.4,12.4,12.4,12.4,11.7,11.7,11.95,11.95,12.42,12.42
Rodrigo Bentancur,14094572.0,15.3,15.3,15.3,15.3,14.4,14.4,14.8,14.8,14.17,14.17
Achraf Hakimi,67228634.0,14.3,14.3,14.3,14.3,15.3,15.3,14.2,14.2,14.33,14.33
Luka Jović,62113639.0,13.0,13.0,13.0,13.0,13.3,13.3,13.5,13.5,13.25,13.25
Diogo Jota,55083779.0,14.4,14.4,14.4,14.4,14.5,14.5,14.8,14.8,13.5,13.5
Harvey Barnes,28100207.0,14.0,14.0,14.0,14.0,14.0,14.0,13.6,13.6,13.08,13.08
Anthony Tarzia,2000626882.0,13.3,13.3,13.3,13.3,13.9,13.9,13.8,13.8,13.58,13.58
