Player,UID,CD,BPD,NNCB,Lib
Vladimir Mendes,2000507409.0,13.75,13.5,14.2,11.95
Bronius Rukas,2000191907.0,9.85,11.0,9.45,11.7
Arthur,19259600.0,11.6,12.4,11.2,14.7
Mattias Lundquist,2000397734.0,8.2,8.55,8.9,9.2
Matthijs de Ligt,37055843.0,16.5,16.2,16.6,15.1
Federico Chiesa,43161651.0,9.85,10.15,10.35,11.95
Gaetano Pasqualone,2000567835.0,10.75,11.1,10.95,11.5
Andrey Yago,2000369870.0,12.8,12.5,12.8,14.0
Lucas Hernández,67197145.0,14.5,14.0,14.3,13.8
Riccardo Calafiori,43424738.0,12.9,13.3,13.0,13.5
Gabriel Brazão,19338228.0,10.9,10.4,10.8,9.1
Mateu Morey,67258408.0,11.6,12.0,11.5,13.9
Nico,67276127.0,13.3,14.05,13.2,14.45
Cassiano,2000410767.0,11.15,11.45,10.65,11.7
Tito Fernando,2000411765.0,10.4,11.0,10.8,11.3
Giulio Novellino,2000507837.0,11.45,11.1,11.15,11.65
Ronald Novoa,2000415595.0,7.8,7.95,7.2,10.0
Hugo Félix,83335589.0,9.05,9.95,8.6,12.1
Alex Meret,43140326.0,11.2,10.4,10.6,8.8
Merih Demiral,83176849.0,16.3,15.2,16.7,13.6
Rodrigo Bentancur,14094572.0,14.1,14.3,14.2,15.0
Achraf Hakimi,67228634.0,11.5,12.0,11.7,13.3
Luka Jović,62113639.0,10.6,10.5,10.4,10.9
Diogo Jota,55083779.0,10.45,10.95,10.95,12.35
Harvey Barnes,28100207.0,9.8,10.3,9.5,12.0
Anthony Tarzia,2000626882.0,9.45,9.65,9.75,9.75
