Player,UID,Position
Vladimir Mendes,2000507409,"D (C), DM"
Bronius Rukas,2000191907,"M (C), AM (RC)"
Arthur,19259600,"DM, M/AM (C)"
Mattias Lundquist,2000397734,ST (C)
Matthijs de Ligt,37055843,D (C)
Federico Chiesa,43161651,"WB/M/AM (RL), ST (C)"
Gaetano Pasqualone,2000567835,"AM (RL), ST (C)"
Andrey Yago,2000369870,D (RL)
Lucas Hernández,67197145,"D (LC), WB (L)"
Riccardo Calafiori,43424738,D/WB/M (L)
Gabriel Brazão,19338228,GK
Mateu Morey,67258408,D/WB (R)
Nico,67276127,"DM, M (C)"
Cassiano,2000410767,"AM (R), ST (C)"
Tito Fernando,2000411765,ST (C)
Giulio Novellino,2000507837,"M (C), AM (RC)"
Ronald Novoa,2000415595,"AM (RLC), ST (C)"
Hugo Félix,83335589,"M (C), AM (RC)"
Alex Meret,43140326,GK
Merih Demiral,83176849,D (RC)
Rodrigo Bentancur,14094572,"DM, M (C)"
Achraf Hakimi,67228634,"D/WB (RL), M (R)"
Luka Jović,62113639,"AM (LC), ST (C)"
Diogo Jota,55083779,"AM (RLC), ST (C)"
Harvey Barnes,28100207,"M (LC), AM (RLC), ST (C)"
Anthony Tarzia,2000626882,"AM (R), ST (C)"
