Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Kim Christian Høyenhall,2000182998.0,12.1,10.6,10.1,10.8,11.5,10.0,10.3,11.1
Piotr Jabłoński,2000623979.0,12.4,11.5,12.7,13.8,13.6,11.9,12.2,14.0
William Saliba,49039004.0,13.5,12.5,14.4,13.2,13.4,12.5,12.6,13.7
Robin Le Normand,48037162.0,13.3,11.8,14.7,13.3,13.4,11.4,11.6,14.2
Brandon Williams,28115834.0,12.0,12.0,13.8,13.1,12.3,12.1,12.4,13.0
Renato Pereira,2000190646.0,13.7,12.4,13.0,13.5,13.8,12.6,13.3,13.3
Ignacio Vallina,2000570634.0,15.5,14.1,14.8,15.5,16.0,14.1,14.7,15.2
Ayrton Tallura,2000274550.0,14.3,13.3,12.0,14.7,15.0,14.8,15.7,12.8
Luka Bransteter,2000054638.0,12.1,12.2,11.7,12.2,12.0,13.2,13.6,11.1
Adam Hlozek,31041522.0,11.2,11.0,10.7,11.3,11.0,12.3,12.7,10.6
Tibo De Vos,2000663034.0,12.1,12.2,10.3,12.8,12.5,13.6,13.5,11.7
David Carmo,83111598.0,13.2,12.3,13.6,12.5,12.8,11.8,11.7,12.8
Lukas Mohr,2000432897.0,13.1,11.9,12.5,12.5,12.6,11.6,12.2,13.2
John Bueno,2000419425.0,13.9,14.4,12.0,15.3,15.1,15.8,16.5,13.8
Denis Zakaria,98034601.0,12.8,12.6,14.5,13.4,13.3,12.5,13.1,13.7
Sergi Pascual,2000196434.0,15.6,14.3,13.4,14.6,14.9,14.8,14.9,14.1
Mikel Oyarzábal,67220143.0,15.2,15.0,13.7,15.1,15.2,15.3,15.5,14.4
Matthias Hasa,2000568032.0,12.3,11.6,10.0,12.7,13.0,12.9,13.9,11.7
Gabriel Martinelli,19351309.0,13.5,13.2,12.1,13.8,13.7,14.0,14.5,12.5
Gaetano Oristanio,43425611.0,13.8,13.5,10.3,13.2,13.3,14.7,15.0,11.9
Álex Remiro,67183918.0,13.2,10.8,10.5,11.7,12.4,10.6,10.3,11.4
José Gragera,67263880.0,13.8,12.9,13.3,13.3,13.8,12.7,12.4,13.5
António Silva,83320135.0,12.9,11.9,12.6,11.6,12.2,11.9,11.5,12.7
Kai Ocaña,2000194470.0,12.3,12.1,12.1,12.6,12.6,13.0,13.4,11.5
Paweł Brzyski,2000433744.0,13.7,12.9,12.7,13.5,13.7,13.6,14.2,13.0
John Damiano,2000435431.0,14.0,12.6,14.5,13.7,14.0,12.0,12.0,14.7
Felipe,2000510074.0,11.1,11.1,11.7,12.3,11.7,11.6,12.4,11.5
Pablo,2000572050.0,12.1,12.3,10.3,12.9,12.5,13.3,14.2,11.8
Souza,2000607666.0,13.4,13.2,14.8,13.6,14.1,12.8,13.6,14.7
Koldo Valencia,2000663358.0,10.7,10.5,10.6,11.5,11.4,11.3,11.3,10.9
Scott Diaz,2000706461.0,13.6,12.6,11.6,12.9,13.1,13.3,12.9,12.0
