Player,UID,DM,AM,BWM,HB,SV,RGA
Kim Christian Høyenhall,2000182998.0,10.0,9.5,9.5,10.1,10.5,10.5
Piotr Jabłoński,2000623979.0,13.9,14.3,14.3,12.7,13.5,11.1
William Saliba,49039004.0,14.3,14.5,14.5,14.4,13.7,12.5
Robin Le Normand,48037162.0,14.7,14.8,14.8,14.7,14.2,12.1
Brandon Williams,28115834.0,12.9,13.0,13.0,13.8,12.9,12.0
Renato Pereira,2000190646.0,13.2,12.9,12.9,13.0,13.0,12.9
Ignacio Vallina,2000570634.0,14.9,15.0,15.0,14.8,14.5,14.4
Ayrton Tallura,2000274550.0,11.3,11.4,11.4,12.0,12.1,14.3
Luka Bransteter,2000054638.0,10.7,10.4,10.4,11.7,10.8,12.9
Adam Hlozek,31041522.0,10.3,10.0,10.0,10.7,10.8,11.9
Tibo De Vos,2000663034.0,10.3,9.9,9.9,10.3,11.3,12.8
David Carmo,83111598.0,13.4,13.6,13.6,13.6,13.2,12.3
Lukas Mohr,2000432897.0,13.9,13.4,13.4,12.5,12.7,12.0
John Bueno,2000419425.0,12.8,12.4,12.4,12.0,13.0,14.7
Denis Zakaria,98034601.0,13.7,13.6,13.6,14.5,13.6,12.9
Sergi Pascual,2000196434.0,14.3,13.7,13.7,13.4,14.3,14.4
Mikel Oyarzábal,67220143.0,13.8,13.6,13.6,13.7,14.3,15.3
Matthias Hasa,2000568032.0,10.2,10.2,10.2,10.0,11.0,12.1
Gabriel Martinelli,19351309.0,11.5,11.6,11.6,12.1,11.7,13.8
Gaetano Oristanio,43425611.0,11.0,10.7,10.7,10.3,11.4,13.8
Álex Remiro,67183918.0,10.3,10.1,10.1,10.5,10.4,11.0
José Gragera,67263880.0,13.2,13.2,13.2,13.3,13.4,12.9
António Silva,83320135.0,13.5,12.8,12.8,12.6,13.2,12.0
Kai Ocaña,2000194470.0,10.9,10.9,10.9,12.1,11.1,11.4
Paweł Brzyski,2000433744.0,12.4,12.1,12.1,12.7,12.3,13.4
John Damiano,2000435431.0,14.6,14.7,14.7,14.5,13.9,12.3
Felipe,2000510074.0,11.7,11.9,11.9,11.7,11.0,11.2
Pablo,2000572050.0,11.4,11.3,11.3,10.3,11.6,12.7
Souza,2000607666.0,15.0,14.8,14.8,14.8,14.1,13.1
Koldo Valencia,2000663358.0,9.6,9.5,9.5,10.6,10.3,10.9
Scott Diaz,2000706461.0,10.9,10.6,10.6,11.6,11.5,12.4
