Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Kim Christian Høyenhall,2000182998.0,10.0,14.0,11.0,10.0,16.0,10.0,3.0,11.0,12.0,16.0,15.0,7.0,2.0,1.0,2.0,13.0,12.0,14.0,12.0,1.0,2.0,2.0,1.0,7.0,8.0,14.0,10.0,10.0,2.0,9.0,7.0,3.0,10.0,11.0,1.0,3.0,15.0,13.0,13.0,2.0,12.0,14.0,5.0,17.0,13.0,7.0,13.0,23.0
Piotr Jabłoński,2000623979.0,15.0,17.0,15.0,19.0,3.0,12.0,12.0,12.0,18.0,12.0,13.0,4.0,6.0,8.0,10.0,12.0,12.0,13.0,13.0,9.0,6.0,11.0,9.0,7.0,7.0,13.0,10.0,18.0,13.0,8.0,17.0,10.0,7.0,13.0,9.0,6.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,19.0
William Saliba,49039004.0,15.0,15.0,15.0,14.0,16.0,12.0,9.0,14.0,15.0,14.0,15.0,6.0,6.0,7.0,10.0,12.0,13.0,14.0,13.0,13.0,10.0,13.0,15.0,13.0,15.0,16.0,16.0,12.0,14.0,12.0,15.0,10.0,12.0,15.0,12.0,7.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,27.0
Robin Le Normand,48037162.0,13.0,13.0,14.0,15.0,16.0,12.0,8.0,12.0,15.0,14.0,15.0,10.0,8.0,6.0,7.0,14.0,14.0,15.0,13.0,9.0,9.0,15.0,14.0,14.0,14.0,12.0,16.0,14.0,15.0,8.0,14.0,6.0,14.0,16.0,6.0,5.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,31.0
Brandon Williams,28115834.0,16.0,14.0,15.0,15.0,12.0,12.0,13.0,12.0,14.0,12.0,13.0,2.0,4.0,9.0,14.0,13.0,13.0,13.0,12.0,6.0,12.0,13.0,9.0,16.0,17.0,14.0,12.0,16.0,12.0,6.0,13.0,12.0,12.0,15.0,7.0,5.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,28.0
Renato Pereira,2000190646.0,12.0,15.0,14.0,16.0,13.0,11.0,8.0,13.0,14.0,14.0,12.0,10.0,9.0,6.0,10.0,14.0,15.0,14.0,15.0,13.0,11.0,11.0,9.0,10.0,14.0,18.0,13.0,16.0,11.0,13.0,12.0,6.0,10.0,10.0,4.0,10.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,22.0
Ignacio Vallina,2000570634.0,14.0,13.0,15.0,18.0,17.0,15.0,10.0,13.0,15.0,13.0,13.0,14.0,9.0,8.0,11.0,16.0,17.0,15.0,17.0,11.0,11.0,12.0,10.0,16.0,15.0,17.0,13.0,16.0,15.0,16.0,18.0,8.0,16.0,15.0,7.0,7.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,20.0
Ayrton Tallura,2000274550.0,13.0,17.0,14.0,17.0,8.0,16.0,16.0,13.0,15.0,7.0,8.0,16.0,11.0,6.0,14.0,17.0,20.0,14.0,13.0,8.0,17.0,7.0,9.0,17.0,10.0,13.0,11.0,15.0,7.0,17.0,14.0,7.0,7.0,14.0,6.0,7.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,22.0
Luka Bransteter,2000054638.0,16.0,16.0,14.0,12.0,14.0,14.0,13.0,14.0,14.0,7.0,13.0,8.0,6.0,15.0,16.0,9.0,14.0,13.0,13.0,12.0,16.0,6.0,12.0,12.0,17.0,14.0,13.0,16.0,6.0,14.0,10.0,9.0,12.0,13.0,6.0,14.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,26.0
Adam Hlozek,31041522.0,16.0,15.0,16.0,11.0,14.0,14.0,13.0,15.0,13.0,5.0,12.0,9.0,8.0,13.0,12.0,11.0,13.0,13.0,12.0,9.0,18.0,6.0,10.0,13.0,11.0,15.0,14.0,12.0,8.0,9.0,9.0,9.0,8.0,13.0,8.0,14.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,2.0,2.0,26.0
Tibo De Vos,2000663034.0,15.0,17.0,17.0,10.0,11.0,16.0,10.0,13.0,16.0,7.0,9.0,9.0,7.0,12.0,13.0,12.0,16.0,16.0,13.0,9.0,16.0,9.0,9.0,7.0,11.0,12.0,9.0,13.0,5.0,10.0,9.0,10.0,9.0,15.0,3.0,8.0,3.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,18.0
David Carmo,83111598.0,10.0,10.0,14.0,13.0,17.0,12.0,9.0,14.0,13.0,14.0,15.0,6.0,5.0,8.0,10.0,13.0,13.0,13.0,11.0,9.0,9.0,11.0,12.0,11.0,16.0,13.0,17.0,14.0,14.0,13.0,13.0,9.0,13.0,15.0,11.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,29.0
Lukas Mohr,2000432897.0,16.0,15.0,13.0,11.0,15.0,9.0,11.0,11.0,15.0,14.0,15.0,8.0,6.0,5.0,9.0,10.0,14.0,14.0,17.0,9.0,8.0,15.0,11.0,8.0,8.0,13.0,13.0,13.0,13.0,10.0,12.0,7.0,7.0,11.0,12.0,10.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,22.0
John Bueno,2000419425.0,14.0,19.0,14.0,16.0,5.0,18.0,15.0,14.0,17.0,10.0,9.0,15.0,12.0,13.0,17.0,15.0,16.0,14.0,17.0,13.0,16.0,9.0,8.0,9.0,8.0,19.0,15.0,14.0,8.0,15.0,13.0,13.0,8.0,14.0,7.0,12.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,22.0
Denis Zakaria,98034601.0,13.0,13.0,15.0,16.0,15.0,13.0,11.0,12.0,15.0,12.0,14.0,5.0,5.0,8.0,14.0,12.0,13.0,14.0,13.0,10.0,11.0,16.0,11.0,17.0,16.0,15.0,13.0,14.0,12.0,13.0,12.0,8.0,11.0,17.0,9.0,8.0,1.0,3.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,31.0
Sergi Pascual,2000196434.0,13.0,13.0,14.0,14.0,14.0,13.0,11.0,19.0,15.0,14.0,13.0,7.0,8.0,9.0,14.0,14.0,17.0,15.0,18.0,15.0,9.0,13.0,14.0,9.0,13.0,17.0,16.0,8.0,13.0,17.0,12.0,8.0,8.0,14.0,7.0,10.0,4.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,23.0
Mikel Oyarzábal,67220143.0,13.0,14.0,14.0,17.0,11.0,15.0,14.0,15.0,14.0,12.0,14.0,13.0,14.0,16.0,16.0,16.0,17.0,16.0,15.0,11.0,15.0,12.0,12.0,13.0,13.0,15.0,13.0,16.0,12.0,17.0,13.0,12.0,18.0,15.0,11.0,18.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,4.0,31.0
Matthias Hasa,2000568032.0,14.0,15.0,16.0,15.0,11.0,15.0,17.0,12.0,14.0,5.0,9.0,12.0,11.0,8.0,9.0,17.0,16.0,12.0,12.0,12.0,14.0,6.0,9.0,10.0,5.0,14.0,12.0,15.0,5.0,12.0,12.0,9.0,4.0,16.0,6.0,9.0,2.0,3.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,20.0
Gabriel Martinelli,19351309.0,16.0,16.0,16.0,16.0,13.0,14.0,15.0,13.0,13.0,8.0,13.0,12.0,6.0,13.0,15.0,13.0,15.0,17.0,13.0,9.0,16.0,4.0,13.0,12.0,13.0,13.0,11.0,16.0,6.0,14.0,14.0,10.0,9.0,13.0,3.0,12.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,27.0
Gaetano Oristanio,43425611.0,15.0,16.0,14.0,11.0,10.0,14.0,14.0,15.0,12.0,8.0,11.0,13.0,11.0,11.0,15.0,15.0,16.0,14.0,15.0,15.0,14.0,7.0,10.0,7.0,8.0,15.0,13.0,14.0,7.0,16.0,12.0,11.0,9.0,15.0,3.0,15.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,26.0
Álex Remiro,67183918.0,12.0,12.0,11.0,12.0,16.0,11.0,1.0,13.0,10.0,14.0,13.0,8.0,5.0,3.0,2.0,14.0,15.0,13.0,14.0,3.0,5.0,1.0,2.0,7.0,12.0,12.0,11.0,12.0,3.0,9.0,12.0,3.0,12.0,13.0,3.0,2.0,14.0,15.0,13.0,8.0,14.0,15.0,9.0,15.0,15.0,14.0,15.0,33.0
José Gragera,67263880.0,12.0,12.0,12.0,14.0,15.0,14.0,10.0,13.0,14.0,13.0,14.0,7.0,7.0,8.0,9.0,14.0,15.0,14.0,13.0,11.0,9.0,12.0,15.0,13.0,13.0,9.0,13.0,15.0,12.0,14.0,13.0,9.0,9.0,13.0,7.0,8.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,28.0
António Silva,83320135.0,17.0,16.0,17.0,10.0,13.0,9.0,4.0,15.0,12.0,17.0,14.0,4.0,6.0,3.0,8.0,13.0,9.0,13.0,16.0,6.0,7.0,14.0,14.0,12.0,10.0,13.0,15.0,13.0,15.0,14.0,9.0,6.0,13.0,16.0,4.0,6.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,25.0
Kai Ocaña,2000194470.0,15.0,19.0,16.0,15.0,13.0,13.0,13.0,12.0,14.0,11.0,11.0,7.0,10.0,7.0,12.0,12.0,16.0,9.0,12.0,6.0,6.0,6.0,8.0,17.0,15.0,16.0,11.0,18.0,8.0,12.0,12.0,13.0,8.0,13.0,7.0,6.0,2.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,23.0
