Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Kim Christian Høyenhall,2000182998,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Piotr Jabłoński,2000623979,0,1,0,0,1,0,0,0,0,0,1,0,0,0
William Saliba,49039004,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Robin Le Normand,48037162,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brandon Williams,28115834,0,1,0,1,1,0,1,0,0,0,0,0,0,0
Renato Pereira,2000190646,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Ignacio Vallina,2000570634,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Ayrton Tallura,2000274550,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Luka Bransteter,2000054638,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Adam Hlozek,31041522,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Tibo De Vos,2000663034,0,0,0,0,0,0,0,0,0,0,1,0,0,1
David Carmo,83111598,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Lukas Mohr,2000432897,0,1,1,1,0,0,0,0,0,0,0,0,0,0
John Bueno,2000419425,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Denis Zakaria,98034601,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Sergi Pascual,2000196434,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mikel Oyarzábal,67220143,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Matthias Hasa,2000568032,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Gabriel Martinelli,19351309,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Gaetano Oristanio,43425611,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Álex Remiro,67183918,1,0,0,0,0,0,0,0,0,0,0,0,0,0
José Gragera,67263880,0,0,0,0,0,1,0,0,1,0,0,0,0,0
António Silva,83320135,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kai Ocaña,2000194470,0,1,0,0,0,0,0,1,0,0,1,0,0,0
Paweł Brzyski,2000433744,0,0,0,0,0,1,0,0,1,0,0,1,0,0
John Damiano,2000435431,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Felipe,2000510074,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Pablo,2000572050,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Souza,2000607666,0,0,1,1,0,1,0,0,1,0,0,0,0,0
Koldo Valencia,2000663358,0,0,0,0,0,0,0,1,0,0,1,1,1,0
Scott Diaz,2000706461,0,0,0,0,0,1,0,0,1,0,0,1,0,0
