Player,UID,AF,CF,DLF,F9,P,PF,TM
Pedro Javier López,2000202554.0,9.55,7.15,9.9,8.45,9.55,8.5,7.85
Nikola Colic,2000212623.0,11.55,10.55,11.7,11.15,11.55,11.6,11.4
Ramón Santos,2000440896.0,11.8,10.0,11.05,10.65,11.8,11.8,10.95
Xabier Gourgues,2000663362.0,12.1,10.6,11.3,10.4,12.1,11.9,12.0
Jordi,2000513013.0,11.6,11.6,12.65,11.9,11.6,12.05,11.95
Bart Ramselaar,37045888.0,13.25,12.8,13.3,13.6,13.25,12.1,12.0
Pierre Kunde,67211690.0,12.3,11.95,12.1,11.7,12.3,12.95,12.1
Alberto Leon Fernández,2000631656.0,13.15,9.85,10.75,11.05,13.15,11.35,10.25
Laure,2000631655.0,11.75,12.4,13.75,13.5,11.75,11.6,11.35
Yann Karamoh,85144982.0,12.4,10.85,11.6,11.9,12.4,10.75,11.6
Roberto,2000440887.0,16.2,12.95,14.2,13.75,16.2,14.05,13.25
Manu Sánchez,67284340.0,11.8,11.45,12.0,11.25,11.8,12.2,11.6
Silvan Hefti,98038279.0,11.4,11.05,12.0,11.15,11.4,12.5,11.6
Eugenio,2000632614.0,13.4,11.3,12.3,12.5,13.4,12.7,11.9
Uğur Özbay,2000432893.0,10.7,10.3,11.2,10.0,10.7,11.6,10.8
Carlos Abraham,2000440884.0,11.55,10.9,11.2,10.9,11.55,12.2,11.3
Juan Artola,67260216.0,12.0,10.65,11.9,12.25,12.0,10.65,10.35
Mama Baldé,55070279.0,11.75,11.0,11.15,11.1,11.75,12.2,10.45
Santi Comesaña,67224142.0,11.35,11.9,11.95,11.3,11.35,11.6,11.8
Javi Martínez,67249495.0,11.65,11.7,12.5,12.1,11.65,10.8,11.1
Gaizka Larrazabal,67256616.0,12.35,11.85,12.2,12.1,12.35,12.55,11.3
Jon Moncayola,67267210.0,11.1,11.55,12.0,11.1,11.1,11.95,11.5
Julio Villalba,79028819.0,12.4,12.85,12.6,12.2,12.4,12.55,12.6
Álvaro García,89062864.0,9.15,9.95,10.6,10.45,9.15,9.3,9.5
Samy Chouchane,2000010841.0,10.3,10.8,11.15,10.7,10.3,11.85,10.25
Alex Hernando,2000197164.0,8.35,5.85,7.2,6.1,8.35,9.3,7.35
José Alberto Nieto,2000197171.0,13.75,12.7,13.6,13.8,13.75,12.6,11.9
Mohamed Cissé,2000565877.0,14.9,12.4,13.1,13.0,14.9,13.9,12.2
