Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Pedro Javier López,2000202554.0,14.5,12.25,10.5,13.25,12.0,9.0,15.0,12.0
Nikola Colic,2000212623.0,2.75,13.88,13.0,14.75,2.75,2.5,1.75,1.5
Ramón Santos,2000440896.0,2.0,14.0,14.75,13.25,2.0,3.5,3.0,2.0
Xabier Gourgues,2000663362.0,3.0,13.25,13.5,14.5,1.5,1.0,1.5,2.5
Jordi,2000513013.0,1.75,13.62,13.75,13.25,2.75,2.0,3.25,3.25
Bart Ramselaar,37045888.0,3.25,12.5,13.5,13.42,2.25,4.0,1.75,2.0
Pierre Kunde,67211690.0,3.25,13.12,12.0,12.83,3.0,2.0,3.75,2.5
Alberto Leon Fernández,2000631656.0,2.5,12.75,17.0,9.75,2.5,4.0,3.75,2.75
Laure,2000631655.0,2.5,12.5,11.5,14.17,4.25,3.0,2.5,2.0
Yann Karamoh,85144982.0,3.5,11.12,15.0,9.5,2.5,1.5,3.5,3.0
Roberto,2000440887.0,2.25,14.25,15.5,11.92,2.0,2.0,2.75,3.5
Manu Sánchez,67284340.0,2.5,12.5,14.0,13.75,2.75,2.5,2.5,2.25
Silvan Hefti,98038279.0,3.0,13.0,13.0,12.75,2.75,2.5,2.75,2.5
Eugenio,2000632614.0,2.25,13.25,16.0,12.08,3.0,2.5,2.0,2.25
Uğur Özbay,2000432893.0,2.5,13.75,12.0,12.17,2.0,2.0,2.5,2.0
Carlos Abraham,2000440884.0,3.0,12.75,11.5,14.42,3.0,5.0,1.75,2.5
Juan Artola,67260216.0,2.25,9.75,13.0,11.42,3.0,2.0,2.25,2.5
Mama Baldé,55070279.0,2.75,11.62,14.0,10.67,2.25,3.5,3.25,2.5
Santi Comesaña,67224142.0,2.0,11.0,11.75,12.92,3.25,3.0,3.0,3.0
Javi Martínez,67249495.0,3.0,12.25,11.0,12.08,2.25,2.5,2.0,2.25
Gaizka Larrazabal,67256616.0,3.25,13.0,13.5,11.67,3.0,3.5,2.25,1.75
Jon Moncayola,67267210.0,2.5,11.88,12.5,13.17,1.75,2.5,2.25,2.0
Julio Villalba,79028819.0,2.0,12.62,12.0,13.17,2.5,2.5,2.5,1.75
Álvaro García,89062864.0,4.5,9.88,11.5,12.08,2.5,2.5,2.25,2.0
Samy Chouchane,2000010841.0,2.0,10.38,13.0,11.92,3.0,2.0,2.25,2.5
Alex Hernando,2000197164.0,14.0,9.25,12.0,13.25,12.25,8.0,9.75,12.75
José Alberto Nieto,2000197171.0,3.5,12.5,12.5,12.42,2.0,3.0,1.75,3.0
Mohamed Cissé,2000565877.0,2.0,14.5,15.5,12.17,1.5,2.0,2.5,1.0
