Player,UID,AMC,AP,T,SS,AM,EG
Pedro Javier López,2000202554.0,9.8,8.6,9.8,8.6,9.25,7.65
Nikola Colic,2000212623.0,12.45,11.65,12.45,11.55,11.8,11.25
Ramón Santos,2000440896.0,11.9,11.4,11.9,10.3,11.3,10.8
Xabier Gourgues,2000663362.0,11.1,10.3,11.1,10.8,11.0,10.2
Jordi,2000513013.0,13.35,12.85,13.35,12.15,12.65,12.45
Bart Ramselaar,37045888.0,13.8,13.7,13.8,13.5,14.05,13.95
Pierre Kunde,67211690.0,11.95,11.75,11.95,11.9,11.85,12.4
Alberto Leon Fernández,2000631656.0,10.3,11.2,10.3,10.8,11.1,11.95
Laure,2000631655.0,14.55,15.05,14.55,14.15,14.45,14.35
Yann Karamoh,85144982.0,10.35,10.85,10.35,10.8,10.55,11.5
Roberto,2000440887.0,12.8,13.95,12.8,14.3,14.1,14.65
Manu Sánchez,67284340.0,12.1,10.9,12.1,11.35,11.5,10.55
Silvan Hefti,98038279.0,12.2,11.5,12.2,11.05,11.4,11.05
Eugenio,2000632614.0,12.15,12.8,12.15,12.3,12.2,12.5
Uğur Özbay,2000432893.0,11.8,11.1,11.8,10.5,11.0,10.3
Carlos Abraham,2000440884.0,13.0,12.4,13.0,12.4,12.45,11.25
Juan Artola,67260216.0,11.3,11.8,11.3,11.5,12.1,11.8
Mama Baldé,55070279.0,11.15,11.75,11.15,10.95,11.55,11.75
Santi Comesaña,67224142.0,11.85,11.75,11.85,11.35,11.65,11.35
Javi Martínez,67249495.0,13.0,13.1,13.0,12.2,12.75,12.85
Gaizka Larrazabal,67256616.0,12.6,12.8,12.6,12.4,12.65,12.7
Jon Moncayola,67267210.0,12.15,12.15,12.15,11.3,11.45,11.6
Julio Villalba,79028819.0,12.45,12.85,12.45,12.2,12.25,13.0
Álvaro García,89062864.0,11.25,10.55,11.25,10.15,10.6,10.05
Samy Chouchane,2000010841.0,11.9,11.65,11.9,11.65,11.6,10.55
Alex Hernando,2000197164.0,8.7,7.6,8.7,6.8,7.25,6.35
José Alberto Nieto,2000197171.0,13.6,14.0,13.6,14.5,14.55,14.05
Mohamed Cissé,2000565877.0,12.4,12.7,12.4,13.6,13.2,13.1
