Player,UID,DM,AM,BWM,HB,SV,RGA
Koke Vegas,67196252.0,9.95,10.0,10.0,10.95,9.7,9.35
Clement Nwabueze,2000710897.0,13.6,13.6,13.6,12.8,12.7,11.5
Eugene Kulakov,2000434056.0,12.9,12.8,12.8,12.4,13.0,10.9
Fajar Bayhaqi,2000439532.0,13.5,13.4,13.4,13.3,12.8,12.6
Imanol,67276239.0,12.9,12.3,12.3,12.35,12.25,11.9
José,2000570829.0,11.15,10.55,10.55,10.55,12.05,14.35
Jean-Victor Makengo,85144993.0,11.7,11.95,11.95,12.55,12.15,12.6
Emiel Janssens-Callewaert,2000189953.0,9.75,9.8,9.8,9.85,10.75,11.35
Beñat Sanz,2000439251.0,10.7,10.6,10.6,10.5,11.6,13.9
Carlos Hernandez,2000511264.0,11.65,12.05,12.05,12.1,11.15,13.1
Anders Nygaard,2000569028.0,10.9,11.1,11.1,11.2,11.7,13.4
Alfredo Iglesias,2000194460.0,9.8,9.75,9.75,9.7,7.9,9.1
Jordan Torunarigha,91137260.0,11.9,12.2,12.2,12.9,12.4,11.8
Gil Dias,55082920.0,9.55,9.6,9.6,10.4,10.55,11.55
Marian Vasilache,2000328740.0,10.8,10.6,10.6,10.95,9.9,10.75
Paul Akouokou,33066648.0,14.2,14.1,14.1,14.0,13.35,12.3
Javi Galán,67243881.0,13.55,13.8,13.8,13.0,13.75,13.9
Isaiah Álvarez,2000630129.0,10.8,10.3,10.3,11.15,11.1,11.45
Nikola Katic,24047814.0,12.05,12.15,12.15,12.95,11.9,10.1
Enzo Loiodice,49045906.0,12.95,12.75,12.75,11.75,13.75,14.0
Thomas Michel,2000434743.0,10.55,10.5,10.5,9.85,10.15,10.5
Jose Alcaide,2000437774.0,14.25,14.3,14.3,14.3,13.35,12.1
Leo Díaz,2000630127.0,10.4,10.8,10.8,9.2,11.2,13.3
Adailson,2000664048.0,8.25,8.0,8.0,7.9,9.25,10.7
