Player,UID,AF,CF,DLF,F9,P,PF,TM
Koke Vegas,67196252.0,8.25,8.85,10.15,8.0,8.25,9.05,9.55
Clement Nwabueze,2000710897.0,12.1,11.3,12.2,11.9,12.1,11.8,11.6
Eugene Kulakov,2000434056.0,11.5,10.9,12.2,10.8,11.5,11.1,12.0
Fajar Bayhaqi,2000439532.0,11.2,11.4,12.5,11.7,11.2,11.7,11.1
Imanol,67276239.0,11.15,10.95,11.4,11.5,11.15,11.55,10.9
José,2000570829.0,13.2,13.5,14.35,14.05,13.2,11.9,11.7
Jean-Victor Makengo,85144993.0,12.4,11.8,12.75,12.1,12.4,12.55,10.85
Emiel Janssens-Callewaert,2000189953.0,14.0,12.15,12.4,12.5,14.0,12.45,12.0
Beñat Sanz,2000439251.0,12.2,13.6,14.2,13.3,12.2,11.3,12.2
Carlos Hernandez,2000511264.0,14.8,13.0,13.3,13.7,14.8,15.0,12.7
Anders Nygaard,2000569028.0,13.8,13.4,14.7,14.0,13.8,13.0,14.0
Alfredo Iglesias,2000194460.0,8.15,7.05,9.3,8.5,8.15,8.9,8.15
Jordan Torunarigha,91137260.0,12.0,11.8,11.9,11.6,12.0,12.1,12.3
Gil Dias,55082920.0,12.3,11.85,12.45,13.0,12.3,11.65,11.5
Marian Vasilache,2000328740.0,13.0,12.4,12.5,11.5,13.0,12.7,13.3
Paul Akouokou,33066648.0,11.15,11.55,12.0,10.9,11.15,12.35,11.75
Javi Galán,67243881.0,12.7,12.0,12.75,13.55,12.7,12.1,11.35
Isaiah Álvarez,2000630129.0,12.7,11.75,12.25,12.5,12.7,12.95,11.1
Nikola Katic,24047814.0,10.65,10.2,9.9,9.1,10.65,10.7,11.3
Enzo Loiodice,49045906.0,12.55,12.4,14.3,13.8,12.55,11.55,11.2
Thomas Michel,2000434743.0,12.15,10.5,11.05,11.7,12.15,11.2,10.75
Jose Alcaide,2000437774.0,12.3,11.5,11.85,11.35,12.3,12.7,11.35
Leo Díaz,2000630127.0,14.3,12.2,13.1,13.8,14.3,12.1,11.8
Adailson,2000664048.0,12.4,11.0,12.05,12.5,12.4,11.0,10.0
