Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Koke Vegas,67196252,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Clement Nwabueze,2000710897,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Eugene Kulakov,2000434056,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Fajar Bayhaqi,2000439532,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Imanol,67276239,0,0,1,1,0,0,1,0,0,0,0,0,0,0
José,2000570829,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,85144993,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,2000189953,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Beñat Sanz,2000439251,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Carlos Hernandez,2000511264,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Anders Nygaard,2000569028,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Alfredo Iglesias,2000194460,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Torunarigha,91137260,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Gil Dias,55082920,0,0,0,1,0,0,0,1,0,0,1,1,1,0
Marian Vasilache,2000328740,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paul Akouokou,33066648,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Javi Galán,67243881,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Isaiah Álvarez,2000630129,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Nikola Katic,24047814,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Enzo Loiodice,49045906,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Thomas Michel,2000434743,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Jose Alcaide,2000437774,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Leo Díaz,2000630127,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Adailson,2000664048,0,0,0,0,0,0,0,0,0,1,0,0,1,0
