Player,UID,Position
Stanislav Lobotka,63012964,"DM, M/AM (C)"
Georgi Tunjov,47070304,"DM, M (RLC), AM (RC)"
Fabio Di Giulio,2000620075,D (L)
Lorenzo Brotto,2000569462,"DM, M (C), AM (L)"
Attilio Leto,2000569461,D (C)
David Galfano,2000510011,"DM, M (C)"
André Lopes,2000509492,D (RLC)
Sotiris Bakalis,2000237415,GK
Alberto Sereni,2000199661,"DM, M/AM (C)"
Umberto Rossetti,2000193647,GK
Julien Pfeiffer,2000192363,M/AM (RL)
Eugenio Cammarata,2000192308,"AM (R), ST (C)"
Marco Meneghetti,43392838,GK
Samuele Ricci,43390774,"DM, M (C)"
Anouar Gharbi,2000565029,"D (C), DM, M (RC)"
Krzysztof Szczepankiewicz,2000572872,GK
Daniele Nobile,2000569465,M/AM (R)
Rossano Frisari,2000509488,"D (C), DM, M (RC)"
Pietro Severino,2000509487,"M/AM (C), ST (C)"
Diego Sanchez,2000439461,"M/AM (L), ST (C)"
Cristopher Mutti,2000439456,D (LC)
Davide Carella,2000436671,"AM (R), ST (C)"
Alessandro Zorzetto,2000436495,"AM (RC), ST (C)"
Jakob Brambach,2000065759,GK
Luca Stanga,43425977,D (RLC)
Mattia Pitzalis,43298629,D/WB (L)
Giovanni Crociata,43153059,"DM, M/AM (C)"
Emanuel Mammana,14059326,"D (C), DM"
Simone Vignoli,2000439458,"AM (RL), ST (C)"
David Lukac,2000189398,"AM (R), ST (C)"
Roma,2000439457,D/M (C)
Nicolas Dufour,2000191911,D (LC)
Adam Steele,2000187747,D/WB/AM (R)
Pedro Ferreira,55082151,"DM, M (C)"
Ryôtarô Meshino,45104652,"M (L), AM (RLC), ST (C)"
Jack O'Connell,28080955,D (C)
Matt Baker,2000439460,"M (R), AM (RLC), ST (C)"
Thomás Grosi,2000272736,ST (C)
Felipe Vergara,2000415530,M/AM (R)
Michele Gigante,2000199658,"M/AM (C), ST (C)"
Adrian Semper,24046412,GK
Kiki Kouyaté,13186668,"D (RC), WB (R)"
Alessio Chiurco,2000193119,D/WB (L)
