Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Stanislav Lobotka,63012964.0,11.79,11.15,10.83,11.03,11.4,11.11,11.49,10.86,11.16,10.29
Georgi Tunjov,47070304.0,11.08,11.28,10.98,11.48,11.56,11.86,11.81,11.94,11.93,11.37
Fabio Di Giulio,2000620075.0,13.16,12.16,11.91,12.02,11.73,11.69,11.56,11.72,11.59,11.14
Lorenzo Brotto,2000569462.0,10.46,10.99,10.42,11.08,11.2,11.15,11.24,11.24,11.28,10.56
Attilio Leto,2000569461.0,10.67,10.28,10.54,10.1,9.95,9.63,9.76,9.68,9.6,9.31
David Galfano,2000510011.0,10.79,10.86,10.74,10.83,11.16,10.6,11.32,10.44,11.0,9.77
André Lopes,2000509492.0,12.1,11.18,11.16,10.87,10.53,10.38,10.43,10.56,10.39,9.83
Sotiris Bakalis,2000237415.0,10.53,8.77,9.01,8.4,8.43,7.96,8.24,7.84,8.0,7.61
Alberto Sereni,2000199661.0,11.05,10.55,10.02,10.6,10.61,10.42,10.8,10.49,10.66,9.75
Umberto Rossetti,2000193647.0,11.08,9.57,9.21,9.51,9.01,9.08,9.05,9.19,9.13,8.53
Julien Pfeiffer,2000192363.0,10.12,9.56,8.6,10.12,9.16,10.58,9.79,10.68,10.34,10.02
Eugenio Cammarata,2000192308.0,10.88,10.49,9.35,11.07,10.2,11.36,10.81,11.63,11.38,10.79
Marco Meneghetti,43392838.0,10.5,7.88,8.13,7.4,7.49,7.27,7.27,7.09,7.34,7.02
Samuele Ricci,43390774.0,12.98,12.61,11.94,12.83,12.6,12.98,13.06,12.97,13.16,12.59
Anouar Gharbi,2000565029.0,13.45,12.46,12.6,12.1,12.1,11.73,11.75,11.78,11.67,11.49
Krzysztof Szczepankiewicz,2000572872.0,10.22,8.32,8.66,8.01,7.94,7.6,7.69,7.59,7.71,7.39
Daniele Nobile,2000569465.0,9.18,9.34,8.14,10.05,9.23,10.43,9.62,10.76,10.24,9.58
Rossano Frisari,2000509488.0,10.52,10.68,10.82,10.68,10.64,10.2,10.35,10.32,10.27,10.03
Pietro Severino,2000509487.0,11.96,11.66,11.39,11.74,11.7,11.9,12.13,11.98,12.14,11.57
Diego Sanchez,2000439461.0,11.06,11.16,10.14,11.67,10.75,11.83,11.09,12.1,11.69,11.2
Cristopher Mutti,2000439456.0,12.68,11.08,11.4,10.54,10.58,10.01,10.19,10.09,10.04,9.77
Davide Carella,2000436671.0,11.57,11.25,10.42,11.78,11.1,12.36,11.7,12.63,12.38,12.61
Alessandro Zorzetto,2000436495.0,10.01,9.72,8.89,9.99,9.35,10.3,10.05,10.53,10.55,10.47
Jakob Brambach,2000065759.0,11.42,9.2,9.01,9.02,8.61,8.82,8.74,8.86,8.95,8.36
Luca Stanga,43425977.0,11.85,11.23,11.68,10.77,11.02,10.1,10.41,10.15,10.22,9.59
Mattia Pitzalis,43298629.0,12.77,12.17,12.27,11.96,11.97,11.67,11.77,11.76,11.63,11.11
Giovanni Crociata,43153059.0,11.89,11.56,10.94,11.73,11.65,11.88,11.98,11.91,12.09,11.51
Emanuel Mammana,14059326.0,11.02,10.47,11.19,10.06,10.68,9.76,10.42,9.57,10.02,9.8
Simone Vignoli,2000439458.0,11.23,11.77,11.07,12.2,11.49,12.42,12.15,12.76,12.64,12.54
David Lukac,2000189398.0,11.23,11.17,9.91,11.81,10.89,12.14,11.72,12.53,12.3,12.05
Roma,2000439457.0,12.27,11.9,12.37,11.58,11.62,11.2,11.2,11.2,11.17,11.42
Nicolas Dufour,2000191911.0,12.45,12.08,12.47,11.75,11.83,11.29,11.61,11.36,11.31,11.11
Adam Steele,2000187747.0,13.45,12.92,12.29,12.99,12.66,12.95,12.72,13.12,12.93,12.37
Pedro Ferreira,55082151.0,12.22,12.27,12.3,12.2,12.36,11.9,12.32,11.85,12.06,11.46
Ryôtarô Meshino,45104652.0,11.56,11.54,10.46,12.07,11.52,12.44,12.11,12.53,12.46,12.0
Jack O'Connell,28080955.0,12.35,11.99,12.43,11.75,12.01,11.51,11.86,11.39,11.5,11.36
Matt Baker,2000439460.0,12.48,12.08,11.22,12.43,12.03,12.68,12.65,12.65,12.85,12.35
Thomás Grosi,2000272736.0,12.29,12.11,11.73,12.3,11.99,12.52,12.38,12.64,12.8,13.33
Felipe Vergara,2000415530.0,11.36,11.43,10.22,12.07,11.31,12.52,12.23,12.86,12.65,12.02
Michele Gigante,2000199658.0,12.22,11.57,11.1,11.61,11.49,11.86,11.88,11.96,12.16,11.88
Adrian Semper,24046412.0,12.5,10.39,10.38,10.14,9.99,9.76,10.01,9.73,10.08,9.59
Kiki Kouyaté,13186668.0,12.95,12.2,12.83,11.74,11.93,11.15,11.39,11.17,11.21,11.48
Alessio Chiurco,2000193119.0,12.78,12.49,12.23,12.59,12.06,12.2,11.95,12.43,12.19,11.86
