Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Stanislav Lobotka,63012964.0,2.5,9.0,9.0,13.67,2.25,2.5,2.5,1.75
Georgi Tunjov,47070304.0,2.25,9.62,14.0,10.25,2.0,1.0,2.25,2.75
Fabio Di Giulio,2000620075.0,2.25,15.25,12.5,11.92,2.25,4.5,2.25,1.5
Lorenzo Brotto,2000569462.0,0.0,13.38,10.5,10.75,0.0,0.0,0.0,0.0
Attilio Leto,2000569461.0,0.0,12.38,10.5,10.08,0.0,0.0,0.0,0.0
David Galfano,2000510011.0,3.0,11.5,10.5,12.75,2.0,2.0,2.5,2.75
André Lopes,2000509492.0,3.0,13.0,13.25,12.67,2.75,2.0,3.25,3.25
Sotiris Bakalis,2000237415.0,13.5,10.75,7.25,11.5,9.25,4.5,16.0,11.5
Alberto Sereni,2000199661.0,2.25,12.12,11.25,12.33,2.25,2.0,3.25,3.25
Umberto Rossetti,2000193647.0,12.25,12.12,12.5,11.42,13.0,1.5,11.25,11.5
Julien Pfeiffer,2000192363.0,1.25,11.38,14.5,10.25,2.5,1.5,2.25,3.0
Eugenio Cammarata,2000192308.0,3.75,13.25,15.5,10.0,2.25,3.5,2.5,2.25
Marco Meneghetti,43392838.0,12.0,9.25,8.0,10.92,8.0,6.0,13.75,12.5
Samuele Ricci,43390774.0,2.75,14.25,12.5,13.0,2.75,2.0,3.5,2.75
Anouar Gharbi,2000565029.0,2.5,14.5,12.5,13.17,2.5,2.0,1.5,2.0
Krzysztof Szczepankiewicz,2000572872.0,12.75,9.25,11.25,9.75,12.0,3.5,14.5,9.5
Daniele Nobile,2000569465.0,1.75,10.25,16.0,7.75,3.5,1.5,2.75,3.5
Rossano Frisari,2000509488.0,2.0,11.62,13.0,10.08,2.5,2.0,2.75,3.5
Pietro Severino,2000509487.0,3.5,13.0,11.5,12.08,2.75,3.0,2.5,3.25
Diego Sanchez,2000439461.0,2.25,12.75,16.0,10.5,2.25,3.5,3.5,2.75
Cristopher Mutti,2000439456.0,3.0,12.5,11.0,12.42,2.75,3.0,1.75,2.5
Davide Carella,2000436671.0,2.25,12.88,16.0,10.25,3.0,1.0,3.25,3.25
Alessandro Zorzetto,2000436495.0,3.5,12.75,11.0,9.58,3.0,4.0,1.25,3.5
Jakob Brambach,2000065759.0,11.5,9.62,13.5,10.5,9.0,5.0,14.5,10.5
Luca Stanga,43425977.0,3.25,12.0,11.5,11.58,2.0,3.5,2.25,1.25
Mattia Pitzalis,43298629.0,2.5,12.75,13.5,11.33,2.75,4.0,2.25,3.5
Giovanni Crociata,43153059.0,3.25,11.88,11.5,13.33,2.25,3.0,1.5,2.5
Emanuel Mammana,14059326.0,2.25,7.0,9.5,13.67,4.0,2.0,2.75,2.25
Simone Vignoli,2000439458.0,3.5,14.25,14.5,9.33,1.75,2.5,2.5,2.0
David Lukac,2000189398.0,3.0,12.25,15.5,11.67,2.5,3.0,2.0,2.5
Roma,2000439457.0,2.75,12.62,11.5,12.25,2.75,2.0,1.75,3.25
Nicolas Dufour,2000191911.0,2.0,13.75,12.0,12.67,2.0,3.0,3.0,1.5
Adam Steele,2000187747.0,2.0,14.88,15.5,12.83,2.25,1.5,2.25,3.75
Pedro Ferreira,55082151.0,3.0,12.5,11.75,11.92,1.75,1.5,2.0,1.75
Ryôtarô Meshino,45104652.0,4.0,13.88,12.5,11.33,2.5,2.0,2.25,1.75
Jack O'Connell,28080955.0,1.75,10.38,10.5,14.0,3.0,1.5,2.75,3.25
Matt Baker,2000439460.0,2.25,13.12,13.5,12.75,3.25,1.5,2.75,2.0
Thomás Grosi,2000272736.0,2.75,12.25,14.0,11.83,2.0,4.0,2.75,1.25
Felipe Vergara,2000415530.0,3.0,13.25,15.5,10.08,2.25,3.0,1.75,3.25
Michele Gigante,2000199658.0,3.5,12.38,12.5,12.0,2.0,2.0,1.75,1.75
Adrian Semper,24046412.0,14.5,12.12,12.0,11.92,14.0,10.0,14.0,13.5
Kiki Kouyaté,13186668.0,2.75,13.5,12.25,13.08,2.0,4.0,1.25,2.5
Alessio Chiurco,2000193119.0,1.75,14.12,15.25,11.25,3.0,1.0,2.25,4.0
