Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Stanislav Lobotka,63012964,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Georgi Tunjov,47070304,0,0,0,0,0,1,0,1,1,1,1,1,0,0
Fabio Di Giulio,2000620075,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lorenzo Brotto,2000569462,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Attilio Leto,2000569461,0,0,1,0,0,0,0,0,0,0,0,0,0,0
David Galfano,2000510011,0,0,0,0,0,1,0,0,1,0,0,0,0,0
André Lopes,2000509492,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Sotiris Bakalis,2000237415,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Sereni,2000199661,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Umberto Rossetti,2000193647,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Julien Pfeiffer,2000192363,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Eugenio Cammarata,2000192308,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Marco Meneghetti,43392838,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Samuele Ricci,43390774,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Anouar Gharbi,2000565029,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Krzysztof Szczepankiewicz,2000572872,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniele Nobile,2000569465,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Rossano Frisari,2000509488,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Pietro Severino,2000509487,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Diego Sanchez,2000439461,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Cristopher Mutti,2000439456,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Davide Carella,2000436671,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Alessandro Zorzetto,2000436495,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Jakob Brambach,2000065759,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Luca Stanga,43425977,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Mattia Pitzalis,43298629,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Giovanni Crociata,43153059,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Emanuel Mammana,14059326,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Simone Vignoli,2000439458,0,0,0,0,0,0,0,0,0,0,1,0,1,1
David Lukac,2000189398,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Roma,2000439457,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Nicolas Dufour,2000191911,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Adam Steele,2000187747,0,1,0,0,1,0,0,0,0,0,1,0,0,0
Pedro Ferreira,55082151,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Ryôtarô Meshino,45104652,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Jack O'Connell,28080955,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Baker,2000439460,0,0,0,0,0,0,0,1,0,0,1,1,1,1
Thomás Grosi,2000272736,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Felipe Vergara,2000415530,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Michele Gigante,2000199658,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Adrian Semper,24046412,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiki Kouyaté,13186668,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Alessio Chiurco,2000193119,0,0,0,1,0,0,1,0,0,0,0,0,0,0
