Player,UID,Position
Antonello Borgognoni,2000567631,M/AM (L)
João Teixeira,2000508042,M/AM (RC)
Giuseppe Borghi,2000507391,"M/AM (C), ST (C)"
Raul Cannataro,2000506760,"D (RLC), WB (R)"
Guy Charrier,2000505029,"M (C), AM (RC), ST (C)"
Christopher Ortiz,2000483551,"D (C), DM"
Federico Siano,2000435228,"AM (R), ST (C)"
Isaac Olivier,2000431007,M/AM (C)
Giannis Koromilas,2000234253,M/AM (RLC)
Eneko Pascual,2000193396,"WB (R), M (RC), AM (RL)"
Ivano Dutto,2000191667,"WB (R), DM, M (C)"
Fausto Crippa,2000191660,"D (LC), WB (L)"
Fernando Mendes,2000189355,"AM (R), ST (C)"
João Santos,83234702,"D (C), DM, M (C)"
Ilyas Chouaref,49055174,"AM (RL), ST (C)"
Felice D'Amico,43297400,"M (L), AM (RLC), ST (C)"
Andrea Cerutti,2000626673,D (RLC)
Stefano Mengoli,2000569086,"D (RLC), DM"
Eddy Venturelli,2000507388,M/AM (C)
Tim O'Donnell,2000436270,"M (R), AM (RC), ST (C)"
Marco Di Mattia,2000191659,D (RLC)
Valerio Sironi,2000191144,"AM (LC), ST (C)"
Leonardo Lelo,83257795,D/WB/M/AM (L)
Sebastiano Luperto,43095145,D (LC)
Michael Olise,29221846,"M (RC), AM (RLC)"
Ryad Talbi,2000023232,"AM (R), ST (C)"
Salvatore Esposito,43317730,"DM, M (C)"
Nélson Vale,2000191702,GK
Enrico Putrino,2000189552,GK
Iacopo Zappasodi,2000507390,M/AM (C)
Giuseppe Biagioni,2000567625,GK
Søren Lauritsen,2000189224,GK
Isac,2000536901,M (C)
Rafael Fernández,2000274833,D (C)
Luis Ángel Tapia,2000206926,"M (R), AM (RL)"
Youcef Gherbi,2000188129,"M (RLC), AM (LC)"
Filipe Soares,83111342,M/AM (C)
Christian Pastina,43390700,"D (LC), WB (L)"
Josip Brekalo,24046837,M/AM (RL)
Bremer,19270493,D (LC)
Will Smallbone,28109942,"M (C), AM (RLC)"
Marco Crestani,2000567632,"AM (L), ST (C)"
José Pereira,2000190648,"M/AM (R), ST (C)"
Amar Dedic,16283629,D (RL)
