Player,UID,DM,AM,BWM,HB,SV,RGA
Antonello Borgognoni,2000567631.0,9.25,10.0,10.0,10.3,10.25,10.8
João Teixeira,2000508042.0,11.0,10.5,10.5,10.95,11.3,12.35
Giuseppe Borghi,2000507391.0,8.95,8.45,8.45,8.25,9.4,11.9
Raul Cannataro,2000506760.0,13.0,13.1,13.1,13.6,11.7,10.2
Guy Charrier,2000505029.0,9.55,10.0,10.0,10.3,10.55,10.15
Christopher Ortiz,2000483551.0,10.5,10.35,10.35,11.0,10.3,8.7
Federico Siano,2000435228.0,9.1,8.7,8.7,9.0,9.05,10.6
Isaac Olivier,2000431007.0,11.25,11.25,11.25,10.45,11.05,12.4
Giannis Koromilas,2000234253.0,8.6,8.1,8.1,8.6,9.9,11.7
Eneko Pascual,2000193396.0,9.15,9.1,9.1,8.65,9.95,12.5
Ivano Dutto,2000191667.0,12.45,13.05,13.05,12.95,12.0,11.2
Fausto Crippa,2000191660.0,13.1,12.35,12.35,12.25,11.9,12.45
Fernando Mendes,2000189355.0,9.8,9.95,9.95,10.1,10.6,12.55
João Santos,83234702.0,13.15,12.65,12.65,11.45,12.2,11.3
Ilyas Chouaref,49055174.0,10.9,10.7,10.7,11.35,11.2,12.95
Felice D'Amico,43297400.0,9.3,8.8,8.8,9.85,10.0,12.4
Andrea Cerutti,2000626673.0,11.35,10.95,10.95,11.2,10.55,8.9
Stefano Mengoli,2000569086.0,13.4,13.8,13.8,12.1,11.65,11.45
Eddy Venturelli,2000507388.0,11.55,11.9,11.9,11.8,11.45,13.25
Tim O'Donnell,2000436270.0,10.65,11.1,11.1,11.15,11.05,11.9
Marco Di Mattia,2000191659.0,13.1,13.5,13.5,13.25,11.8,9.85
Valerio Sironi,2000191144.0,10.2,9.9,9.9,10.3,9.9,11.7
Leonardo Lelo,83257795.0,12.55,12.6,12.6,12.4,12.8,12.55
Sebastiano Luperto,43095145.0,13.6,13.6,13.6,13.6,13.3,11.1
Michael Olise,29221846.0,10.0,9.8,9.8,9.5,11.1,13.5
Ryad Talbi,2000023232.0,10.35,9.45,9.45,9.8,11.75,12.5
Salvatore Esposito,43317730.0,12.75,12.6,12.6,13.25,12.95,13.25
Nélson Vale,2000191702.0,9.25,8.55,8.55,9.3,7.8,8.4
Enrico Putrino,2000189552.0,10.9,10.9,10.9,12.2,9.6,10.4
Iacopo Zappasodi,2000507390.0,11.5,11.35,11.35,10.7,12.1,12.1
Giuseppe Biagioni,2000567625.0,8.9,9.1,9.1,10.7,7.6,6.45
Søren Lauritsen,2000189224.0,9.25,8.65,8.65,10.0,7.95,9.15
Isac,2000536901.0,12.0,11.3,11.3,11.5,13.0,15.0
Rafael Fernández,2000274833.0,15.1,14.8,14.8,14.3,14.2,12.6
Luis Ángel Tapia,2000206926.0,10.8,10.3,10.3,10.55,11.3,13.1
Youcef Gherbi,2000188129.0,10.15,9.85,9.85,10.2,10.85,13.85
Filipe Soares,83111342.0,12.4,12.3,12.3,11.95,12.45,13.95
Christian Pastina,43390700.0,13.7,13.4,13.4,13.05,13.4,13.45
Josip Brekalo,24046837.0,8.45,8.25,8.25,8.65,9.85,12.65
Bremer,19270493.0,14.1,13.9,13.9,13.65,13.4,11.35
Will Smallbone,28109942.0,12.3,12.1,12.1,11.0,12.65,14.3
Marco Crestani,2000567632.0,8.85,8.75,8.75,9.1,9.35,11.15
José Pereira,2000190648.0,9.75,9.7,9.7,10.5,9.85,12.35
Amar Dedic,16283629.0,12.6,12.75,12.75,12.4,13.3,11.9
