Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Antonello Borgognoni,2000567631.0,12.0,12.0,12.0,12.0,12.2,12.2,11.6,11.6,11.92,11.92
João Teixeira,2000508042.0,12.95,12.95,12.95,12.95,12.25,12.25,12.6,12.6,12.21,12.21
Giuseppe Borghi,2000507391.0,12.6,12.6,12.6,12.6,11.35,11.35,12.65,12.65,11.62,11.62
Raul Cannataro,2000506760.0,10.5,10.5,10.5,10.5,11.2,11.2,10.1,10.1,11.25,11.25
Guy Charrier,2000505029.0,11.9,11.9,11.9,11.9,12.2,12.2,11.6,11.6,12.08,12.08
Christopher Ortiz,2000483551.0,8.0,8.0,8.0,8.0,8.15,8.15,7.95,7.95,8.88,8.88
Federico Siano,2000435228.0,12.15,12.15,12.15,12.15,11.9,11.9,12.8,12.8,12.08,12.08
Isaac Olivier,2000431007.0,13.85,13.85,13.85,13.85,13.3,13.3,13.15,13.15,12.29,12.29
Giannis Koromilas,2000234253.0,13.05,13.05,13.05,13.05,12.7,12.7,12.8,12.8,11.5,11.5
Eneko Pascual,2000193396.0,13.35,13.35,13.35,13.35,12.85,12.85,12.7,12.7,11.62,11.62
Ivano Dutto,2000191667.0,12.0,12.0,12.0,12.0,11.3,11.3,11.45,11.45,11.33,11.33
Fausto Crippa,2000191660.0,11.45,11.45,11.45,11.45,10.3,10.3,10.55,10.55,10.67,10.67
Fernando Mendes,2000189355.0,12.8,12.8,12.8,12.8,13.15,13.15,12.9,12.9,12.46,12.46
João Santos,83234702.0,11.8,11.8,11.8,11.8,10.1,10.1,10.65,10.65,10.0,10.0
Ilyas Chouaref,49055174.0,13.4,13.4,13.4,13.4,13.6,13.6,13.2,13.2,13.17,13.17
Felice D'Amico,43297400.0,12.4,12.4,12.4,12.4,12.55,12.55,11.85,11.85,11.62,11.62
Andrea Cerutti,2000626673.0,9.2,9.2,9.2,9.2,10.05,10.05,9.1,9.1,10.21,10.21
Stefano Mengoli,2000569086.0,11.25,11.25,11.25,11.25,11.45,11.45,11.45,11.45,11.21,11.21
Eddy Venturelli,2000507388.0,14.05,14.05,14.05,14.05,13.2,13.2,13.15,13.15,12.33,12.33
Tim O'Donnell,2000436270.0,11.7,11.7,11.7,11.7,13.35,13.35,11.8,11.8,12.88,12.88
Marco Di Mattia,2000191659.0,10.2,10.2,10.2,10.2,11.45,11.45,10.15,10.15,11.79,11.79
Valerio Sironi,2000191144.0,13.15,13.15,13.15,13.15,12.6,12.6,12.9,12.9,12.58,12.58
Leonardo Lelo,83257795.0,12.55,12.55,12.55,12.55,13.0,13.0,12.05,12.05,12.17,12.17
Sebastiano Luperto,43095145.0,11.1,11.1,11.1,11.1,10.6,10.6,10.8,10.8,11.33,11.33
Michael Olise,29221846.0,13.85,13.85,13.85,13.85,13.6,13.6,13.4,13.4,12.75,12.75
Ryad Talbi,2000023232.0,14.5,14.5,14.5,14.5,14.5,14.5,14.85,14.85,13.83,13.83
Salvatore Esposito,43317730.0,13.05,13.05,13.05,13.05,12.75,12.75,12.4,12.4,12.12,12.12
Nélson Vale,2000191702.0,8.15,8.15,8.15,8.15,6.3,6.3,6.85,6.85,6.67,6.67
Enrico Putrino,2000189552.0,10.2,10.2,10.2,10.2,8.2,8.2,8.7,8.7,8.42,8.42
Iacopo Zappasodi,2000507390.0,13.25,13.25,13.25,13.25,12.3,12.3,13.05,13.05,12.0,12.0
Giuseppe Biagioni,2000567625.0,7.05,7.05,7.05,7.05,7.55,7.55,7.05,7.05,7.33,7.33
Søren Lauritsen,2000189224.0,8.6,8.6,8.6,8.6,5.7,5.7,7.4,7.4,6.17,6.17
Isac,2000536901.0,15.4,15.4,15.4,15.4,13.3,13.3,14.3,14.3,13.08,13.08
Rafael Fernández,2000274833.0,12.6,12.6,12.6,12.6,12.1,12.1,12.2,12.2,12.58,12.58
Luis Ángel Tapia,2000206926.0,14.45,14.45,14.45,14.45,14.25,14.25,14.25,14.25,13.29,13.29
Youcef Gherbi,2000188129.0,14.05,14.05,14.05,14.05,12.85,12.85,13.35,13.35,11.96,11.96
Filipe Soares,83111342.0,14.3,14.3,14.3,14.3,13.4,13.4,13.7,13.7,12.83,12.83
Christian Pastina,43390700.0,13.1,13.1,13.1,13.1,12.85,12.85,12.75,12.75,13.12,13.12
Josip Brekalo,24046837.0,13.2,13.2,13.2,13.2,13.1,13.1,13.1,13.1,12.33,12.33
Bremer,19270493.0,11.45,11.45,11.45,11.45,10.85,10.85,10.95,10.95,11.46,11.46
Will Smallbone,28109942.0,14.45,14.45,14.45,14.45,13.2,13.2,14.0,14.0,12.5,12.5
Marco Crestani,2000567632.0,12.05,12.05,12.05,12.05,13.85,13.85,12.2,12.2,13.46,13.46
José Pereira,2000190648.0,13.35,13.35,13.35,13.35,14.5,14.5,12.95,12.95,13.67,13.67
Amar Dedic,16283629.0,11.85,11.85,11.85,11.85,11.65,11.65,11.3,11.3,11.79,11.79
