Player,UID,WM,W,DW,IW,IF,WG
Ramiro Macagno,14157119.0,7.4,8.85,9.0,9.0,7.8,9.04
Eduardo Sarriegi,2000438820.0,12.3,11.7,13.95,11.85,11.05,10.92
Omar Rekik,91187786.0,11.9,10.6,12.5,12.5,11.7,10.83
Benjamín Kuscevic,75032824.0,10.55,9.75,12.65,10.35,10.0,10.38
Pablo Pérez,2000014927.0,12.1,13.5,11.6,13.1,12.5,12.58
Valentín Delmás,2000192672.0,13.4,12.7,13.4,14.25,13.4,12.33
Gavi,2000049413.0,12.0,13.2,10.0,13.8,13.5,12.33
Jose Carlos,2000438639.0,12.5,13.9,11.4,14.35,13.85,12.67
Abel Angulo,2000438635.0,12.9,11.45,12.45,13.75,13.05,11.04
Alexis,2000438631.0,12.65,14.0,10.2,13.85,13.2,13.17
Atanas Yordanov,2000215422.0,11.1,13.5,9.8,13.05,13.7,13.08
Adrian Molina,2000570287.0,12.1,13.15,10.5,12.25,12.0,12.79
Jairo,2000737759.0,6.3,7.4,7.7,8.2,7.0,7.17
Fabio Blanco,2000034357.0,12.35,13.65,10.5,13.4,12.7,12.38
Alfonso Miranda,2000629593.0,12.0,12.75,11.2,13.6,13.3,11.88
Orel Mangala,18087973.0,13.15,13.65,13.2,13.7,13.05,13.04
Mujaid Sadick,67249928.0,11.0,10.9,12.65,11.15,10.55,11.0
Giovanni Cabrera,2000439549.0,11.7,13.7,9.7,12.5,12.5,13.25
Ignatius Ganago,49045927.0,11.7,13.3,11.1,12.25,13.0,12.75
Dragan Rosić,62167554.0,7.5,8.05,8.8,8.65,7.8,8.46
Franjo Lazar,2000028271.0,11.2,10.5,10.9,12.35,11.65,9.67
Txus Alba,2000048420.0,11.5,12.0,9.85,12.5,12.0,11.17
Eiður Gauti Sigurpálsson,2000355767.0,10.55,12.35,8.4,11.75,11.2,12.38
Martín Martínez,2000439252.0,11.75,12.95,10.0,12.6,12.3,12.71
Marc Trives,2000439546.0,11.45,12.55,10.0,12.25,12.4,12.54
Friday Opara,2000442249.0,10.0,10.3,11.5,11.55,11.0,10.08
Kostyantyn Vivcharenko,71113673.0,14.0,14.3,13.5,12.75,12.9,13.5
Talla Mendy,2000510695.0,10.2,11.15,10.7,9.65,9.6,10.21
Joselito,2000510697.0,10.8,11.05,12.35,9.7,9.45,11.12
Oumar Sangaré,2000629589.0,12.05,10.75,11.4,12.9,12.05,10.75
