Player,UID,CD,BPD,NNCB,Lib
Ramiro Macagno,14157119.0,10.15,9.5,9.3,8.65
Eduardo Sarriegi,2000438820.0,12.45,11.95,12.6,12.4
Omar Rekik,91187786.0,12.4,13.2,12.1,13.4
Benjamín Kuscevic,75032824.0,13.6,13.05,13.7,11.65
Pablo Pérez,2000014927.0,10.5,10.65,10.25,11.85
Valentín Delmás,2000192672.0,12.05,12.8,11.85,13.65
Gavi,2000049413.0,9.0,9.7,8.6,11.6
Jose Carlos,2000438639.0,10.15,10.8,10.35,13.15
Abel Angulo,2000438635.0,11.4,11.9,11.15,12.95
Alexis,2000438631.0,8.5,9.6,8.2,11.45
Atanas Yordanov,2000215422.0,9.35,9.9,9.65,10.55
Adrian Molina,2000570287.0,9.35,9.8,9.15,9.95
Jairo,2000737759.0,7.6,6.9,7.9,7.6
Fabio Blanco,2000034357.0,8.05,9.7,8.05,11.65
Alfonso Miranda,2000629593.0,9.7,10.8,9.8,12.5
Orel Mangala,18087973.0,12.85,12.45,12.6,12.85
Mujaid Sadick,67249928.0,13.9,13.2,13.65,12.35
Giovanni Cabrera,2000439549.0,9.4,8.7,8.7,8.9
Ignatius Ganago,49045927.0,10.65,10.8,10.35,10.75
Dragan Rosić,62167554.0,9.8,9.25,9.95,8.05
Franjo Lazar,2000028271.0,9.35,10.35,9.6,11.55
Txus Alba,2000048420.0,8.8,9.25,8.5,11.1
Eiður Gauti Sigurpálsson,2000355767.0,8.95,9.3,9.55,9.3
Martín Martínez,2000439252.0,9.35,9.6,9.35,10.35
Marc Trives,2000439546.0,9.75,9.9,9.65,10.1
Friday Opara,2000442249.0,11.4,11.3,12.0,11.75
Kostyantyn Vivcharenko,71113673.0,12.05,11.4,11.45,11.55
Talla Mendy,2000510695.0,10.15,9.2,10.45,9.45
Joselito,2000510697.0,12.95,11.15,12.35,9.9
Oumar Sangaré,2000629589.0,11.0,11.6,10.55,12.35
