Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Ramiro Macagno,14157119.0,9.0,9.0,9.0,9.0,8.85,8.85,7.8,7.8,9.04,9.04
Eduardo Sarriegi,2000438820.0,11.85,11.85,11.85,11.85,11.7,11.7,11.05,11.05,10.92,10.92
Omar Rekik,91187786.0,12.5,12.5,12.5,12.5,10.6,10.6,11.7,11.7,10.83,10.83
Benjamín Kuscevic,75032824.0,10.35,10.35,10.35,10.35,9.75,9.75,10.0,10.0,10.38,10.38
Pablo Pérez,2000014927.0,13.1,13.1,13.1,13.1,13.5,13.5,12.5,12.5,12.58,12.58
Valentín Delmás,2000192672.0,14.25,14.25,14.25,14.25,12.7,12.7,13.4,13.4,12.33,12.33
Gavi,2000049413.0,13.8,13.8,13.8,13.8,13.2,13.2,13.5,13.5,12.33,12.33
Jose Carlos,2000438639.0,14.35,14.35,14.35,14.35,13.9,13.9,13.85,13.85,12.67,12.67
Abel Angulo,2000438635.0,13.75,13.75,13.75,13.75,11.45,11.45,13.05,13.05,11.04,11.04
Alexis,2000438631.0,13.85,13.85,13.85,13.85,14.0,14.0,13.2,13.2,13.17,13.17
Atanas Yordanov,2000215422.0,13.05,13.05,13.05,13.05,13.5,13.5,13.7,13.7,13.08,13.08
Adrian Molina,2000570287.0,12.25,12.25,12.25,12.25,13.15,13.15,12.0,12.0,12.79,12.79
Jairo,2000737759.0,8.2,8.2,8.2,8.2,7.4,7.4,7.0,7.0,7.17,7.17
Fabio Blanco,2000034357.0,13.4,13.4,13.4,13.4,13.65,13.65,12.7,12.7,12.38,12.38
Alfonso Miranda,2000629593.0,13.6,13.6,13.6,13.6,12.75,12.75,13.3,13.3,11.88,11.88
Orel Mangala,18087973.0,13.7,13.7,13.7,13.7,13.65,13.65,13.05,13.05,13.04,13.04
Mujaid Sadick,67249928.0,11.15,11.15,11.15,11.15,10.9,10.9,10.55,10.55,11.0,11.0
Giovanni Cabrera,2000439549.0,12.5,12.5,12.5,12.5,13.7,13.7,12.5,12.5,13.25,13.25
Ignatius Ganago,49045927.0,12.25,12.25,12.25,12.25,13.3,13.3,13.0,13.0,12.75,12.75
Dragan Rosić,62167554.0,8.65,8.65,8.65,8.65,8.05,8.05,7.8,7.8,8.46,8.46
Franjo Lazar,2000028271.0,12.35,12.35,12.35,12.35,10.5,10.5,11.65,11.65,9.67,9.67
Txus Alba,2000048420.0,12.5,12.5,12.5,12.5,12.0,12.0,12.0,12.0,11.17,11.17
Eiður Gauti Sigurpálsson,2000355767.0,11.75,11.75,11.75,11.75,12.35,12.35,11.2,11.2,12.38,12.38
Martín Martínez,2000439252.0,12.6,12.6,12.6,12.6,12.95,12.95,12.3,12.3,12.71,12.71
Marc Trives,2000439546.0,12.25,12.25,12.25,12.25,12.55,12.55,12.4,12.4,12.54,12.54
Friday Opara,2000442249.0,11.55,11.55,11.55,11.55,10.3,10.3,11.0,11.0,10.08,10.08
Kostyantyn Vivcharenko,71113673.0,12.75,12.75,12.75,12.75,14.3,14.3,12.9,12.9,13.5,13.5
Talla Mendy,2000510695.0,9.65,9.65,9.65,9.65,11.15,11.15,9.6,9.6,10.21,10.21
Joselito,2000510697.0,9.7,9.7,9.7,9.7,11.05,11.05,9.45,9.45,11.12,11.12
Oumar Sangaré,2000629589.0,12.9,12.9,12.9,12.9,10.75,10.75,12.05,12.05,10.75,10.75
