Player,UID,AF,CF,DLF,F9,P,PF,TM
Ander Iru,67260190.0,7.3,6.5,8.85,7.75,7.3,7.2,6.65
Carlos Isaac,67228752.0,9.8,9.4,9.75,9.95,9.8,9.9,8.85
Adrián Granado,67294774.0,9.5,7.9,7.9,7.4,9.5,9.5,9.3
Josep María González,2000201491.0,8.6,9.5,10.5,8.3,8.6,10.4,9.6
Luis,2000193720.0,10.3,7.9,9.1,8.5,10.3,10.4,8.2
Álvaro Goikoetxea,2000198139.0,10.65,10.95,12.5,12.0,10.65,10.95,10.65
Aarón Rey,67228467.0,10.95,12.0,12.1,12.25,10.95,11.0,10.1
Yago Santiago,28129860.0,11.6,10.5,11.3,11.4,11.6,11.7,11.4
Pol Arjona,2000633084.0,12.45,10.3,11.2,11.5,12.45,10.3,10.6
Lucas Rodrigues,19362985.0,12.05,11.65,11.6,11.2,12.05,11.85,11.3
Mario Martínez,2000439249.0,12.3,10.4,11.45,11.45,12.3,10.7,11.1
Joaquín,2000713470.0,7.85,6.5,7.9,7.05,7.85,8.0,8.5
Mauro Puche,2000512104.0,10.55,9.8,10.3,10.8,10.55,10.05,9.6
Duaner Rodney,2000571340.0,10.3,8.6,8.6,9.2,10.3,8.7,8.2
Carlos,2000512225.0,9.1,9.4,11.3,10.4,9.1,9.3,10.5
Antonio Manau,2000514807.0,7.15,6.55,7.05,6.0,7.15,8.3,8.45
Gerard,2000633086.0,3.45,6.35,4.1,3.5,3.45,7.35,6.15
David González,2000633083.0,5.45,7.35,6.9,5.9,5.45,8.55,5.0
Jesús Sillero,67196099.0,10.9,10.1,10.3,10.9,10.9,9.5,8.6
Alberto,2000714494.0,3.75,1.45,3.8,3.35,3.75,0.75,2.65
Jordi Martí,2000742932.0,6.65,7.85,6.7,6.35,6.65,7.55,6.2
