Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Ander Iru,67260190,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Isaac,67228752,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Adrián Granado,67294774,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Josep María González,2000201491,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Luis,2000193720,0,1,0,1,1,1,0,1,0,0,0,0,0,0
Álvaro Goikoetxea,2000198139,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aarón Rey,67228467,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Yago Santiago,28129860,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pol Arjona,2000633084,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Lucas Rodrigues,19362985,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Mario Martínez,2000439249,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Joaquín,2000713470,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mauro Puche,2000512104,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Duaner Rodney,2000571340,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Carlos,2000512225,0,1,1,0,1,0,0,0,0,0,1,0,0,0
Antonio Manau,2000514807,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Gerard,2000633086,0,0,1,0,0,1,0,0,1,0,0,0,0,0
David González,2000633083,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Jesús Sillero,67196099,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Alberto,2000714494,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordi Martí,2000742932,0,0,0,0,0,0,0,0,0,0,0,0,0,1
