Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Ander Iru,67260190.0,11.14,8.82,8.76,8.61,8.54,8.42,8.64,8.36,8.71,7.66
Carlos Isaac,67228752.0,11.54,11.19,11.3,11.01,11.03,10.76,10.78,10.88,10.73,10.19
Adrián Granado,67294774.0,11.58,10.59,11.61,9.93,10.18,9.13,9.26,9.27,9.24,9.49
Josep María González,2000201491.0,11.0,10.43,10.67,10.15,10.46,9.43,10.13,9.35,9.68,9.16
Luis,2000193720.0,12.03,10.77,10.85,10.42,10.61,9.83,10.0,10.02,9.95,9.29
Álvaro Goikoetxea,2000198139.0,11.76,11.6,11.48,11.55,11.75,11.4,11.89,11.32,11.59,10.92
Aarón Rey,67228467.0,11.83,11.33,10.99,11.5,11.44,11.63,11.8,11.61,11.86,11.25
Yago Santiago,28129860.0,11.03,11.24,11.02,11.37,11.36,11.49,11.6,11.48,11.67,11.21
Pol Arjona,2000633084.0,9.48,9.46,8.52,9.95,9.3,10.67,9.91,10.94,10.8,10.92
Lucas Rodrigues,19362985.0,11.08,10.82,10.14,11.03,10.7,11.3,11.2,11.45,11.6,11.44
Mario Martínez,2000439249.0,10.17,10.31,9.69,10.66,10.08,11.08,10.71,11.36,11.09,11.25
Joaquín,2000713470.0,10.12,9.23,10.1,8.6,9.04,7.89,8.1,7.91,7.91,7.88
Mauro Puche,2000512104.0,9.49,9.52,8.4,10.16,9.13,10.64,9.75,10.9,10.59,10.3
Duaner Rodney,2000571340.0,7.42,7.75,6.73,8.27,7.53,8.98,8.78,9.3,9.23,9.1
Carlos,2000512225.0,9.77,9.24,8.61,9.3,9.17,9.4,9.31,9.31,9.45,9.13
Antonio Manau,2000514807.0,9.52,8.86,9.43,8.44,8.46,7.95,8.21,8.04,7.95,7.93
Gerard,2000633086.0,3.82,5.72,5.44,5.98,5.73,5.61,6.04,5.91,5.93,5.58
David González,2000633083.0,5.28,6.34,5.43,6.82,6.36,6.93,7.22,7.14,7.19,6.76
Jesús Sillero,67196099.0,8.77,8.9,7.77,9.35,8.86,9.89,9.43,10.14,9.9,9.73
Alberto,2000714494.0,5.78,3.46,3.5,2.95,3.27,2.84,2.9,2.55,2.75,2.48
Jordi Martí,2000742932.0,4.1,5.33,4.66,5.8,5.21,6.36,6.1,6.47,6.47,7.29
