Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Ander Iru,67260190.0,7.7,7.7,7.7,7.7,6.8,6.8,6.8,6.8,6.71,6.71
Carlos Isaac,67228752.0,10.6,10.6,10.6,10.6,10.1,10.1,9.8,9.8,10.17,10.17
Adrián Granado,67294774.0,8.0,8.0,8.0,8.0,8.2,8.2,7.8,7.8,9.25,9.25
Josep María González,2000201491.0,10.1,10.1,10.1,10.1,8.2,8.2,9.2,9.2,8.42,8.42
Luis,2000193720.0,9.3,9.3,9.3,9.3,10.3,10.3,8.9,8.9,9.58,9.58
Álvaro Goikoetxea,2000198139.0,12.75,12.75,12.75,12.75,11.1,11.1,12.3,12.3,10.71,10.71
Aarón Rey,67228467.0,13.0,13.0,13.0,13.0,11.45,11.45,13.05,13.05,10.79,10.79
Yago Santiago,28129860.0,11.2,11.2,11.2,11.2,12.4,12.4,11.7,11.7,12.08,12.08
Pol Arjona,2000633084.0,10.6,10.6,10.6,10.6,11.1,11.1,10.5,10.5,11.0,11.0
Lucas Rodrigues,19362985.0,12.05,12.05,12.05,12.05,11.45,11.45,11.75,11.75,11.38,11.38
Mario Martínez,2000439249.0,11.6,11.6,11.6,11.6,12.15,12.15,11.5,11.5,12.04,12.04
Joaquín,2000713470.0,7.5,7.5,7.5,7.5,6.4,6.4,7.5,7.5,7.38,7.38
Mauro Puche,2000512104.0,10.2,10.2,10.2,10.2,10.95,10.95,9.9,9.9,10.79,10.79
Duaner Rodney,2000571340.0,10.3,10.3,10.3,10.3,11.2,11.2,10.1,10.1,10.92,10.92
Carlos,2000512225.0,9.5,9.5,9.5,9.5,8.8,8.8,8.8,8.8,9.0,9.0
Antonio Manau,2000514807.0,7.5,7.5,7.5,7.5,7.1,7.1,7.5,7.5,8.08,8.08
Gerard,2000633086.0,6.1,6.1,6.1,6.1,6.4,6.4,5.95,5.95,7.08,7.08
David González,2000633083.0,8.9,8.9,8.9,8.9,6.75,6.75,9.25,9.25,6.33,6.33
Jesús Sillero,67196099.0,11.3,11.3,11.3,11.3,10.0,10.0,10.9,10.9,9.42,9.42
Alberto,2000714494.0,2.15,2.15,2.15,2.15,1.2,1.2,2.15,2.15,1.0,1.0
Jordi Martí,2000742932.0,7.75,7.75,7.75,7.75,6.6,6.6,9.2,9.2,6.79,6.79
