Player,UID,DM,AM,BWM,HB,SV,RGA
Ander Iru,67260190.0,7.8,7.0,7.0,8.1,7.25,8.4
Carlos Isaac,67228752.0,11.55,11.4,11.4,10.9,11.65,10.9
Adrián Granado,67294774.0,12.0,11.6,11.6,10.9,10.0,9.0
Josep María González,2000201491.0,12.7,12.8,12.8,12.7,12.2,9.5
Luis,2000193720.0,12.3,12.0,12.0,12.0,10.5,9.6
Álvaro Goikoetxea,2000198139.0,12.2,11.5,11.5,11.7,12.45,12.35
Aarón Rey,67228467.0,10.95,10.05,10.05,9.9,10.9,12.8
Yago Santiago,28129860.0,10.2,10.0,10.0,9.8,10.1,10.7
Pol Arjona,2000633084.0,5.65,5.7,5.7,6.65,6.4,10.05
Lucas Rodrigues,19362985.0,9.7,9.95,9.95,9.9,9.85,11.5
Mario Martínez,2000439249.0,8.55,8.8,8.8,8.65,9.45,10.65
Joaquín,2000713470.0,10.85,10.7,10.7,10.65,9.35,7.5
Mauro Puche,2000512104.0,6.0,6.1,6.1,7.5,7.0,9.8
Duaner Rodney,2000571340.0,4.6,4.5,4.5,4.8,5.0,8.1
Carlos,2000512225.0,7.3,7.2,7.2,9.9,8.3,9.6
Antonio Manau,2000514807.0,10.25,10.35,10.35,9.2,8.95,6.1
Gerard,2000633086.0,6.5,7.5,7.5,7.2,6.6,5.1
David González,2000633083.0,6.0,4.5,4.5,5.7,5.9,5.7
Jesús Sillero,67196099.0,6.9,6.4,6.4,7.1,8.0,9.8
Alberto,2000714494.0,3.1,2.4,2.4,3.1,3.55,3.8
Jordi Martí,2000742932.0,3.55,2.5,2.5,3.5,4.8,6.1
