Player,UID,DM,AM,BWM,HB,SV,RGA
Ignacio Otaño,67240441.0,6.9,6.4,6.4,8.7,6.6,5.9
Diogo Fonseca,2000197949.0,11.35,11.65,11.65,11.35,10.55,7.7
Carlos Lourenço,2000190859.0,10.7,10.2,10.2,11.1,10.6,9.4
Luis Iglesias,2000440882.0,12.4,12.7,12.7,12.4,10.5,9.5
Chechu,2000629747.0,11.2,11.8,11.8,11.8,10.5,9.9
Isma Aizpiri,29164025.0,12.5,12.4,12.4,12.7,12.5,10.5
Xabier Cárdenas,67220146.0,8.7,8.3,8.3,8.1,9.3,10.0
Echu,67229627.0,6.9,6.9,6.9,7.4,7.8,9.3
Jaume Pérez,2000198633.0,7.4,7.8,7.8,8.2,7.3,8.3
Roberto Proietti,2000514073.0,7.1,7.3,7.3,8.0,6.8,7.9
Israel,2000631088.0,8.25,7.75,7.75,8.8,8.7,10.5
Jorge Bríngola,2000512567.0,5.6,4.25,4.25,5.35,4.95,5.2
Vladimir Fati,2000680262.0,11.4,11.7,11.7,10.1,9.7,6.1
Diego Muñoz,2000439850.0,6.25,7.0,7.0,7.9,6.3,5.25
Julen Gurrutxaga,2000682714.0,6.85,7.35,7.35,7.75,7.35,8.85
José Antonio Zubillaga,2000443802.0,11.45,12.25,12.25,11.2,9.95,5.95
Juan Vizcarra,2000681579.0,7.15,8.65,8.65,8.1,7.0,5.95
Edmilson Santos,83169922.0,5.1,4.4,4.4,5.75,5.35,8.1
Bilal Aceña,2000514725.0,9.9,9.2,9.2,8.4,8.6,5.65
Juan Carlos Abengózar,2000570111.0,7.35,6.75,6.75,8.55,8.35,9.85
Sandro,2000515229.0,3.7,2.95,2.95,4.15,3.9,4.9
Rafael Díaz,2000680769.0,8.05,8.45,8.45,8.65,8.35,8.0
Joaquín,2000742083.0,3.4,2.65,2.65,4.35,4.2,5.7
